code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;56.1;44.9;46.9;27.8;36.8;31.4;66.5;57.9;60.5;28.8;55.3;30.6;27.4;51.4;64.6;45.3;33.4;47.4;42.7;33.7;39.7;47.2;81.8;33.5;39.6;57.7;71.1;29.6;25.3;51.7;80;73;52.9;102.5;32.8;44;146.2;51.3
51340;88.6;41.4;40.6;32.7;67.7;53.6;117.8;50.4;52.3;33.6;60.1;41.8;41.7;54.6;73.3;31.7;36.7;45.5;76.2;51.7;43.4;62.8;40.1;38.2;41.3;66.5;94.2;53.3;39.9;40;38.4;66.1;57.7;49.4;56.2;58.8;54.9;53.9
51341;87.7;43.4;30.8;26.1;42.5;43.6;92.2;45.1;54.5;34.3;82;37.1;45.1;42.6;89.7;36.2;40.2;32.1;62.7;52.2;33.2;61.7;36.1;30.8;42.1;50.6;72.7;38.9;36.7;38.1;30.9;44.6;72.2;44.9;48.4;62.6;82.4;49.9
51342;57.5;26;36.9;21;62.8;45.9;114.9;33.2;27.8;22.9;29;35.5;28.1;34.9;61.4;21.1;34.5;30.7;55.8;29.3;29.3;48.2;25;31.1;24.2;47.7;74;39.7;32.6;50.3;42;27.3;22.5;19.5;38.5;25.1;40.8;38.6
51344;131.6;50.8;39.5;41.3;61.6;56.4;127.5;58;69.6;40.2;108.9;44.1;49.4;54;128.3;37.2;55.7;50.4;79.3;61.7;47.2;71.5;41.8;33.3;49;73.1;100.2;59.1;44.1;40.7;38.8;57.3;95.4;51.5;62.6;70.4;89.6;64.1
51345;24.7;16.3;12.9;12.1;13.6;20.6;25.4;17.5;22.7;12.9;31.7;18.5;17.8;12.3;21.4;10.9;11.3;11.4;17.9;19;10.4;20.3;15.3;13.5;14;12.8;19.9;11;13.8;9.7;9.3;21.4;13.8;15.5;12.9;22.1;27.4;16.6
51346;21;10.3;13.8;7.6;18.4;16.3;26.7;12.4;11.5;9.8;17.1;13.1;11.4;13.4;16.6;9.1;9.7;10.4;15.8;11.7;9.6;14.6;11.3;11.2;10.7;13.4;16.1;12;10.3;12.7;11.7;11.2;12.5;14.4;15.8;14.7;25;13.6
51347;16.9;12.4;10.3;9.4;16;9.1;25.2;17.5;15.4;8.4;14.3;10.3;6.8;11.3;21;8.3;7.5;14;10.2;6.8;7.9;12.2;15.8;6.2;21.9;9.6;11.3;6.4;5.3;11.9;12.5;12.6;11.4;22.8;9.8;10.2;102.8;14.6
51348;1.1;0.6;1.4;0.3;0.5;0.6;0.7;0.6;0.7;0.5;0.9;0.5;0.5;0.9;0.7;1;0.6;1.1;0.6;0.6;0.7;0.5;1.3;0.6;0.8;1.5;0.8;0.3;0.4;0.9;1.1;0.8;0.5;1.6;0.4;0.4;36.8;1.7
51349;8.7;7.5;6.7;5.9;5.7;7.4;13.2;7.1;8.4;5.6;14.3;7.9;6.3;6.5;10;5.4;6.6;6.5;7;6.2;5;7.7;10.1;5.2;8.3;5.9;5.4;3.7;4.2;5.2;4.8;8.7;6.6;8.9;7.5;8.9;45;8.2
51351;6.7;6.8;6.3;6.5;4.8;7.2;9.6;6.9;9.3;5.4;13.5;7.6;6;5.5;7.4;5.1;5.8;5.6;7.3;5.6;4;6.9;7.8;4.1;4.5;5;4.9;3.3;4;3.6;4.3;8.7;5.2;5.7;5.6;8.2;29.8;6.9
51352;3.1;2.2;5.9;1.9;2.4;2.2;3.7;3.3;2.2;2.4;3.1;2.1;2;3.5;3.1;2.8;3.9;3.2;2.5;2.4;3.3;2.2;4.6;2;2.4;6.7;6.7;2.3;2;2.5;2.5;3;2.2;4.8;2.7;1.9;62.1;4.6
51354;34.2;24;32.5;17.1;24.3;16.9;35.8;39.7;28.3;17.9;33.7;18.9;16.8;26.2;39.6;27.3;17.9;33.1;21.3;21.8;24.5;21.3;47.7;22.3;41.2;49.9;34;15.6;16.5;35.6;55.3;35.4;20.1;67.8;18.6;19.2;190.2;33.6
51359;10.7;6.4;9.4;5.2;7.5;4.8;12.2;11.9;8.3;5.1;9.3;5.7;4.7;7.1;12.6;6.7;5.6;10;6.6;5.8;6.4;6.2;11.7;5.4;14.8;15.6;7.7;4;4.5;9.8;11.5;8;4.6;17.3;5.3;4.2;134.9;11.6
51361;19.2;7.6;13.2;5.7;17.6;11.8;27.3;9.3;7.3;7.4;9.2;10.3;8.1;9.4;16;7.1;8.5;8.6;12.6;8.2;7.3;11.9;7.9;8.6;7.6;12.6;14.1;8.3;7.8;11;12.8;8.3;7.3;9.2;10.3;7.8;39.8;11.3
51363;5.5;1.9;3.5;1.8;3.7;2.7;5.1;2.7;3;2.4;2.7;3;1.5;2.9;4.4;2.2;2.5;3.7;2.7;2.8;3;1.6;2.4;1.6;1.7;2;5;1.9;1.3;1.5;1.5;2.5;3;4;2.7;1.7;47.4;3.9
51364;3.2;1.1;1.5;0.7;1.6;1.4;2.8;1.4;1.4;1;1.6;1.6;0.6;1.3;2.5;1;1.2;1.8;1.2;1.2;1.2;0.6;1.1;0.5;0.5;0.9;3.2;0.8;0.4;0.5;0.6;1.2;1;1.9;1.3;1.1;41.4;2.4
51377;136.1;123.6;221.4;46.5;65.6;79;69.7;113.6;85.5;72.2;155.1;103.8;66.2;125.6;86.5;161.7;105.6;112.3;90.4;142.4;126.8;98.1;193.4;103.3;95.1;147.6;163.9;99.4;51.4;133.5;182.9;129.6;144.2;141;38;69.7;120.3;113.5
51380;7;4.4;6.2;5.9;3.6;4.7;7.6;6.3;8.3;4.9;7.5;4.7;3.2;5.7;5.9;5.3;4.9;4.9;8.2;3.6;3.6;5.1;8;2.3;3.3;6.4;7.2;2.4;2.4;4.2;8.1;7.6;5;6.6;3.9;5.2;27.6;6
51384;100.4;77.9;126.2;31;48.9;60.8;50.5;76.6;66.4;45.9;104.7;68.8;44.3;80.8;57.9;105.2;55.1;84;59.7;76.6;91.2;57.3;140.3;71.6;53.6;102.9;98.8;41.8;33.1;91.2;124.1;91.5;94.6;114.1;30.8;56.3;126.7;76.8
