code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;11;6.9;7.9;7.9;4.8;4.9;7.3;8.1;17.3;8.6;19.6;4.8;4.6;9.4;7.3;8;18.2;9.1;7.8;4.2;8.1;6.8;22.3;3.9;4.5;26.7;11.5;4.5;3.8;7.4;28.7;20.8;23;28.5;7.4;7.5;42.6;11.8
51334;17.2;8.7;11.7;4.4;10.1;11.3;9;20.2;8.2;5.3;12.7;6.2;4.8;10.9;9.2;5.9;5;6.5;8;5.5;6.3;7;12;5.4;10.1;9;25.1;6.1;5.4;8.1;28.9;31.6;6.7;37.3;7.2;6.2;35.7;11.6
51336;13.7;10;11.5;6.6;7.7;11.7;8.7;13.1;19.3;5.5;19;6.1;5.1;13.8;9.1;10.5;12.1;9.8;10;5.5;7.7;10.1;19.9;4.9;6.7;15.8;24.1;6.1;4.6;8.5;29.5;34;15.3;34.9;8.7;8.2;39.4;13.2
51337;17.7;28.5;24.4;11.9;27.2;23.8;23.3;30.1;31.2;36.5;41.8;32;16.5;32;28.6;30.6;23.9;29.3;45.2;29.2;37;22.8;47.8;40.9;14.6;31.7;46.4;26;16.1;37.8;48.9;43;35.5;47.7;16.5;30.9;38.7;31
51350;3.2;2.6;3.8;2.5;1.9;1.8;4.2;2.9;5;2.4;3.2;2.4;1.4;3.2;4;2.3;2.8;2.8;3.7;1;2.1;1.7;4;0.8;1.9;3;2.7;1;0.6;2.1;4.4;3;2.9;4.9;2.1;2.7;49;3.9
51366;21;30.2;19.4;19.1;27.9;20.5;15;14.7;19.2;17.7;17.5;19.7;20.6;17.4;25.4;26.2;23.3;19.3;22.3;19.9;24.6;18.6;29.5;20;27.7;19.8;18.4;14.8;18.2;34.7;36;19.8;24.2;41.7;11.4;22.9;20.9;22.1
51368;22.2;22.6;17.8;17.9;17;10.7;11.4;9.6;13.7;12.3;10.8;14.3;17.8;9.3;18.9;20.1;17.7;10.2;12.3;13;16.4;10.1;21.2;13.9;17.1;10.5;11.5;12;13.8;25.6;26.9;14.4;13.4;24.2;11;16.3;16.3;15.5
51369;27.7;24.6;19.3;21.4;30.4;18.2;13.4;16.2;13.3;20.3;14.4;21.4;24.1;19.7;16.6;17.5;24.6;15.5;16.9;15.1;20.7;19.6;24.3;19.2;17.9;11.9;17.6;15.6;18.2;26.3;31.4;17.9;19;25.5;8.7;21.5;18.8;19.6
51371;18;22.2;16.9;16.4;21.9;11.4;12.8;12.8;16.1;11.6;10;14.6;19.4;11.4;16.8;23.5;16;15.1;18.6;15.8;17.1;10.4;20.4;17.6;21.3;11.8;13.3;12.5;17.1;25.4;28.9;12.9;16.8;33.7;9.8;18;16.4;16.9
51372;19.8;29.9;18.8;15.9;32.9;26.2;19.1;19.7;18.3;25.3;21.1;22.6;24.5;20.5;23.5;19.7;33.8;19.1;21.5;21.3;19.9;33.1;25.8;28.7;27;24.1;19.1;17.5;19.8;27.1;34.9;22.6;15.4;40.8;11.7;21.2;22.7;23.4
