code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;24.3;18.3;24.7;17.4;14;11.8;30.5;25.2;30.5;17.5;26.4;14.4;13.6;29.3;28;19.9;29.4;20.3;35.4;12.3;20.2;17.4;40.3;11.9;14;36.2;30.6;13.1;10.8;23.9;48.4;41.1;33.4;49.3;16.8;22.2;93.1;26.1
51334;36.6;27;20.1;18.7;31.4;21.3;51.7;40.7;34.6;18.1;30.4;21.7;16.2;27.2;45.6;19.4;15.9;28.3;21.5;18.6;20.3;31.8;41.2;15.5;40.8;22.1;39.3;18;14;30.1;38.7;38.1;28.6;62.1;22.2;25.4;123.9;31.3
51336;33.6;27.5;27.6;19.4;23.8;20.2;47.8;34.4;42.8;19.1;30.3;21;17.6;34.2;43.4;23.4;24.3;27.7;31.5;18.1;25.1;32;50.3;17.4;24.1;33.3;46.3;19.7;15.2;30.2;46.4;49.2;33.4;65.4;22.2;28.3;118.2;33.1
51337;120;102.4;134.8;59.7;68.4;77.9;68.6;97.1;93.1;57.6;106.1;91.4;55.7;92.7;74;101.5;80.2;91.9;89.5;86.3;109.7;69.6;173.9;75.6;63.4;103.3;116.9;52;41.8;111.8;160.7;116.9;117;125.5;41.7;74.2;149.9;93.3
51350;5.9;5.3;5.4;5.5;4.3;3.8;11.1;6.5;9.2;5.1;6.8;5.6;2.8;7.2;9.3;4.5;5.9;6.2;8.6;2;3.9;3.9;8.9;1.7;5.4;5.8;5;2.2;1.4;3.9;6;6.9;6.2;8.7;4.1;5.6;62.6;7.1
51366;155.3;162.3;158;167.9;103.3;64.2;82.3;107.2;131.3;112.3;84.3;106.6;93.9;87.8;64.2;170.8;130.1;87.2;141.5;128.2;95.1;76;166.5;113.6;94.4;70.9;85.4;119.1;125.5;101.9;204;133.3;128.9;272.4;67.3;72.6;142.5;119.1
51368;112.1;122;132.7;118;91.6;40.9;52.4;83.1;78.4;68.7;55.1;74.4;72;68.5;47.3;120.1;84.3;55;98.8;88.8;70.9;43.4;126.5;66.1;81.2;53.7;77.3;95.5;81.7;84.3;171.3;100.4;98.5;211.5;41.6;48.7;125.1;87.6
51369;165;166.8;183.1;167.8;132.4;82;84.8;161.1;142.7;151.1;88;160;112.6;110.2;59.9;126.2;143.7;98.7;173.2;109.8;122.4;87.7;196.3;128.9;126;90;139.4;152.5;116.2;142.5;252.8;164.6;153.5;253.4;62.4;74;151;136
51371;103.1;96.3;105.9;112.4;69.7;41.6;58.4;76.3;85.2;73.1;43.5;59.6;66.1;59.4;47.1;132.2;74.1;50.7;92.4;97.4;63;39.6;118.8;65.2;76.7;51.1;59.2;92.2;85.1;64.9;159.5;91.6;88.1;196.9;41.4;47;124.1;81.3
51372;159.5;160.2;152.7;164.7;122.6;78;93.1;138.7;143.8;123;103.2;139.5;95.1;107.8;67.5;146.6;150.5;105.9;150.1;129.5;95.7;102;171.5;122.3;105.5;77;119.2;127.4;119.8;127.6;203.6;143.4;123.2;228.2;65.8;74.7;154.6;126.9
51375;143.3;148;155.1;161.2;132.1;70.8;86.4;198.1;130.6;159.3;96.3;121;104.1;97.2;71.1;110;124.2;73.5;167.2;92.1;118.2;84.2;189;127.4;121;88.9;141.9;158.3;111.6;135.3;234.2;145.9;141.7;221.6;53.3;64.2;153.9;127.9
