code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;16;29.5;58.7;38.2;9.9;48.3;7.6;30.9;26.9;66.3;33.6;34.2;20.2;12.9;46.5;11.3;46.2;8.9;31.5;50.7;12.6;57;35.5;32.8;10.3;42.1;11.8;10.5;27.5;28.2;38.8;62;39.3;40;44.5;30;-999;32
51340;19.6;38.1;21.7;32.5;49;59.8;21;61.7;37.1;43;23.4;34.9;42;53.1;57;14.5;45.2;13;21.4;31.6;14.8;41.7;11.9;26.9;14.2;31.9;27.3;19.6;26.1;30.5;20.5;30.9;22.2;116.9;27.9;12.1;-999;33.2
51341;21.1;24.9;25.3;26.8;45.9;51.3;15.5;37.7;30.3;33;20.7;39.2;33.4;47.7;16.8;12.5;33.5;16.3;22.6;29;25.5;32;16.7;30.7;15.1;36.7;25.5;16.3;34.9;29.1;25.9;29.3;24.8;94;42.1;13.6;-999;29.9
51342;9.7;24.2;12.1;27.6;16.6;19.2;9.6;37.7;19.1;29.2;19.7;27.7;30.6;25.6;45.4;5;25.4;14.6;21.1;26.7;22.4;25.3;16.3;41.9;12.1;22.6;18.5;10.7;18.1;13;22.9;29.6;13.8;36.1;14.1;5.6;-999;21.4
51344;21.4;38.4;31.1;33;45.6;80.7;9;47.8;50.5;36.4;21.5;35.7;35.9;68;23;7.3;42.9;15.4;31.3;29.6;15.3;39.6;8.8;30.6;17.3;33;20;15.1;36.9;40.7;27.2;35;19.7;126.8;36.4;13.8;-999;33.9
51345;18;25.3;32;52.4;38.7;69.8;23.3;33.3;22.1;45.3;29.3;44.9;39.1;53.8;33.7;12;43.3;14.4;24.8;42.2;23.4;35.4;19;30.6;11.5;42.6;34.5;15.4;36.9;24.7;23.8;32.9;33.8;101.9;46.2;12.7;-999;34
51346;12.4;30.2;26.5;45.2;21.3;38.9;10.8;58.3;17.1;28.5;29.9;32.1;41;49.7;45.5;7.5;38.1;15.4;25.6;33.7;39.6;40.5;22.6;35.8;9.7;40.1;18.4;14.3;32;24.8;22.7;26.9;30.4;57.5;30.5;7;-999;29.5
51347;18.6;34.5;46.1;30.9;14.3;24.5;13.4;57.5;21.4;78.8;25.1;41.8;38.5;70.6;72;8;50.5;7.8;61.1;53.3;8.9;52.4;79.8;35;6;68.1;24;17.1;23.8;16.3;46.4;47.7;35.3;53.3;42.6;11.1;-999;37.1
51348;13.6;20.6;32.6;41.3;9.3;32;8.7;31.9;12.2;24.5;30.5;26.6;13.2;26.7;23.2;5;44;5.5;16;11.3;16.8;49.8;28.3;14;6.2;35.4;13.6;5.3;20.9;7.3;25.3;25.9;10.3;29.2;31.8;7.6;-999;21
51349;16.7;43.2;46.3;66.5;38.6;52.4;22;50.7;19.2;52.4;40.2;44.6;40.4;79.3;51.9;7.2;50.5;10.7;34.7;78.9;37.1;50.7;52.3;49.2;7.4;72.4;40.4;19.2;34.8;29;40.8;50.6;45.3;72;42.4;15.2;-999;41.8
51351;19.3;47.7;80.4;65.6;67.8;68.7;24;54.3;31.6;69.5;42.4;48;51.7;104.4;50.2;7.4;57.3;9.1;16.4;105.5;26.1;67.3;32.7;49.8;8.7;76.8;43.3;35.5;36;33.9;33.6;51.1;51.6;94.1;47.6;22.7;-999;48.1
51352;8.4;18.9;8.1;16.9;6;22.7;7.1;15.5;15.1;20.6;16.3;30;6.4;16.1;13.8;6.7;23.2;10;18.2;19.5;9.9;40.2;20.5;10.5;4.6;32;6.1;3.2;13.8;5.1;23.3;28.6;6.2;19.2;23.9;9.7;-999;15.5
51354;14.3;57;58.6;50.6;53.2;41.9;16.8;47.8;34.3;74.9;54.9;63.8;49.9;72.5;61.1;8.2;67.8;7.6;42.2;48.2;14.6;90.4;72.7;33.9;8.9;83;49.6;9.6;39.5;16;58.3;81.7;46.6;57.1;62.8;20.6;-999;46.4
51359;15.8;55.3;55.7;44.6;50;43.5;24;49.1;32.5;83.2;42.6;56.7;38.8;86.3;47.1;6.9;74.5;7.2;58.9;25.9;15.1;67.5;86.3;34.9;7.8;85.8;54.2;8.9;53.6;19.3;50.5;80.1;35.1;85.1;57.2;12.8;-999;45.9
51361;9.3;19;17.8;26.4;12.9;29.5;7.4;31.9;10.5;22.1;26.5;27.8;29.9;27.2;29.4;4.4;28.3;14.9;22.2;16.8;20.8;30.8;18;23.5;7.5;23.6;13.2;6.2;32.6;11.3;18.9;22.2;22.7;26.6;19.6;5.1;-999;19.9
51363;5.3;7.5;5.3;10.8;4.6;10.8;4.7;10.2;11.8;12.2;11.6;13.7;3.6;8.7;9.3;4;19.6;7.6;18.5;7.4;7.8;12.9;23.5;3.9;1.7;23.9;1.9;1.5;11.8;2.4;33.2;7.4;2.6;4.9;6.9;5.8;-999;9.4
51364;8.9;10.4;15.8;17.7;5.2;20.1;9.6;13.4;10.9;17.8;12;19.2;12.2;18.2;15.2;2.3;23.6;5.8;19.7;13.1;10.6;27.7;19.9;8;1;20.5;2.8;1.5;18.9;3.2;19.2;7.7;8.5;7.7;16.6;7.3;-999;12.6
51377;9.1;22.5;21.7;17.9;5.8;18.3;10.2;25.8;26.1;40.9;16.1;18.8;9.5;7.8;24.2;5.4;22.2;6.8;16.7;16.7;6.3;45;24.8;25.3;18.2;37.9;12;8.5;49;14.6;28.7;39.1;37;28;32.7;35.5;-999;21.8
51380;11.1;38;45;42.4;36.2;44;13.8;31.4;31.9;47.4;40.3;34.9;38.4;33.1;29.4;6.5;56.7;10.1;32;66.6;8.9;64.2;15.2;48;8.5;37.2;27.1;11.3;33;32.5;35.9;55.6;38.8;51.3;41.8;19;-999;33.8
51384;11.6;21.4;42.1;20.1;10.2;36.3;10.6;28.9;26.7;32.5;26.6;30.4;14;10.7;20.8;12.5;27.1;7.3;23.6;25.1;7.3;50;26.3;24;18.8;31.8;10.9;9;34.2;9.2;37.8;34.7;38;32.1;45.3;27.4;-999;24.3
51388;16.2;33.1;27.8;34.8;25;29.6;13.7;32.1;23.4;39.3;28.4;21.2;19.7;14.2;21.4;17.8;35.3;10.9;19.1;45.4;19.3;52.6;11.7;27.4;14.3;27.2;21.2;13.2;28.4;21.7;39.7;48.1;31.1;32.4;33.5;22.1;-999;26.5
51389;13.8;31;24.3;30.4;8.2;23.8;10.8;37.9;34.6;34.5;27.8;37.2;12.4;29.6;32.8;6.7;34.9;9;14.8;27.5;10.1;48.7;39.6;19.3;9.7;63;16.6;7.9;24.8;9.7;41.4;61.3;30.5;27.6;48;14.6;-999;26.5
51392;6.3;19.4;6.1;10;1.9;7.4;4.8;6.8;11.6;14.8;7.7;15;3.8;8.1;14.8;4.8;12;5.9;10;10.7;4;15.2;10.8;11.4;2.4;19.7;9.7;3.2;24.9;7.3;14.7;23.1;8.6;10.3;15.9;17.1;-999;10.6
51394;11.9;16;10;22;4.1;7.7;10.5;14.9;22.4;26.5;7.8;11.2;6.2;10.2;22.6;11.4;19.6;6.7;20.9;11.2;5.8;30;23.8;23.9;11.2;32.3;14.4;3.9;43.9;18.5;13;32.5;13.1;18.2;18.9;28.4;-999;16.8
