code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;84.5;88.6;120.6;68.9;46.4;97.2;27;96;113;99.9;80.1;98;57.5;64;89.7;49.7;151.7;25.1;84.9;65.5;41.4;124.1;64.2;73;26.1;186.2;44.2;34.7;98.8;47.3;72.2;117.8;102.3;74.1;112.1;58.3;-999;80.1
51340;130.4;94.4;54;83.2;80.6;101.8;37.9;138.5;121.9;132.8;68.5;119;96.9;135.3;88;18.6;230.4;28.5;52.4;76.5;43.6;121.1;30.4;56;22.2;107.8;60.5;34.5;74.7;40.1;53.6;90.3;84.9;161.3;53.6;15.6;-999;81.7
51341;177.1;87.1;81.6;79.1;118.1;122.4;38.6;141.5;119;84.3;70.9;138;63.3;164.1;35.5;18.8;172.8;26.7;69.7;83.5;58.4;140.4;33.2;67.6;27.9;158.5;60.7;34.9;138.9;43.6;89.8;89;100.2;166.9;63.2;21.2;-999;88.5
51342;38;50.9;35.1;64.2;29;51;17.4;134.4;69.9;94.3;59.3;131.8;107;75.9;144.8;9.7;168.2;34;52.2;52.2;51.7;96.5;27.9;75.1;14.5;74.6;41.3;15.2;57.9;28.1;106.2;80.8;45.1;69.5;30.7;7.3;-999;62.3
51344;149.9;80.1;53.7;62.2;72;99.2;40.3;118.3;115.3;77.4;58.7;113.4;61.9;138.7;40.4;14.3;208.1;27.4;65.1;60.7;47.9;108;35.6;41.1;28.2;107.3;52.6;32.1;74.5;41.6;56.7;52.5;69;185.3;48;16;-999;73.7
51345;176.3;118.5;105.8;125.1;98.1;178.7;42;149;146.2;130.9;114.9;150.1;96.7;191.1;47.7;23.6;228.7;30.9;70.9;135.7;62.6;155.6;41.5;85.7;24.8;197.4;97.4;34;193.1;68.8;67.5;127;149;144.8;109.1;24.2;-999;109.5
51346;76;95.9;74.5;90.6;42.5;115.9;17.1;167.4;98.6;127.1;103.5;167.2;93;129.6;121;14.7;221.9;29.7;61.4;77.8;63.3;129.5;41.7;71.9;14.4;165.4;58.4;21.5;112.4;45.2;55.9;98.8;75.1;71.1;76.6;11.9;-999;84.4
51347;73.2;104.7;120.3;57.2;36.8;69.6;26.8;154.6;77.1;127.4;82.1;139.6;60.8;103.4;98.2;20.6;220.2;18;117.7;79.4;34.2;136.6;88.1;68.4;14.6;251.6;47.9;24.3;82.6;31.9;68.8;109.3;77.1;68.2;119.8;27.1;-999;84.4
51348;26.9;37.4;46.9;59.7;21.3;81.7;21.2;84;42.6;83;65;88;23.8;55.8;42.5;10.9;163.3;12;31.4;26.9;30.9;119.6;53.7;30.9;12.7;72.9;23.2;13.1;55.5;13.3;42.8;46.5;21.6;39.8;48.2;15.3;-999;46.2
51349;107.5;155.4;127;112.6;82.6;149.5;31.5;203;109.1;177.5;138.5;187.1;101.4;200.7;94;19.9;250;32.3;84.5;121.7;72.8;162.6;77;99.6;18.6;300.6;62.5;27.6;143.5;58.7;65.1;123.9;101;87.8;163;25.9;-999;113.2
51351;131.3;181.6;167.9;121.4;112.2;201.6;42.8;193.4;154.5;164;147.7;181.4;114.2;219.8;82.9;22.8;241.5;36.4;76.6;172.7;62.3;196.8;58.5;110.7;24.9;292.4;86.3;38.9;182.7;90.1;58.2;133.7;135;106.5;155.8;39.7;-999;126.1
51352;17.4;48.2;15.3;24.7;13.3;35.5;14.2;32.9;34.4;49.5;38.6;68.3;11.5;23.6;22.1;9.8;78.3;14.5;24.9;26.2;18.5;123.2;36.2;18;7.4;77.4;9.9;6.6;34.2;7.6;27.2;53;10.7;29.4;46.5;20.6;-999;31.4
51354;74.7;136.2;162.9;87.1;71.8;112.3;44.5;171.2;171.6;167.7;150;182.4;95.8;145.7;127.5;36.3;264.4;28.7;107.4;88.3;59;190.7;111.9;106.7;31.8;262.9;71.9;38.4;126.1;38.9;113.8;149.8;88.7;92;156.5;42.3;-999;114.1
51359;68;110.1;160.2;97.2;65.4;120.6;39.5;169.4;154;158.9;138.9;182.5;81.5;183.5;129.8;24;307.4;24.2;108.8;79.5;49.2;168.2;108.4;86.7;23.9;232.3;69.9;28.6;111.8;31.2;114.1;140.8;81.5;95.9;155.3;25.1;-999;109.1
51361;24.8;37.5;35.5;47;26.2;89.6;12.6;108.3;44.5;83.5;66.3;126.7;74.7;55.8;104;8.3;178.3;25.9;58.4;31.1;37.6;85.4;33.8;49.7;9.8;82.6;36.1;10.2;83.5;26.2;55;65;41.6;39.5;47.1;9.2;-999;54.2
51363;7.8;11.1;9.9;15;8.7;14;7.4;15.9;18.5;26.6;19.9;43.7;6.4;15.2;14.7;7.8;56.3;9.9;22.6;9.5;11.2;28;37.2;7.2;3.3;40.8;3.7;2.7;20.4;3.7;34.4;11.3;5.2;9.1;12.1;8.8;-999;16.1
51364;10.3;18.4;23.5;27;8.8;44.2;13;27.4;22.6;71.7;30.7;69.1;20.9;29.8;32.9;4;107.2;8.2;30.8;16.6;17.8;57.4;38.8;12.9;1.6;45.7;5.2;2.5;36;5.4;22.5;15;14.3;14.3;29.8;10.5;-999;26.3
