code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;6.3;9.6;14.7;19.2;15.1;10.4;10.3;9.5;13.5;11.8;13.3;12.9;15.7;6.9;7.6;9.8;9.7;10.3;13.2;12.1;8.3;16.1;9.9;12.6;19.5;15;7.8;9.5;9.5;19.8;14.3;18.3;14.4;19.9;13.2;16.5;-999;12.7
51334;6.7;11.2;12.8;19;11.2;12;7.4;9.6;16;17;9;11.3;19;7.2;15;14.6;10.7;13;15.6;14.1;6.7;14.3;21;8.9;24.5;14.4;9.1;13.3;13;17.8;16.7;15.5;12.4;21.9;11.9;16.8;-999;13.6
51336;6.5;9.7;14.2;18.3;11.5;11.2;9.1;9.4;14.1;16.1;9.7;12.8;16.1;7.9;11.7;11.7;9.9;9.2;13;12.2;7.8;15.6;14.3;7.1;19.7;14.6;8.6;10.4;10.8;18;14.6;16.7;14.9;16.3;12;16.8;-999;12.6
51337;7.7;9.7;19.8;14.8;11.9;11.4;10.4;13;11.8;13.2;15.8;11.9;10.9;8.8;7.6;8.7;9.6;9.7;16.4;11.5;7.5;16.2;9.2;6.7;20.2;16.5;10.3;10.6;9.4;19.9;26.1;20.4;9.3;15.2;13;17.6;-999;12.9
51350;6.3;8.8;10.6;19;12.6;11.3;12;10.4;14.3;14.5;10.5;9.9;24.4;17.5;10.5;12.6;8.8;10.8;12.3;13.2;8.9;11.5;21.5;17.5;19.4;10.1;13.2;20.1;9.2;15.7;12.9;15.5;15.1;16.2;12.7;20.1;-999;13.6
51366;7;4;9.9;19.4;7.6;7.8;11.3;9.2;3.7;10.4;5.7;3.2;7.7;8.5;8.9;6.8;3.2;15.2;6;4.5;12.9;10.6;9.3;4.4;24.2;4.2;6.7;8.7;5.9;8.5;4.9;6.4;8.5;7.2;4.8;7.4;-999;8.2
51368;7;5.4;8.1;17.7;6.6;7;9.6;7.2;3.4;10.8;8.5;2.7;9.5;8.3;7.2;8.9;3.1;14.4;7.5;4.6;7.5;6.6;8.1;2.6;24.9;3.6;9;7.2;5.1;8.7;6.7;4;9.5;5;3.8;5.9;-999;7.7
51369;8.3;7.7;14.6;16.1;8.4;10.3;15.2;15.4;4;11.3;8.6;4.1;7.9;10;9.4;7.8;4.9;15.1;8.2;11.3;11.3;4.6;9.5;7.8;25.3;4.7;12.1;9.8;6.1;9;5.4;8.3;10.1;6.9;4.2;9.4;-999;9.5
51371;6.1;3.2;8.1;17.2;5.7;5.5;8.3;8.5;2.8;9.7;5.9;2.2;7.1;7.4;7.6;8.7;1.9;14.2;4.7;4.2;11.9;7.6;8.4;2.7;21.1;3;7;6.2;5.4;8.3;5.6;3.6;7.8;6.1;4.4;7.3;-999;7.1
51372;6.6;5;10.4;19.7;8.8;10.8;15;12;4.2;11;4.9;4.7;6.8;11.2;13;6.3;4.6;16.2;7;6.8;13.9;12.4;10.4;6.7;25;5.1;8.5;11.6;6.3;8.3;5.9;8.7;11.7;10.9;4;10.5;-999;9.6
