code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;18.3;31.1;74.2;48.3;20.6;41.5;7.6;30.9;45.8;56.7;38.2;39.2;36.3;14.5;28.9;9.8;92.2;12.1;57;45.5;8.4;94.7;18.6;45.8;7.1;40.1;10.4;8.3;33.5;41;39.3;90;49.2;51.3;38.3;26.3;-999;37.5
51334;15.4;32.9;51.6;27.8;10.2;32.3;9;47.5;21.7;69.9;23;33.4;33.6;26.3;67.7;9.8;43.9;7.6;63.6;58.7;9.4;47.2;67.8;19.6;5.8;54.7;13.5;9.2;19;24.5;28.5;51.7;30.9;45.6;35.1;18.6;-999;32.4
51336;17;29.3;60.1;38.8;12.5;37;7.6;40;29.5;74.5;31.8;35.9;28.2;18.2;57.5;10.9;57.3;9;46.5;45.7;10.8;53.1;39.6;31.4;8.8;45;9.6;13;26.8;34.7;29.8;65;45.8;40.6;36.6;28.7;-999;33.5
51337;12;27;55.6;22.3;13.8;33.3;11.3;23.7;25.1;28.3;27.4;32.4;14.2;10.2;15.8;11.4;31.7;8.6;33.1;25.5;8.4;54.7;14.8;21.4;15.9;32.7;8;9.1;37.9;21.2;32.3;53.5;42.5;19.7;42.2;31.5;-999;25.2
51350;18.5;38;63.3;51.8;41.5;43.8;12.5;61.2;30.3;73.6;38.5;52.6;63.7;57.1;57.9;10.7;70.9;9.1;54.7;70.2;8.4;87.9;57.5;49.3;5.3;49.4;29.6;29.9;35.6;24.1;30;53.9;48.2;42.3;38.3;23.6;-999;42.6
51366;13.2;28.9;27.3;23.5;16.4;19.4;14.7;21.9;18.4;28.6;15.3;15.8;21.2;21.9;24.8;13.4;36.9;14.3;20.7;27.9;13.1;29.6;19.5;16.6;10.8;34.1;20;13.8;29.7;16.5;20.3;38;28.2;23.1;33.6;25.2;-999;22.1
51368;16.7;16.5;20.7;17.5;13.9;15.6;11.1;17.2;15.4;22.3;12.3;11.8;15.7;15.7;16.1;14.9;30.2;10.1;20.7;21.7;12;24.5;14.9;16.5;7.8;33.5;19.8;7.9;28;13.5;20;29.8;23.1;24.9;32.9;19.6;-999;18.5
51369;15.2;20.6;22;18.2;11.9;18.9;11.1;21.7;20.8;20.3;10;11.7;16;11.6;17.9;15.7;35.2;10.9;21.3;20.6;13.4;32.2;24.7;24.8;9.1;41.8;20;14.1;27.2;18.3;17.9;40.1;23.6;20.5;23.3;32.7;-999;20.4
51371;14.6;16.5;27.6;17.6;18.8;21.7;13;20.6;17.4;24.8;13.9;10.1;15.5;15.5;14.5;12.3;30.4;8.9;17.6;22.6;12.4;23.5;13.1;14.4;6.9;25;19.7;8.7;23.4;13.2;18.1;24.2;24.7;22.8;26.1;18.7;-999;18
51372;12.3;34.9;21.1;24.8;16.6;18.3;18;21.3;20.8;32.2;16.2;25.3;22;20.5;27.9;17.1;40.5;20.3;23.6;41.6;16;34.7;20.3;22.5;15.6;45.6;22.6;20.4;28.3;18.9;25.4;45.4;27;23.7;32.1;29.6;-999;25.1
51375;20.1;19.7;14.3;15.3;10.3;19.9;7.7;18.9;18.7;16.5;11.8;9.6;14.9;14.7;12.8;12.8;31.9;8.5;22.1;19;8.4;20.3;27.8;13.9;7.5;38.7;19.3;10.4;24.2;17.8;12.4;43.2;24.5;17.2;21.1;32.1;-999;18.3
51378;12.9;36.1;25.8;24.9;20.6;21.7;18.3;19.2;25.5;38.6;13.8;28.1;31.1;18;29.4;18.6;36.4;21;25.1;50.1;18.5;46.4;16.1;27.3;14.8;34.5;22;23.6;29.3;16.9;36.2;47.8;30.5;24.4;31.7;29.7;-999;26.8
51382;11.7;32.9;25.8;24;15.6;12.6;12.3;20.4;25.9;39.5;20.7;22.2;13.5;6.1;32.6;14.2;39.8;8.4;23.5;25.5;17.2;61.6;30.5;37.7;11.4;44.8;20.2;19.3;39.5;24.4;27.1;50.3;35.8;27.2;28.6;27.5;-999;25.8
51385;9.4;23.5;20.4;22.2;6.3;14.9;14.9;23.1;32.5;48;11.2;18.2;8.8;11.2;27.1;7.3;22.2;6.5;26.4;16.2;7.5;46.7;31.2;24.3;18.4;42.5;15.7;6.2;55.1;19.4;34.5;49.2;33.8;27.3;25.6;40.4;-999;23.6
51386;11.1;28.5;48;29.4;12.7;29.7;9;23.9;25;32.8;23.5;31.8;15.7;8.1;18.8;7.8;34.8;9.1;32.2;24;9.1;67.7;19.2;29.8;13;27.6;10.5;10;33.5;19.4;35.7;58.8;39.7;29;36.8;26.7;-999;25.6
51391;10.4;16.1;8.2;21.7;4.9;7.9;11.1;9.3;25.8;20.1;6.4;9.4;5.9;10.2;19.6;13.9;15.1;7;23.2;10.3;6.4;24.9;31;21.2;14.9;25.2;10.4;3.2;38.8;13.4;17.7;35.1;32.2;24.9;18.5;26;-999;16.7
51393;10.1;28.8;26.8;19.2;10.9;14.7;15.8;16.5;26.2;36.3;12.5;16.1;9.3;11.9;27.8;10.3;26.4;9.1;23.3;17.8;10.2;50.4;26.1;21.8;13.6;41;11.4;9.6;41.6;17.6;24.7;45.5;38.7;30.6;23;31.9;-999;22.4
