code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;88.8;123;173.2;88.2;43.8;111.7;25.7;100.3;132.4;86.5;97.9;110;66.8;54;64.4;31.8;180.1;33.6;130.4;69.2;26.5;207.3;39.3;75.4;18.5;182.8;41;25;113.3;65.2;92.2;166.6;138.6;95.9;118.5;58;-999;91
51334;67.4;77.5;112.9;63.3;33.1;76.5;24.4;115.1;80.6;110.7;65.6;112.9;54.3;62.7;97;26.9;166.1;18.6;114.3;67.5;35.2;107.6;70.3;51.5;16.4;215.8;41.4;25.3;77.4;36.1;53.9;108.7;78.1;64.7;100.1;36.9;-999;74.1
51336;86.8;91.3;125.9;68.9;38.6;96.3;23;102.1;104.7;105.6;76.9;105.8;60.8;62.6;93.4;39.5;172.1;23.5;101.5;65.7;33.9;131.9;60.5;66.8;20.1;199.1;40.2;33.3;98.3;51;63.1;129.4;113.6;71.3;107.3;51.2;-999;81
51337;55;86.7;85.9;47.3;30.6;69.6;31.7;51.1;105.8;59.5;58.2;84;44.9;37.4;48.4;36.5;96;21.1;53.3;49.1;30.7;153.7;43.1;67.9;28.8;135.1;28.7;28.8;129.3;33;66.1;81.6;103.3;55.3;98.5;54.1;-999;63.6
51350;89.6;164;155.1;103.8;75.2;131.8;27.4;159.1;104.1;142;97;174.8;85.4;123.2;83.3;24.2;216.5;26.1;107.5;96.6;31.9;190.9;63.8;93.4;17.3;268.4;51.1;33.6;127.2;55.3;57.1;138.2;109.3;71.6;141.7;39.3;-999;102.1
51366;83.5;116.9;78.8;102.2;80.1;123.7;53.6;77.5;165.7;110;79.7;123.4;81.8;79.5;84.9;95.4;246.8;41;115.5;184.7;56.9;150.9;104.5;143;29.4;280.7;85.2;61.8;200.8;117.7;142;203.5;121.4;106;232.1;123.1;-999;119
51368;75.7;88.9;66.7;71.4;70.4;118.4;42.5;74.6;147.5;98;60;109.8;75.2;76;80.2;64;266.7;30.9;93.5;147.2;51.6;151.5;100.5;142.9;18;255.6;84.6;47.3;191.5;100.2;99.2;177.8;101.2;95.3;220.2;135.6;-999;106.4
51369;60.4;91;53.2;68.3;45.8;84.6;43.8;57.2;138.3;88.5;54.5;84;75.3;49.9;58.3;48.5;262.6;27.3;88.6;128.6;51.4;142.9;100.9;110.2;23.1;228.3;61.8;49.9;173;116.2;85.6;190.3;117.8;95.7;171.1;185.5;-999;97.6
51371;86.4;108.3;86.8;86;94.9;149.5;51.7;91.5;166.1;110.3;75.1;112.5;67;82.2;77.7;81.6;280.1;34.5;112.3;186;59.7;149;95.6;144.3;25;275.7;91.8;55.2;192.9;95.5;125.4;185.1;110.3;103;206.7;99.8;-999;115.4
51372;71.4;115.3;67.7;97.9;71.3;99.2;47.9;64.8;164;109.6;74.9;117.4;84.6;67.4;76.8;74.5;264.1;41.2;105.3;152.8;48.4;159.2;87.8;134.7;34.4;272.5;77.3;56.8;196.5;116.9;127.1;176.4;131.3;95.4;200;124.8;-999;111.3
51375;71.5;95.9;54.2;65.3;48.4;113.3;38.9;67.1;135.3;91.8;53.1;90.8;75.3;60.4;55.6;45.6;279.1;28.2;99.2;122.7;35.2;153.2;97.6;108.2;19.7;286;63;43.2;165.3;100.6;81.7;225.9;110.8;98.4;173.4;222.2;-999;102.1
51378;62.5;130.2;86.4;91.4;73.2;94;40.7;56.3;171.6;92.5;63.3;114;64.7;56.4;63.6;58.2;243.3;34.4;96.9;128.1;42.3;161.7;57.6;136.8;38.8;250.9;74.8;49.4;192.7;92.2;130.9;148.3;138.2;77.9;165.8;96.8;-999;102.1
51382;41.1;91.4;49.8;69.8;28.3;35.3;22.9;38.9;118.9;71.2;52;67.3;45.7;20;43.7;24.6;131.4;15.2;82.1;80.2;37.6;166.1;59.5;90.6;31.2;146.9;40;30.9;202.4;61.2;69.1;115.9;117;56.7;93.8;68.2;-999;69.9
51385;24.6;56.3;47.7;32.1;13.9;33.1;24.6;33.1;101;50.8;24.2;40.7;25.2;27.5;39.4;17.5;68.2;15.1;38.9;32;18.4;147.9;55.8;48;26;116.9;31.7;14;167.8;35.9;61.3;94.8;70.2;41.3;80.2;77.1;-999;50.9
51386;54.3;88.3;91.3;61.7;27.2;71.1;19.4;51.5;111.3;55.5;58.5;86.4;40;29.4;47.2;25.2;95.2;22.6;68.8;49.9;27.2;173.5;38.4;74.3;29.6;133.5;27.9;21.9;153;35.2;77.4;97.3;113.1;63.1;96;56.1;-999;65.9
51391;24.3;31.9;24.3;35.4;9.9;19;21.3;16.9;88.6;35.5;16.4;31;15.8;20.5;31.3;16;49.5;12.9;33.1;24.6;12.1;115.9;44.1;37.9;17.4;78;25.1;5.5;137;45.3;32;81.3;58;31;70;88.2;-999;39.9
51393;28.8;65.3;42.1;42.5;15.9;29.3;24.9;25.4;92.7;52.7;30.9;40.2;23;21.7;35.5;18;85.2;13.3;49.9;46.6;19.7;150.2;54.9;48;28.5;113.8;26.8;16.2;178.3;38.7;54.6;101.1;83.8;47.2;82.2;73.8;-999;52.8
51395;35.2;53.5;24.5;50.5;16.5;36.5;28.9;19.4;110.7;47;27;45.8;25;20.9;37.6;23.2;97.5;15.5;45.6;45.2;16.4;142.3;52.3;60.2;23;108.8;39.1;9.9;176.6;79.3;47.7;111.7;78.5;48.4;97.5;115;-999;55.9
51396;59.5;79.3;43.3;62.8;37.6;87.2;36.6;60.3;129;81.7;45.3;84.2;50.9;53.6;54.7;40.1;209.7;20.8;90.4;94.1;23.5;168.2;82;93.2;19.6;254;67.6;28;197.2;93.4;72.4;197.9;95.2;76.4;152.1;220.6;-999;90.6
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;60.1;97.6;47.8;68.3;39;80.6;50.4;45.9;139.5;74.1;51.5;75.6;63.2;31.7;42;48.8;218.1;23.7;94;135.7;46;148.9;94.2;89.5;30.5;204.3;51.7;43.7;161.6;126;79.7;192.4;124;91.8;166;201.5;-999;92.8
68769;42.8;75.1;48;60.4;27;35.9;35.5;34;110.6;65;47.9;53.6;42.4;20.1;39.8;31.3;142.6;14.9;71.4;102.8;40.7;153.9;69.3;68.3;31.4;150;38.4;34.5;168.3;79.7;63.1;139.1;114.5;62.6;111.8;106.6;-999;70.4
