code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;9;9.8;11.3;22.3;13.9;11.7;16.6;14.6;15.1;8.1;15.3;9.6;12.5;13.7;12.7;12.1;20.4;8.7;13.3;14.3;9.6;14.9;12.5;10;26;19.1;16.4;16.7;7.1;7.3;12;22.7;18.7;10.5;14;18.6;7.1;13.7
51340;17;24.2;14;27.9;11.7;25.2;23.8;19.4;20.7;17.1;22.2;19.3;22.4;13.9;17;18.5;22.1;10.7;17.7;19.1;22.5;25;14.6;17.5;23.6;26.5;25.1;16;14.4;21.8;14.7;21.7;26.6;12.6;23.6;20.5;10;19.5
51341;12;15.4;13;21.3;10;22.4;23.3;16.6;17.4;12.7;19;18.4;15.6;11.1;12;10;16.4;9.4;15.5;15.5;21.7;23.2;14;13.7;20.1;23.7;22.7;12.4;8.6;19;12.5;20.3;24;16.5;14;18.6;8.1;16.2
51342;21.2;28;19.2;29;21.6;27.7;26.4;21.4;22.6;14.9;23.8;27.9;26.6;18.1;25.8;21.1;26.6;18.4;22.5;28.7;25;26.4;22.5;24.8;26.1;27.5;24.8;18.2;26.7;25.4;25.6;25.7;26.9;24.6;26.2;26.1;11.2;23.9
51344;14;17.9;12.6;25.9;11;23;24;20.8;20.5;15.2;19;19.8;17.9;18.2;13.2;13.6;15.1;10.4;15;23.2;23;22.8;14;14;19.6;24.2;26.6;14.3;10.7;25.1;14;18.8;25.5;16.7;15.9;17.5;9.1;17.9
51345;10.3;17.3;13.2;25.4;7.5;25.5;20.6;20.8;19.7;12.6;19.4;17;14.2;10.4;11.1;10.4;15.9;8.8;16.1;23;21.1;24;13.9;12.7;20.6;24.9;21.6;15.4;10.8;17.1;12.2;17.8;24.3;14.2;14.4;18.1;10.7;16.6
51346;18.7;25.5;13.7;28.9;16;27.3;23.7;24;23.1;14.1;24.8;24.1;19.9;14.5;17.8;21.5;25.3;11;21.1;26;25.1;25.4;15.4;18.7;26.6;26.5;24.4;20.1;21.4;24;19.9;18.4;24;18.9;24.9;21;11.5;21.3
51347;9;14.4;12.1;27.8;15.6;23.6;18;17.3;17.2;9;19.7;16.5;8.6;13.2;13.4;16.1;23;9.6;14.3;19.5;11.9;21.7;14.5;12.6;18.8;20.6;22.5;17.2;10.1;15.5;12.6;23.7;19.8;9.4;14;19;11;16
51348;21.2;24.1;13.3;28.6;18.7;26.1;23;21;17.2;9.9;24.8;23.3;16.8;14.1;12.3;25.9;23.8;13.3;20.5;27.8;22.1;22.9;14.8;12.4;23.5;26.2;25.2;23.7;17.3;19.3;14.7;22.6;26.3;17.1;14.4;17.3;13.7;20
51349;10.9;19.2;13.3;28.2;12.9;24.1;22.5;19;16.5;9.8;19.2;17.6;10.9;12.6;13.6;14.7;21.4;10.4;14.2;19.7;23.3;22.9;14;12;21.7;18.9;22.8;16.3;16;19.3;12.6;21.6;16.6;12.9;15.2;16.3;10.9;16.9
