code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;7.4;8.5;38.4;4.5;26.2;6.3;8.3;9.3;19.8;20.4;5.8;9.2;35.6;26.1;25.2;21.9;5.8;29.2;7.5;7.7;9.1;7.6;11;20.3;21.3;22.9;22.1;23.4;10.4;31.5;16.9;11.3;7.4;16.3;18.2;26.1;54.6;17.7
51340;6.7;1.4;7.4;0.9;8.7;2.5;3.2;3.6;2.7;14.4;2.6;2.4;4.1;3.3;2.3;5.5;2;11.2;3.1;3.9;4.3;8.9;6.6;5.2;3.4;1.6;2.9;3.5;3.6;4.6;15.4;4;1.1;4.1;1.2;7.5;57.3;6.1
51341;4.7;3.1;7.4;2.5;16.1;2.9;6.3;6.2;3.7;26.8;3.5;4.6;5;8.3;5;9;3.4;18.7;5.9;3.4;8.8;9.4;7.1;9.4;4.3;8.8;8.3;6.2;7.7;11.7;14.8;7;7.5;11.3;6;10;43.2;8.9
51342;2.7;0.1;2;0.1;3;0.4;1.2;0.7;1.6;6;0.7;0.4;2.8;1.7;1.5;2.5;1;1.6;0.9;0.1;0.8;1;1.4;1.1;0.4;0.6;3.7;2;0.4;1.9;0.7;3.2;2;1;0.6;3.8;53.2;2.9
51344;6.4;2.3;6.4;0.7;9.6;3;3.5;6.6;3.2;22.9;3;3;3.6;7.2;2.4;5.9;4.1;18.5;5.2;1.4;3.1;7.6;3.9;6.1;4.1;4.6;5.8;4;4.8;9.5;14.3;3.1;4;10.1;1.7;8.8;68.7;7.6
51345;5.9;3.4;13;1.2;12.9;1.3;4.5;6.2;4.1;21.1;3;6.5;10.1;8.8;7.7;20.6;2.8;17.1;4.7;1.7;5.2;10.7;7.5;9.9;4.3;3.6;6.3;6.5;6.9;6.4;14.2;7.3;5.4;6.7;8.9;8.9;55.8;8.9
51346;4.2;0.8;6.3;0.1;6.6;0.6;2.1;1.3;2.9;15.3;1.1;1.4;4;3.9;2.9;5.7;1.1;4.4;2;1.1;1.8;3.1;5.8;3;1;1.7;3.5;2.5;2.1;5;4.3;4.5;3.4;2.3;0.9;4.8;34;4.1
51347;3.6;1.6;9.1;1;21.1;1.1;4.2;8.7;8.3;12.8;2.8;3.5;17.6;7;14.8;10.8;3.4;15.8;5.2;3.1;5.3;4.6;8.7;10.2;5.2;9.5;11.7;5.8;5.2;41.7;11.2;9.6;5.1;11.5;10;14.1;47.9;10.1
51348;4.8;0.9;5;0.6;5.4;1.2;3.4;4;5.2;15.3;1.4;1.9;6.3;4;9.3;1.5;1.6;12.2;2.1;0.3;1.4;1.4;4.7;5.5;1.3;6.4;2.7;1.7;3;9.3;3.8;3.3;2;6.2;4;5.5;22.8;4.6
51349;6.1;1.9;9.9;0.9;14.4;1.8;3.3;4.1;4.8;21.3;3.8;4;9.4;8;11.7;10.1;2.8;13.8;5.4;3.4;3.5;4.6;13;9.7;4.4;5.1;7.8;4.7;5.8;16.8;10.4;10.4;4.4;6.9;5;7.1;38.5;8.1
51351;6.8;3.8;24.6;2.4;16.8;1.7;5.4;4.4;6.2;25.2;4.7;7.5;21.5;13.3;19.1;30.7;2.6;25.1;5;2.2;5.5;10.3;14.5;17.6;13;10.1;12.5;11.4;10.1;14.9;16.4;15;7;11.3;13.6;10.6;38.2;12.5
51352;6.6;5.5;9;3.2;6.2;1.4;3.6;3.7;12;22.4;4.7;7.3;12.4;1.6;9.5;1.9;0.7;11.2;3.1;0.4;5.2;1.8;2.3;3.6;2.6;8.5;5.3;3.6;2.8;10.6;9.3;2.4;2.6;10.4;2.5;8.5;38.6;6.7
51354;5.8;5.3;12.6;5.2;25.4;6.3;5.7;12.7;18.8;28.9;5.4;7.3;37.1;12.6;32.2;8.1;5.2;26.2;6.8;5.3;5.6;7.5;16.8;20.4;9.4;22;10.9;5.8;8.3;46.8;15.9;16.9;7.5;21.1;12.5;20.6;45.4;15.3
51359;4.6;2.5;8.4;2.7;13.5;5.1;4.9;9.9;12.5;23.3;2.7;5.2;13.6;6;16.9;5.1;3.7;16.1;5;2.9;3.8;4.8;11.4;12;3.1;12.5;7.2;2.5;5.8;34.5;12.1;11.6;3.3;16.1;6.2;9.9;49.8;10
51361;3.2;0.6;4.1;0.7;3.8;0.5;2;1.2;2.1;8.6;0.7;0.7;3.1;2.6;2.6;3.2;1.2;3.6;1.9;0.3;0.6;1.5;2.6;2.5;0.9;2.9;3.3;1;0.8;3.2;0.8;2.9;1.9;2;1.2;5.5;31.4;3
51363;3.1;3.5;4.9;1.3;2.4;1.4;2;1.8;2.6;9.3;3.2;2.6;5.2;0.4;4.6;0.2;0.1;4.4;0.6;0.1;1.2;0.1;1.6;1.3;1.4;0.6;2.4;0.8;7.9;6.4;0.8;4;0.7;2.5;0.7;4.3;46.2;3.7
51364;2;2.2;5.9;1.1;3.6;0.8;2.2;2.7;3.1;10.3;2.4;2.3;4.3;1;4.6;0.8;0.5;4.8;1.2;0.2;2.9;0.4;1.7;1.6;2.5;1.6;2.8;1.5;3.1;2.6;1.6;2.1;0.5;3;0.5;7.9;46.7;3.8
51377;6.6;7.2;16.6;2.7;9.6;3;13.1;5.4;21;28.8;3.7;6;19;8;15.3;15.9;1.2;16.8;1.7;2.5;6.4;3.9;5.9;6.9;13.8;12.4;18.1;9.2;3;19.2;6;6.8;6.2;10.7;10.6;7.7;20.2;10
51380;7.7;8.6;28.8;4.3;17.9;4;10.2;7.9;10.3;17.4;7.9;13.7;38.4;15;20.3;28.7;4.3;23.9;4.4;4.3;7.8;13.9;11.9;16;16.7;16;18.3;14;15.4;18.1;17.9;13.9;8.3;13.4;21.9;14.4;34.2;14.9
51384;5.5;7.1;17.8;2.7;22.7;4.5;10.4;6.6;21.5;21.3;3.7;5.5;28.5;17;16.4;13.7;2.6;22.1;4.6;3.3;4.3;4.7;9.9;14.4;18.4;13.7;20.1;9.6;6.7;24.8;9.6;10.7;6.7;12.4;18.5;13.7;30.3;12.6
51388;15.4;13.8;21.1;12.5;19.7;15.4;19.3;17.5;25.2;30.2;13.1;15.5;23.5;16.1;19.1;33.6;9.5;22.2;15.1;9.7;17.3;16.2;12.8;14.5;21.8;15.6;24.8;15.7;13.5;22.3;19.1;16.5;16.3;23;17;15;32.3;18.4
51389;7.5;6.1;7.7;2.4;7.4;1.8;7.6;5.4;16.3;26.5;2.2;3.5;16.7;7.2;15.9;4.1;1;13.7;2;1.1;1.4;2.8;7.9;7;8.4;14;11.8;3.5;2.4;18.8;14;6.8;3.2;12.4;7.8;4.3;36.4;8.6
51392;6.4;4.9;5.4;3.5;4.1;2.3;7.5;5.5;8.3;14.1;1.6;5;8.6;2.9;6.5;5;1.2;7.1;1.5;1.3;4.3;1.3;4.5;2.3;4;6.4;11.3;3.9;1.4;8.8;5.1;3.3;3;5.3;2.8;3.5;11.6;5
51394;6.9;10.1;14;8.2;13;4;12.1;14.9;13.1;21.2;7.2;11.5;20.3;5.7;21;15.8;1.9;19.2;2.6;4;10.2;6.8;6.9;6;9.9;15.2;19.2;8.7;5;16.9;6.8;7.4;7.4;5.4;5.4;6.2;19.6;10.5
