code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;28.4;21.2;60.6;11.5;67;14.1;17.4;19.6;41.2;78.7;12.8;26.6;59.8;43.3;65.3;38.4;14.6;119.6;19.3;15.2;22.1;23.7;22.1;48.1;24.4;39.3;50.4;35.6;37.3;116.6;49.2;25.3;15.3;84.6;37;28.6;135.1;42.4
51340;9;2.2;11.3;1.6;22.8;3.3;5;5.9;4.3;29.9;4.9;4.4;5.8;6.2;4.2;11.4;4;24.9;5.1;4.8;5.9;12.8;9;10.7;4.6;2.7;4.3;6;8;7;16.6;6.4;1.7;8.1;2.3;9;106.6;10.6
51341;10.9;5.8;17.7;4.8;57.3;5.7;8.1;12.5;6;68.7;6.5;9.8;10.4;24.3;12.8;30.4;7.4;60.2;9.6;6.9;14.9;17.8;13.8;37.3;7.6;12.4;13.6;15.2;24.3;18.8;28.5;11.1;12.6;21.5;9.1;14.9;138.9;21.3
51342;4.4;0.1;4.3;0.1;6.8;0.7;1.4;1.5;3;8;1.1;0.8;3.5;3.4;2.1;5.7;1.4;5.1;1.5;0.3;1.4;1.9;2.3;2;0.6;0.9;5;3.7;0.9;2.6;1.1;3.7;2.6;1.9;1;5;125.4;5.9
51344;8.6;3.3;12.5;1.4;33;4.1;6.1;9.5;4.8;52.5;5.7;6.5;6.4;9.6;5.8;12.8;6.5;43.3;7.1;3.2;5.9;13.8;10.2;17;6.8;7.3;7;6.2;12.1;12;20.3;5.5;5.5;11.7;2.9;10;174.3;15.4
51345;12.8;5.5;33.6;2.2;64.5;2.9;7;8.8;6.9;63.5;5;13.7;21.7;24.9;24.9;44.5;4.8;64.6;7.2;2.8;10.3;15.4;15.4;44.8;7.8;8;14.9;17.5;16.2;13.9;33.2;14.9;9.2;28.1;12.7;15.3;97;21.5
51346;7.7;0.9;9.7;0.1;15.7;0.8;2.8;2.2;3.9;24.9;1.7;2;6.7;6.8;4.9;10.1;1.9;14.3;3.3;1.3;2.6;4.2;7.6;5.8;1.3;2.2;5;3.7;3.8;6.4;5.7;7.6;4.7;4.8;1.8;7.4;67.5;7.1
51347;12;3.6;19.4;1.6;40.1;2.5;5.7;11.7;13;34;5.3;6.4;33.8;13.5;41.3;12.6;7;61.4;11;5.9;9.4;11.2;11.7;24.3;7.5;17;18.8;10;12.6;53.7;21.9;13.7;7.9;31.3;15;15.7;156;21.1
51348;7.6;1.7;8.5;0.9;9.7;1.7;4.1;5.5;7.5;35.1;2;3.7;11.2;6.7;17.4;2.8;3;18;3.6;0.7;2.2;2.5;6.1;8.9;2;7.8;4.3;2.1;4.4;15.9;6.8;4.2;2.7;9.4;7.7;9.6;37.6;7.7
51349;15.8;3.3;17.8;1.6;42.6;3.1;4.9;7;7.9;47.3;6.5;7.2;18.7;16.5;20.4;18.5;5.5;46.7;10.9;5;5.2;9.2;18.3;22;6.2;10;13.4;7.8;10.3;22.2;21.8;14.5;8.3;17.2;8.6;11.1;100.3;16.6
51351;18.3;6.6;55.8;4.1;92.3;3.4;9.6;8.6;9.2;56.1;7.9;13.5;41.8;35.7;43.8;50;5.4;98.8;10.1;3.5;8.1;15.4;27;47.8;16.3;13.6;23.3;15.1;15.3;29.1;47.8;19;12.9;43.3;20.2;16.2;104;28.3
51352;11.8;9.6;19.4;5.2;13;2.7;6.7;6.4;22.8;50.1;7.2;12.1;33.4;2.7;23.2;4.2;1.2;21.9;4.7;0.9;7.1;2.8;3.8;5.9;3.6;12;8.9;4.6;4.2;22.4;11.7;3.1;4.3;17;4.5;10;65.8;12.2
51354;21.7;12.6;34.7;10.1;40.5;11.7;12.6;23.3;37.4;108.6;11.6;17.8;59.1;23.8;55.8;19.4;13.9;92.4;20.3;13;13.6;18.9;23.1;42.1;13.6;33.1;24.5;13;21.1;98.1;31.9;22;11.2;52.4;25.1;27.9;124.2;33.4
51359;13.7;5;17.3;4.7;22.9;7.4;6.5;15.5;20.5;68.2;5.2;9.2;34.7;13.9;33.4;10.1;7.6;50.5;11;6.7;6.6;10;13.1;24;6;18.6;13.3;6.7;11;52.9;17.3;13.3;5.5;23.2;13.1;16.8;149.6;20.7
51361;4.7;0.8;7;1.1;7.1;0.9;2.4;2;3.8;15.7;1.1;1.4;5.5;4.3;4.5;5.2;2.4;8.6;2.6;0.7;1.2;2;4.3;3.9;1.4;3.9;4.5;1.7;1.4;4.6;1.1;3.8;2.6;3.6;2.2;8;96.1;6.2
51363;5.4;4;6.5;2;3.8;2.3;2.6;2.7;3.8;23.3;4.1;3.5;5.6;0.5;5.9;0.3;0.2;8.2;1.1;0.3;2.2;0.3;2.1;2.1;2.1;0.8;4.1;1.1;8.3;9.2;1.2;5.2;1.5;5;1.4;6.4;98.1;6.4
51364;3;2.8;7.3;1.4;6.2;1.3;2.6;3.7;5.2;26.8;3.2;4.2;7.3;1.4;8.8;1.1;0.8;9.4;2.5;0.3;4.5;0.6;2.7;2.3;3.7;2.2;3.5;1.8;4.3;4.1;2.2;2.8;0.7;4.1;1;10.8;99.8;6.8
51377;14.2;18.6;37.2;5.3;25.6;6;26.1;8.6;39.9;76.4;5.1;13.1;65.4;14.8;32.2;26.3;2.5;59;3.9;4.1;8.1;8.4;8.8;17;23.4;22.8;71.8;16.4;4.3;113.6;12;11.4;9.3;37.6;15.2;11.1;53.3;25.1
51380;20.6;18.7;83.4;8.8;107.9;8.6;23.7;15.2;24;54.1;10.8;32.8;83.7;53.8;66.8;55.7;8.9;129.3;9.4;7.5;16.2;26.4;26.6;66;22.2;30;66.5;35.7;25.1;60.4;59.1;21.8;14.9;78.2;36.3;25.3;77.5;40.9
51384;15.1;15.3;38.9;5.6;40.5;7.6;17.2;10.4;31.7;78.4;6.7;14.4;47.5;24.6;39.1;21;6.4;71.4;9.3;6.7;9.5;11.3;14.2;24.9;22.1;23.5;47.7;17.2;15.5;104.6;20.4;17.9;10;59.4;28.1;18;60.2;27.4
51388;66.7;60.8;73.9;35.5;114.7;32.7;62.7;33.8;105.1;107.7;31.1;66.2;107.6;71.7;97.5;101.5;24.6;124.1;27.3;28;59.1;51.3;43.2;73.9;46.9;56.7;135.6;71.3;32;130.9;73.4;40.8;38;127.5;41.5;44.2;109.1;68.9
51389;13.2;11.2;17.5;4.8;13.9;3.9;13.8;9.2;19.1;81.4;3.5;5.5;27.8;12.5;30.7;6.9;2.5;24.8;4.7;2.4;2.8;5.2;10.6;12.3;11.9;18.5;18.6;6.4;4.5;55;15.9;9.4;4.6;28.5;13.7;10.1;63.6;16.2
51392;11.9;11.2;10.3;5.2;8.8;4.2;14.9;8.1;21.1;40.4;2.6;6.1;22.9;4.7;10;7.7;2.1;14;2.3;2.5;5.5;1.9;6.1;3.6;5.1;10.3;24.1;6;2.5;32.9;6.6;4.6;5.1;9.9;5.1;5.4;23.6;10
51394;12.7;28;30.8;11.8;30.4;10.4;24.2;25.2;36.5;68.8;11.3;14.8;78;11.8;34.6;29.9;5.2;44.1;6.9;5.6;12.8;14.8;9.5;15.3;22;30.3;67.7;17.9;6;81.2;12;12.7;10.4;12.8;10.8;10.1;49.9;24.8
