code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;9.4;12.7;10.9;21.6;6.1;16;13.3;9.8;20.5;8;19;11.5;8.5;11.1;13.8;11.3;16.9;9;19.4;15.8;8.7;15.8;13.8;12.7;20.3;12.6;13.1;18.3;13.3;7.7;12;25;24.7;9.2;14;17.4;8.5;13.8
51334;9;10.4;12;27.4;14.7;18.5;18;17.5;14.7;8.7;19.9;13.4;13;14.4;15;16;22.7;8.9;14.5;12.4;11.5;19.4;14.1;8.9;24.5;20.9;17.3;19.5;8.1;7;12;25.2;13.9;10.4;14;18;10.7;15
51336;9;12.5;11.7;24;11.3;16.9;16;14.5;19.7;8.2;18.3;12.8;10.5;13.9;13.8;13.8;21;8.7;15.3;14.3;9.7;17.5;13.3;8.7;26.7;17.5;18.2;18.9;9.9;8.1;12;25;18.9;9.9;14.1;17.6;8.8;14.6
51337;9;11.5;10.6;22.9;15.1;13.3;15.3;16.4;18.7;8.4;18.3;12.4;11.1;12.5;10.3;14;16.4;8.6;14.1;11.1;9.7;14.1;13.6;12.7;19.8;17.3;11.5;18.8;7.8;8.1;12;21.9;25.2;8.8;14;15.7;8.7;13.8
51350;9;16.5;12.1;24.4;9.3;24.8;17.6;16.6;20.2;8.4;16.7;15.7;7.8;13;13.8;13.9;19.7;9.1;14.7;17;14.3;20.4;14;14.1;23.4;13.3;19.6;18.4;13.9;15.7;12.1;23.1;21.1;10.1;14;18.3;10.6;15.6
51366;5.3;4.8;8.6;7;12.7;7;6.8;6.6;7.3;3.7;6.1;5.4;7;5.3;6.8;2.4;12.4;6.6;14.6;18.6;6.6;10.5;11.6;12;22.8;11.7;8.2;6.3;13.8;5.5;9.2;15.7;7.8;3.5;10.6;7.9;4.7;8.7
51368;7.3;5.6;8.4;8.1;13.9;7.6;8.9;6.4;5.9;3.9;5.2;5.6;6.2;7.3;7;2.8;13.3;7.5;17.4;18.6;7.2;11.3;10.3;11.9;19.5;12;7.3;8.7;9;5.2;9;15.1;7.3;3.2;12.7;10.6;4.7;9
51369;11.8;6.9;10.2;19.2;16.1;7.4;5.9;6.7;6;4.1;8.8;5.5;7;9;7.5;3.6;16;7.9;15.3;20.6;8.8;11.5;10.8;11.7;20.2;11.7;8.7;7;15;6.3;10;12.3;13.1;4;14;9.6;4.8;10.1
51371;4.5;5.9;8.1;7.3;14;8.4;8.2;6.3;6.1;5.5;5.3;3.5;6.1;4.8;5.8;2.5;9.6;6.3;14.1;13.3;6.2;11.6;10.7;11.6;16.7;11.7;7.1;4.8;10.5;5.4;9.2;15.4;7.1;2.9;11.6;9.1;5.3;8.2
51372;7.8;5.4;9;7.2;11.9;7.6;5.8;8;7.7;3.8;9;6;7;4.4;7.2;3;11.9;6.7;14;23.2;9.3;11.7;12.2;12.2;21.9;11.7;9.4;8.1;14.3;7.1;9.4;16.5;7.7;4;14;8.9;4.3;9.4
51375;12.8;6;8.6;19.8;18.3;8.1;6;6.4;7.6;4.5;7.4;4.8;5.5;9;7.6;2.7;21.1;7.4;19.9;19.1;8.3;11.1;10.3;12.1;18.6;11.4;8;5.8;15.3;6.5;11.7;13.9;10.2;4.1;12.7;12.7;4.8;10.3
51378;10;6.5;8.6;12.6;9.5;10.7;7.2;9.8;6.2;5.5;9.7;6.1;7.1;6.9;9.1;3.8;13.1;7.2;13.4;16.3;11.9;12;12.4;11.1;20.6;12;9.8;11.7;14.7;8.4;10.9;21.3;11.8;4.2;14;7.7;5.2;10.2
51382;9;9.3;11.1;22;12.8;16.6;9.8;10.1;9.6;6.2;17.9;8.9;4.6;9.8;8.3;8.4;13;8.2;15.7;12.9;18.4;14.1;13.8;13.8;24.4;12;11;15.9;19.6;7.6;11.7;21;24;6.1;14.8;9.5;4.8;12.6
51385;11.9;12;10.1;25.3;15.2;17.1;11.4;14;16.2;7.5;19.4;12;10.2;9.7;12.1;13.3;19.6;9.4;21.8;12.1;19.6;13;13.3;14.3;18.1;15.4;11.4;18.9;19.4;9;13.1;15.6;24.7;10.4;12.5;12.3;11.1;14.4
51386;9.1;11.1;10.2;23.1;11.1;12.5;13.7;11.5;17.3;6.8;17.8;10.3;8.7;10.1;11.5;11.4;13.9;8.4;15.7;13.9;12;15.9;13.8;13.8;18.5;14.4;10.6;17.4;15.6;7.8;12;21.7;24.3;8.1;14.2;11.2;8.5;13.2
51391;13.1;7.1;10;24.7;15.1;13.5;10.2;12;18;5.5;9.7;16.2;10.5;9.8;11.7;8.7;20.7;9;21.5;19;17.2;11.2;10.8;16.2;13;12.3;11.1;17.2;20.3;7.4;11.5;13.2;24.9;10.2;11.8;9.6;8;13.3
51393;12.7;10.9;10.5;25.1;15.4;19.7;10.7;12.1;15.8;6;19.3;9.2;9.4;11.5;11.3;10.9;21.4;8.9;22.9;13.8;18.8;13.8;12.4;15.8;19.1;12.7;11.5;17.1;18.6;8.3;11.9;18.2;25;7.4;14.3;15.3;7.8;14.2
51395;12.4;6.7;9.1;22;14.8;13.7;8.6;8.7;11.9;5.6;9.5;7.8;8;11.1;9.8;6.5;20.4;8.9;17.1;17.5;11.8;11.2;9.9;14.5;13.5;11.8;10.5;14.2;16.4;6.8;12.2;19.7;19.7;7.1;13.7;10.8;7.1;11.9
51396;11.3;6.3;9.1;17.5;15.5;7.7;6.5;5.4;8.5;5.8;6.8;4.6;6.3;8.2;6.9;3.4;21.5;8.1;14.3;18.3;7.1;11.3;10.5;12.5;13.3;11.4;8.2;8.7;13.1;6.8;11.7;15.1;10.1;4.3;13.7;9.1;5.5;9.9
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;14;6;9.9;21.9;15.1;9.1;5.9;6.3;8.1;4.2;10.1;5.6;8.1;9;7.8;3.8;20.8;6.9;20;18.6;11.7;11.2;10.1;12.3;13.3;11.4;9.8;8.6;15.2;6;10.3;11.6;11.9;4;12;9.2;5.1;10.4
68769;12.3;9.5;10.7;22.7;14.1;13.3;9.1;9;12.1;5.4;18;8;7.7;8.5;7.5;8.1;17.1;8.5;18.9;13;16.8;12.3;13.1;14.1;22.2;12;11;14.4;18.5;7.3;11.9;19.7;16.7;5;13.9;10.4;4.5;12.4
