code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;20.5;15.8;87.1;9.9;94.8;7.7;22.7;23.5;41.4;61.7;9.1;25.9;83.6;58.4;79.8;49.1;9.2;126.8;10.5;9.7;20;25.3;18.4;50.3;27.7;32.5;78.1;32.4;30.8;96.5;65.4;21.2;13.3;84.3;35.3;29.9;110.8;43.8
51334;13.5;8.8;30.5;4.2;47.6;5.7;8;12.7;18.2;38.8;7.3;10.6;41.2;19.6;45.7;18;9;68.7;11.6;9.2;13.5;14.5;11.8;26.9;11.3;23.9;25.6;17;20.4;78.4;27.7;15;8.6;47.2;22.8;18.2;150;26
51336;21.7;14.1;57.3;7.3;69.1;9.1;13.6;16.9;30.1;60;8.9;18.2;58.5;38.3;62.1;34.4;10.3;107.9;13;11;18.7;19.3;16.6;39.6;20;32.5;48.9;32;29.9;97.4;47.6;21.3;12.1;73.2;31.5;24.3;143.8;37
51337;27.6;23.4;61.2;10.7;65.4;11.6;22.1;17.2;54.6;96.3;12.1;28.1;75.6;40.8;65.7;41.3;12.1;124.7;15.6;13.3;21.2;23.4;18.9;43.9;30.5;34.5;77.3;35.6;27.2;132.1;40.1;32.6;16.3;91.1;37.4;26.7;87.5;43.1
51350;13.1;5.8;57.1;4.3;81.2;3.4;9.7;11.2;15.5;39.8;8.6;10.8;55.5;36;48.5;31.4;5.6;93;10.2;6.4;11.3;15.3;18.8;38.3;16.9;24.4;43.2;18.7;17.5;59.7;42.4;18.2;10.8;51.9;20;20.4;123.3;29.7
51366;85.1;87.1;90;43;87.9;83.5;134.7;46.5;124.5;171.5;57.6;81.9;74.9;59.5;100.9;174.3;12.4;88.7;28.9;36;77.2;64.4;50.9;76.8;57.4;71.3;132.4;78;51.2;192.9;74.7;50;60.8;138.6;44.7;43.4;217.4;85.2
51368;65.7;69.2;58.3;41.1;62;72.6;111.4;39.7;108;148.3;53.4;61.6;68.6;43.1;90.1;131.7;13;53;20.2;26.4;58.1;51.2;39.5;59.5;47.6;62.1;114.3;67.3;56.6;154.6;59.2;54.3;47.6;98.7;36.1;30.9;190.4;69.3
51369;54;86.5;74.2;38;78.5;59.6;114.2;55.4;114.2;177.7;44.8;76.9;98.6;45;98.8;128;10.8;81.4;22.8;27.2;47.8;54.6;44.4;77.1;61;65;123;63.4;45.8;171.7;46.2;38.9;44.5;113.8;44.6;36.3;215.6;75.1
51371;74.2;70.9;56.3;45.6;76.1;76.2;99.7;42.8;106;140.3;57.2;71.1;72.4;48.4;104;139.6;14.4;71.8;23.3;31.5;77.7;48.5;36;55.4;46.1;64;116.9;83;50.1;168.8;69.5;56.7;45.6;106.4;33.4;30.9;169.4;72.4
51372;74.7;79.4;83;41.4;95.9;66.9;119.5;54.3;123.2;173.8;51.9;93.8;98.6;69.7;97.3;168.3;9.6;106.4;28.2;35.5;60;58.9;48.4;88;58.4;66;128;64.5;41.1;185;67.4;38.6;60.6;145.4;46.9;44.4;213.4;83.4
51375;50.6;72.7;60;36.4;86.4;65.3;96.9;82.6;103.3;170.9;60.9;74;88;43;100;128;8.5;54;15.4;24;48.9;44.7;46.3;58.7;52.9;64.1;119.5;71.5;51.3;169.4;43.2;38.1;46.1;88;41.1;30;222.8;71.8
51378;68.7;68.9;74.4;42.9;117.8;52.2;89;47.4;117.1;161;35.2;86.7;130;75.4;87.5;138.1;10.4;127;23.4;33.4;56;52.3;44.8;86.1;53.3;60.3;134.9;65.6;31.7;181.8;64.4;39.9;47.8;145.8;42.4;43.5;160.8;78.3
51382;35.8;52.7;45.1;23.4;57.8;22.2;63.5;24.9;77.7;120.7;13.5;39.6;128.9;36.3;64.8;68.9;6.1;98.6;10.8;13.3;18.9;20.8;19.8;62.4;35.7;35.9;113.2;34;14.3;167.6;27.2;20.5;23.8;96.1;26.3;29;151.6;51.4
51385;18.9;35.4;58.9;11.7;40;13.7;42.9;21.1;60.3;104.3;15.7;21.8;105.4;19.4;50;47;7.9;83.6;11;11;17;22.7;14.1;31;36.2;43.1;108.3;31.4;9;132.9;18.9;17.7;17.7;33.1;17;14.2;65.6;38.1
51386;28.6;24.6;52.3;13.3;63.3;10.1;29.4;18.2;64.6;90.5;9.9;28;93;42.9;63.6;46.1;9.2;113.4;12;11.1;21.5;24.5;16.8;38.7;28.7;30.2;94.9;32.9;22.5;128.4;43.9;30.3;17.1;88.5;32.8;29;85.5;43
