code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;14;15.7;10.8;12.2;16.3;7.8;20.3;19.8;23.9;33.7;16.5;12.8;50.3;10.8;15.2;24.1;10.9;34.1;21.5;6.9;36.9;22.3;9.1;18.2;18.2;12.4;18.1;25.6;24.8;30.8;15.3;5.9;39.8;7.2;7.1;36.3;21.3;19.6
51340;10.3;8.2;2.8;3;14.2;8.1;5.9;8.8;12.9;15.4;5.8;4.2;17.7;4.7;3.6;4.2;3.1;26;7.4;4.8;9.4;13.9;2.7;18.6;15.3;3.7;7;13.7;4.6;4.7;3.2;6.4;4.6;3.9;5.3;12;17.6;8.6
51341;14.9;7;5;4.2;16.9;9.6;19.9;9.7;17;14.8;15.2;2.7;18.1;7.5;6.7;4.5;6.7;27.5;16.5;3.8;17.6;18.9;3.2;41.7;26.9;7.4;5.8;14.3;9.3;14.3;5.6;6.2;7.6;4.7;7.2;16.1;24.3;12.4
51342;2.8;2.7;1.6;1.4;4.6;1.8;2.2;6.6;6.9;7;0.4;3.1;13.3;3.9;1.2;3;3.2;9.5;1.8;2.9;3;3;1.1;4.3;2.8;1;2.2;5.1;3;1.3;2.5;1.2;2.5;1.1;0.9;1.8;5.7;3.3
51344;17.2;5.6;6.8;3.6;17.3;8.2;14.2;9;14.6;9.9;10.4;3.7;15.7;5.4;4.9;4.8;3.8;28.8;11.4;6.1;21.5;24.7;3;33.3;34.6;3.6;5.6;16.3;9.7;6.7;4.1;7;5.4;3.6;9.2;14.5;38.6;12
51345;15.7;10.3;3;5.2;14.8;14.2;17;13.8;20;15.1;13.6;2.7;23;8.7;9.3;6.3;5.5;20.4;8.8;1.5;21.8;17;5;30.7;14.1;5.6;7.2;15.2;12.2;16.6;5.3;4.2;9.3;2.4;2;18.2;11.2;11.5
51346;2.2;4.7;4.3;5.2;7.9;3.4;6.5;11.3;11.4;7.9;4.1;5.5;20.7;5;3.7;4.4;4.6;11.4;5.9;6.2;6.3;5.2;2.1;12.7;4.4;3.3;6.7;14.7;6.5;3.2;8.5;3.5;5;1.4;2.3;12.9;6.6;6.5
51347;8.5;7.7;6.3;5.8;13;3.2;15.6;15.4;13.2;33;8.6;4.9;54.9;5.3;6.5;27.6;4.5;26.2;11.4;4.5;30.9;15.2;5.6;14.1;16.7;9.4;28.3;24;9.8;13.7;10.4;3.9;8;3.5;5.8;16.7;8;13.5
51348;0.3;5.4;4.5;2.1;4.1;2.3;8.3;6.1;10.6;5.5;6.4;3.2;19.1;0.6;0.9;8.8;0.6;18.9;1.5;2.6;6.6;5.4;1.4;11.5;3.6;4.1;6.3;8.6;6.2;9.1;2.7;0.5;5.9;0.4;1.9;11.2;2.4;5.4
51349;5.8;5.4;3.8;7.9;13;5.4;14.5;23.3;16.9;16.8;8.1;5.7;39.5;9.6;6.1;10.4;3.4;18.5;10.3;5.6;18.9;10.6;3.9;17.6;6.8;6.2;13.6;24.1;9.6;6.9;13.3;5.7;5.5;2.9;3.6;22.6;5.1;11
