code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;18.7;28.5;23.2;21.1;26.6;21.4;31.2;47.6;82.3;64.1;29.4;20.3;149.8;34.9;28.4;46.9;21.2;199.8;34.2;18.8;142.9;44.2;24.4;47.5;29.1;24.4;49.3;61.7;35.8;51.7;23.6;18;51.6;17.3;21.4;97.7;37;46.7
51340;17.5;10.6;5.8;6.7;17.5;14.3;13.4;34.8;24.8;23;11.8;6.6;59.2;8.9;7;8.4;6.2;123.8;13.3;6.7;17.8;34;4.4;47.6;19;6.8;12.9;27.2;8;10.6;6.5;8;9;6.9;8.4;19.3;36.5;19
51341;31.8;12.3;8.7;9.5;29.1;18.7;27.4;44.7;67.2;32.2;22.9;5.3;66.7;11.9;9.6;8.5;8.4;158.7;23.8;5.3;53.1;69.2;5;112.2;37.1;11;9.9;43.4;13.2;28.1;10.2;9.1;12.3;6.2;8.6;39.4;54.4;30.4
51342;3;2.7;3.2;2.6;5.5;2.3;4.4;16;11;7.8;0.8;4;35.1;4.4;2;4.6;4.2;55.6;3;4.2;4.5;5.7;1.5;9.9;3.8;1.8;4.2;11.5;5.6;2.5;4.3;1.6;5;1.7;1.8;3.4;9.4;6.9
51344;34.1;9.7;9.1;8.3;25.9;15.1;24.8;33.2;35.1;24.5;14.4;6.3;55.2;12.9;7.9;9.5;6.5;154;16.4;7.3;31.6;54.7;5.4;64.7;42;7;12.5;31.8;10.2;13.4;7.2;10.9;10.3;7.2;12.2;26.9;48.2;24.5
51345;24.5;13.6;5.6;11.4;18.6;22.7;24.1;61.1;66.8;26.8;24.4;5.2;96.6;13.7;12.2;10.8;6.4;124.5;16.7;2.5;78.8;58.5;9;79;21.5;9.2;11.4;32.8;18.8;35;8.9;6.9;19.2;3.5;3.1;49.8;39.2;29
51346;3.5;9.4;7.1;7.3;9.8;5.9;10.7;28.2;22.9;12.5;7.1;9.8;46.2;8;6.9;8.9;7.5;70.7;9.1;8.1;12.8;12;3.3;28.5;6.9;5.7;10.9;28.2;12.7;6.4;10.9;4.3;8.8;2.6;4.1;16.9;13.9;13.2
51347;8.9;15.2;10.7;11.7;13.3;7.5;22.9;26.6;42.4;49.6;16.7;9.6;101.5;13.8;11.8;32.8;9.4;157.9;21.3;10.2;72.7;24.4;9.2;32.4;17.2;14.6;34.6;51.7;28.9;24.9;14.2;7.9;20.6;7.5;11.2;44.8;15.2;27.7
51348;0.4;7.4;5.4;3.4;5.6;3.1;11.5;11.3;16.1;9.2;10.7;5.6;32.6;1;1.7;10.6;1;72.2;2.6;3.7;10.9;7.9;2.4;16.2;6.4;5.2;9.2;20.2;10.3;13.1;3.9;1;11.1;0.8;3.9;18.6;3.6;9.7
51349;7.7;14.1;7.1;11.7;13.7;9.9;19.2;44.9;39.9;27.6;13.4;12.7;79.2;15.2;11.7;13.5;5.7;95.8;18.5;8.3;46.3;24.5;7;41.3;9.8;9.2;22;46.4;20.3;13.7;15.7;8.1;12.9;5.4;6.6;31.7;7.6;21.6
