code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;21.2;14;13.2;14.7;23;17.3;17.2;10.3;7.6;28.4;19;14.1;6.9;18.6;26.9;14.2;15.8;8.3;16.1;17.7;9.6;9.8;14.9;13;25.3;11.9;12.8;15;21.8;22.4;24.5;15.3;28;12.5;14.5;9.4;18.9;16.3
51334;29;12.1;18;17.7;23;12;21.8;17.3;8.5;28;24;13.4;11;10.4;18.4;13.4;11.8;11;16.6;17;11.3;7.7;12.7;13;27.6;13.5;15.2;15;15.6;21.5;19.9;19.6;14.3;15.3;12.6;9.5;17.2;16.1
51336;22.6;13.5;12.8;16.2;22.8;11.2;19.3;14.8;8.4;26.8;20.6;14;9.8;10.1;21;13;14.4;10.5;15.8;17.5;9.6;8.1;11.8;12.9;25.9;13.5;12.5;15;16.6;24.3;21.1;13.9;21.9;12.4;12.7;11.8;17.5;15.6
51337;25.8;14;16.4;12.8;21.7;16.2;13;9;7.2;26.4;13.5;20.4;7.8;14.9;19.1;11.4;10.5;8.2;12.3;18;9;10.4;10.1;12.3;25.7;11.9;11;15.4;16.9;23.7;11.6;12.8;16.3;14.3;13.1;11.4;9.5;14.4
51350;24;13;19.1;19.9;21.7;15.7;20.2;11.7;8.4;27.1;18.1;15.1;8.1;22.9;21.6;13.9;22.9;10.1;16.6;18;10.3;13.7;20.9;12.8;26.5;14.9;15;15;18.9;21.7;21.8;15.8;23.4;13.2;17.7;11.6;15.8;17.2
51366;9.8;8.8;9.1;7.8;14.1;6.1;6.4;4.6;6.1;13.3;11.1;10.1;4.3;7.2;10.7;4;4.6;3.8;9.4;9;1.9;3;11.2;5.4;8;12.6;7.3;13.4;10.6;8.6;9.4;8.6;9.6;6.7;17.3;5.4;4.7;8.2
51368;11.6;9.6;9.4;8.9;13.5;7.2;7.5;6.4;6.9;14.1;11.6;13.2;4.3;10.7;11;4;4.2;2.5;9;9.3;3.4;3;11;5.3;11.8;12.9;6.8;13.1;9.4;9.4;11.7;10.3;10.7;6.8;16.5;7.2;4.8;8.9
51369;23.7;11.5;9.7;10.4;20.2;8.9;6.4;7.9;7.2;12.8;10.5;9.9;4.6;11;13.8;4.5;5.3;8.4;9.8;14;5.2;5.2;10.9;8.1;12.3;13.4;6;13.9;9.4;10.4;11.6;10.5;15.9;10.6;17.5;8.5;8.4;10.5
51371;9.5;9.5;6.7;7.9;13.7;4.4;6.5;5.8;6.1;13.3;11.2;12.1;4.3;5.2;10.9;4;4.3;2.6;8.6;9.1;2;2.9;10.1;4.3;8.5;12.4;6.9;13;9.6;8.6;11.2;10.6;8;5.7;15.9;4.5;4.2;8
51372;12.9;10.3;11.3;7.8;15.1;8.8;7.2;5.3;6.3;11.4;12.1;9.7;4.8;9.5;12.7;4.5;6.9;5.8;9;10.7;2;3.6;13.2;7.5;10.9;13.7;8.1;14;15.5;12.4;10.2;8;12;10.6;17.2;6.3;4.7;9.5
