code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;18;13.9;16.2;18.1;16.2;26.9;35.5;58.1;133.5;63.1;30;13.8;173.4;20;30.1;32.1;13.3;231.4;21.4;13.7;247.8;49.5;28.9;70.1;50.6;17;42.7;53;39.7;80.6;18.5;12.4;46.4;15.5;12.6;107.7;40.7;51.7
51334;11.8;17.8;16.8;15.9;16.2;11.2;24.3;27.8;55.9;62.2;22.7;12.8;117;25.7;17;44;12.4;166.7;27.6;12;95.7;36;12.6;31;16.7;17.1;34.4;58.8;29.5;31.2;15.9;11.7;29.6;11;15.7;62;27.2;33.9
51336;17.3;20.1;20.2;17.4;20.7;20.2;29.3;38.7;88.2;59.7;26.6;14.5;137.5;29.5;25.1;43;15.9;195.2;28.6;12.9;147.7;44.7;20;39.7;25.7;19.6;38.9;61.2;29.4;49;19.4;14.2;46.3;14.7;16.6;87.7;35.3;42.5
51337;13.9;24.9;18;15.6;17.9;16.1;34.8;51.9;68.7;49.9;28.4;18.8;136.8;19.1;21.2;27.5;22.4;159.6;25.4;14.4;118.7;45;34.1;72.9;31.4;24.5;46.4;35.7;26.2;55.4;18.7;15.5;50.3;18.9;16.4;90.7;34.9;41.1
51350;10.4;15.2;10.8;18.4;20.6;16.8;35.1;48.7;75;51.8;20.3;8.6;126.6;17;17.6;24.6;6.3;194.6;16.9;8.6;132.6;34.8;13;42.4;26.2;11.1;30.8;58.8;33.4;32.4;13.2;10.2;25.1;7.7;8.2;59.1;21.4;35.3
51366;37.9;61.3;86.2;59.4;76.3;60.3;97.4;140.8;87;71.5;106;37.4;133;42.4;68.3;103.7;80.9;224.7;88.5;35.4;243.7;153.6;58.7;144.4;92.5;72.5;138;47;96;90.6;65.1;18.7;72.5;72.4;14.6;98.4;149.6;89.9
51368;26.6;52.8;64.7;46.5;72.2;44.8;73.2;107.6;59.2;51.7;91.5;27.5;102.5;28.1;52.6;92.3;71.8;182.9;66.2;27.9;145.5;113.4;46.8;117.6;71.8;59.9;109.2;40.2;81.2;65.4;48.6;17.8;57.7;67;14.1;73.7;132.8;70.4
51369;25;50.1;41.3;43.2;66.5;47.7;71.2;123.3;57.3;66.8;108;30.7;136.3;30.8;45.1;82;64;185.6;91.8;37.8;190.9;126.4;53.8;138.8;88.9;58.7;115.2;52.1;81.2;77.6;53.3;18;72;49.2;11.6;94.6;96.3;75.2
51371;36.6;57.3;77;54.9;63.1;62.4;90.9;116.1;81.5;49;104.4;32;113.6;44.9;62.3;100.7;89.6;187.9;76.1;37;154.9;122.4;45.2;128.4;78;67.1;124.1;44.1;87.1;80.5;54.9;22.2;67.8;80;14.6;82.8;157.5;79.7
51372;34.9;53.8;63.4;52.8;72.8;49.9;101.2;145.1;74.7;83.9;111;37.2;157.9;41.8;60.3;98.4;62.6;226;89.3;33.4;282.7;154.4;58.2;138.7;88.4;62.2;147.1;48.7;81.5;95.4;63.8;17.1;66.9;57.3;12.7;117.4;123;88.3
