code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;16.5;14.2;11.6;16.9;24.5;16.3;9.1;12.6;28.3;9.5;19.2;12.4;7.9;12.1;13.7;36.9;41.4;18.6;17.4;7.7;10.8;8;18.3;12.4;24.3;13.4;54.9;9.1;8.1;15.6;19.3;22.5;13.4;9.6;9.1;10.3;20.7;16.9
51340;18.5;28.4;28.2;30.9;28.7;13.5;31.8;18.8;14.6;10.7;78.8;28.8;11.1;16;28.1;17.6;36.5;23;14.8;12.4;15.2;10.4;17.9;12.3;37.7;14.8;13.6;14.7;9.6;22.7;12;11.7;11.7;12.5;17.4;15.4;26.2;20.7
51341;18.4;29.8;24.5;22.7;24.6;8.3;22.7;14.3;14.3;8;18.6;30.7;12.4;14.1;14.1;10.4;35.5;14.9;26.2;15.5;10.5;11.5;11.3;11.2;19.4;10.7;11.9;11;11.1;16.3;10;8.9;9.3;10.8;15.6;11.6;72.3;17.4
51342;12.9;19.6;20.1;33.8;35.2;17.7;14.8;34.8;9;18.4;92;14.3;17;13.9;77.5;17.6;94.6;11.1;24.1;17.8;10.5;12.7;24.4;10.7;71.9;14.5;10.6;11.7;9.1;19.4;16;13.8;13.4;10.9;17.2;12.9;6.4;23.8
51344;25.4;39.6;45.9;41.1;52.4;11.5;53;33.2;13.1;11.5;22.7;46.9;15.7;18.4;16.3;12.5;77;58.8;15;22.4;17.9;16.8;13.9;16;32.6;15.7;19.5;15.3;12.5;28;14.1;11;12.8;16.3;19.9;18.3;113.7;27.7
51345;7.1;10.4;6.9;5.5;6.4;4.6;7.4;5.2;4.7;5.5;10.8;6.9;5.3;5.5;6;5;7;5.2;5;4.3;3.3;4.5;3.3;4.3;4.8;4.8;4.9;4.2;3.6;4.7;3.2;3.3;3.7;4.1;7.2;4;9.5;5.5
51346;8.6;8.9;7.4;8.6;10.9;5.6;8.4;6.9;6;5.6;24.4;6.9;4.4;5.8;10.7;7.2;7.9;6.2;7.4;5.4;4.2;6.4;5.3;4.2;15.8;5.8;4.3;4.7;4;10.2;4.8;5.9;5.1;4.9;7.4;5;9.3;7.3
51347;6.9;12.5;5.6;5.6;7;3.3;3.5;6.8;8.1;5.5;17.2;4.3;5.4;5.4;4.6;5.5;6.1;7.6;4.8;3.6;3.9;3.3;2.7;2.7;5;3.3;13.2;5.2;1.9;5.3;3.4;4.8;4.2;4.4;6;3.3;5.4;5.6
51348;1;0.3;0.9;0.4;0.7;0.6;0.5;0.7;0.8;0.5;0.6;0.4;0.3;0.6;0.6;0.7;0.5;0.7;0.6;0.5;0.4;0.3;0.3;0.5;1;0.3;0.8;0.4;0.2;0.5;0.6;0.7;0.4;0.3;0.5;0.3;0.6;0.5
51349;6.8;6;3.3;4.4;4.3;3.2;4.2;3.4;3.4;3.1;11.6;4;3.4;3.8;3.8;3.8;4.5;4;4.7;3.4;3.3;3.7;3;2.9;4.9;3.3;3.7;3.5;2.3;4.1;2.5;3.3;3.7;4;5.4;3.7;4.1;4.1
51351;3.9;4.9;2.3;3.2;2.1;1.9;2.8;1.9;1.7;1.9;6.6;2.7;2.2;2.1;2.5;2.4;3.2;2.8;2.5;1.8;2.4;2.2;1.9;1.6;3.2;2;3.1;2.3;1.6;2.9;1.6;1.8;2;2;4;1.9;4.1;2.6
51352;1.9;2.2;3.3;1.5;2.4;2.1;2.2;7.8;2.8;2.2;4.7;2.4;1.7;4.6;2.2;3.1;2.6;4;3.3;1.7;1.9;1.8;1.5;1.5;2.3;1.6;7.5;2.8;1.2;3.3;2.6;2.9;4.3;4.8;2.1;1.7;1.7;2.8
51354;9.8;6.5;10.8;10.5;10.2;10.5;6.3;10.4;20.8;7.1;12.3;6.6;6;11;9.9;13.3;13.8;11.8;10.1;6.1;6.6;5.1;7;8.3;12.7;4.7;28.6;6.3;4.4;10.2;9.6;8.4;7.9;6.2;7.1;5.4;10.8;9.5
51359;6.6;3.2;6;5.5;5.8;3.3;3.9;4.3;6.6;3.7;8.8;4;3.6;4.9;3.3;4.1;4.4;4.7;4.5;2.9;2.5;2.5;2.4;2.5;4.5;1.7;4.3;3.5;0.8;4.4;3;4.2;3.3;3.5;4.8;3.1;3.8;4
51361;8.3;8.5;9.5;10.3;13.4;7.9;7;12.2;5.5;9.1;30.5;6.9;5;5.9;18.9;7;22.3;6.6;6;6.4;5.3;6.8;9.7;5.3;26.6;6.6;4.4;5.1;5;13.8;6.1;7.3;6.4;4.7;8.2;6.5;7;9.2
51363;1.9;2.2;1.4;0.9;0.7;0.9;0.9;0.7;1;0.6;4.8;0.8;0.9;1.2;1.8;1.2;0.9;1.5;1.7;0.8;0.6;0.6;0.5;0.5;0.8;0.5;0.5;0.6;0.5;1.1;0.6;0.6;1.4;2;1.3;1.2;0.8;1.1
51364;4.3;1.9;2.4;1.1;1.5;1.2;1.5;1.7;1.4;1.1;4;1.5;1.4;1.3;1.7;1.7;1.5;1.9;1.6;1.5;1.3;1.8;1.3;1.2;1.5;1.3;1.3;1.4;1.5;1.7;1.5;1.5;1.9;1.6;1.9;1.9;1.2;1.7
51377;28.6;20.9;23.4;38.5;39.7;35.3;15.6;38.5;37.6;45.2;45.1;29.2;23;33.2;24.3;35.6;38;27.3;31.6;35.2;36.7;31.5;55.6;34.3;58.4;23.9;40;29.9;45.3;27.4;25.1;26.7;33.9;50.8;27.2;32.8;32.8;34
51380;2;3.1;1.8;2.1;1.6;1;1.5;1;1.4;0.8;1.7;1.9;0.9;1.3;1.7;1.6;1.4;1.9;1;0.8;2.3;0.9;0.9;0.6;1.9;1;3.4;1.9;0.9;0.9;2.1;1.1;0.9;0.9;2.3;0.6;4.1;1.5
51384;19.5;11.3;19.5;23.3;27.4;21.3;10.4;20.4;24.6;31.8;31.9;21.4;13.2;20.4;21.4;30.2;29.8;25.3;23.2;20.5;24.4;15.2;33.5;24.5;36;15;33.6;19;12.8;22.6;22.8;22.6;28.3;23.1;14.2;17.7;37.6;23
51388;13;9.5;19.4;20.1;14.2;15.5;16.3;14.8;14.3;12.4;11.5;12.5;6.8;16.6;17.2;30;19.9;11.5;9.1;12.3;23.3;12;9.9;8.3;14.5;22.2;19;10.4;7.6;8.3;16.8;15.9;12.3;15.1;19.6;10.2;24;14.8
51389;9.7;4.3;11.9;7.6;13.7;9.3;4.7;15.7;14.9;9.2;8.1;6.2;4;10;10.1;8.5;9.1;9.9;9.3;11.3;7.7;4.7;6.7;9;7.3;5.2;16.4;8;7.7;7.7;7.9;11.3;9.1;5.2;7.4;4.6;8.5;8.7
51392;10.2;12.7;14.9;10;13.7;11.1;9;25.1;26.6;12.7;13;11.4;6.2;14.5;15.7;17.5;16.1;13.8;16;10.7;11.1;6.9;12.3;13.6;16.9;10.5;24.9;10.8;9.8;14.1;22.6;23.6;16.8;25.4;10.6;10.6;10.6;14.4
51394;17.2;36.8;19.8;25.5;26.1;43.8;18.6;33.4;42.2;34.6;51;24.7;20.4;32.9;29.4;23.5;28.9;32.7;30;25.3;30.4;23.8;33.7;28.7;48.5;14;43.4;32.2;75.3;29.4;28.4;29.2;38.7;47.3;22;33.9;38.5;32.3
