code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;66.4;43.3;40.6;43.8;57.7;30.2;24.1;44.4;53.4;32.8;50.3;48.4;29.4;57.6;42.2;70.2;56;70.3;44.7;30.6;38.6;29.8;29.4;39.8;50.2;37.5;85.1;40;18.3;41.1;56.6;58.3;44.9;34.5;42.6;25.2;62.5;45.2
51340;61.4;101.8;76.3;84.4;65.2;51;79;48.9;60.9;45.5;118.2;77.7;46.9;91.7;66.3;69.5;89.3;64.2;76.3;55.2;57.6;47.7;56.3;55.1;62.8;56.6;51.4;65.8;36;51;47.8;42.6;42.3;64.1;81.3;47.4;56.2;63.6
51341;42.2;93;59.3;57.3;68.2;32;54.3;36.9;41.6;31.7;76.7;66.1;40.2;84;48;38.7;56.7;50.5;68.7;49.8;44.5;40.1;46.2;44.8;44.4;44.3;40.7;52;34.3;32.3;35.9;35.9;32.5;49.1;67.2;37.5;96;50.6
51342;52.3;73.8;69.4;96.5;55.3;60.6;86.5;62.6;44.4;39.8;133.5;52;39.3;65.2;109.7;77.3;109.2;42.3;76.8;56.6;45.7;63.2;61.5;42.6;130;63.7;40.4;43.6;37.9;75.4;53.9;35.1;48.5;53.6;54.6;31.9;15.7;62.2
51344;79.5;156.5;120.7;95.6;116.7;64.7;98;64.3;70.5;59.8;146.1;121.2;64.2;148.8;88.5;74;135.2;101.7;110.2;88.9;93.6;67.5;89.7;84;69;74.1;72.3;94.6;55.4;62.2;66.3;64.6;50.7;84.3;116.3;62.7;119.5;90.1
51345;12.3;22.1;14.3;14.6;14.1;11.6;15.3;11.3;10.6;13.2;20;12.2;14.6;15.8;11;10.8;12.4;12.3;12.7;9.2;8.6;12.1;7.9;8.4;8.7;9.2;9.8;11;7;7.5;7.1;7;8.4;10.5;15.6;8.1;24;11.9
51346;17.6;21.6;17.9;23.1;16.4;15.5;23.4;14.2;13;12.9;34.1;14.2;12.5;17.1;17.4;17.7;17.7;13.3;19.4;12.8;11.3;17.2;12.1;10.7;22.9;13.3;10.1;11.7;8.8;18.2;11.4;9.5;13.2;14.6;17.2;12.4;20.4;15.9
51347;17.8;14.3;13.9;16;16;8.9;7.9;12.8;14.9;10.5;17.9;14;14.3;18.3;10.3;14.8;12.2;22.7;15.5;8.7;10.6;8.2;6.5;5.9;12.3;8.3;18.4;13.9;4.3;13.3;7.4;11.8;11.9;10.6;15.7;7.9;12.8;12.5
51348;1.8;0.7;1.4;0.9;1.3;1;0.9;1.4;1.5;1.1;1.3;0.8;0.6;1.3;1.1;1.3;1.1;1.4;1.1;0.9;0.9;0.7;0.8;1.1;1.4;0.6;1.5;0.8;0.3;1.3;1.3;1.2;0.9;0.7;1.1;0.6;0.6;1
51349;10.8;9.5;6.7;8.9;7.4;6.5;7.4;6.3;6.9;6.4;12.2;7.5;7.6;8.4;6.8;7;7.1;8.9;10;6.4;7;8;5.4;5;8.4;5.9;6.2;6.7;4.3;7.3;5.2;6.2;7.5;8.1;11.2;7.2;9.5;7.5
