code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;12.8;9;9;9.3;18.7;5.2;6.9;5.3;9.7;5;11.4;9.9;3.6;5.8;9;13.4;9.9;11;11.4;5.1;8.1;4.9;4.2;3.6;5.6;5.3;23.1;6.8;5.7;5;8.9;10.3;5.5;5.4;7.2;3.6;13.6;8.3
51334;8.8;21.2;8.4;8.6;14.2;6.4;5.7;5.9;13.2;7.9;17.7;6.2;8.6;7;7;9.1;24.9;12.6;7.1;5.8;8.9;6;7.8;5.9;10.6;5.2;35.9;7.6;4.5;10.3;7.6;13.2;8;8.1;8.1;5.2;12.7;10
51336;13.9;11.6;8.1;11;18.6;8.7;7.8;7.5;15.3;7;13.2;9.2;6.5;8.5;9.5;20.6;28.1;11.5;11.8;5.8;8.7;6.1;10.2;6.6;11;9.8;38.9;7.3;6.1;9;11.3;15.5;7.7;7.3;7.7;6;15.3;11.3
51337;23.5;22;22.5;25.5;35.3;26.3;12.4;25;33.6;33.4;37.4;28.1;12.7;25.4;29.4;50.7;40.3;32.6;32.7;22.4;32.7;18.3;32.5;24.1;41.9;20.6;44.3;18.7;10.8;18.9;30.3;25.9;25.6;23.9;17.4;17.1;34.5;27.3
51350;4.7;4.1;2.9;3.7;2.8;1.2;3.1;2.2;3;2;7.6;4.9;2.2;2.7;2.6;2.9;3.3;4.6;3.1;1.6;2.8;1.6;1.3;1;3;1.7;8.4;3.1;1;1.9;1.4;2.5;2.3;2.4;4.1;1.3;3.3;2.9
51366;17;15.3;20.2;31.6;23.4;26.5;14.4;26;9.6;14.3;19.6;11.5;13;20;19.4;24.9;23.6;13.4;21.4;24.9;21.2;17.8;17.5;12;15;18.2;21.1;25.1;15.6;12.2;15.3;29.4;35.2;20;19.6;19;22.1;19.6
51368;16.5;11.3;18.3;20.3;15.5;14.1;7.7;26.6;5.9;8.6;10.7;9.9;8.3;13.3;13.5;12.8;18.1;9.5;13.2;15.3;16;11.8;12.1;12.1;9.5;13.6;16;18.7;13.3;10.5;12.7;20.1;26.9;14.6;14.6;12.3;21;14.2
51369;17.9;23.8;14.8;28.1;19.3;23.3;16.6;35.7;10.6;16.5;30.5;14.2;13;21.6;17.2;23.4;21.7;14.4;16.5;19;15.9;25.8;15.8;14.5;18.5;22.2;24.5;24.9;19.8;14.4;15.9;20.1;25.3;31.7;20.8;23;18.4;20.3
51371;16.1;10.4;15.5;22;16;19.1;10.1;28.6;7.7;9;17.5;9.4;7.5;12.6;14.9;14.9;19.7;10.7;15.8;22.1;17.6;14.4;12.5;8.8;10.6;13.8;16.8;16.3;12;11.8;14.9;22.4;27.5;12;12.4;11.6;19.1;15
51372;15.9;15.6;24;28.6;31.1;37.7;21.3;27.3;15.9;18.8;22.1;14.6;16.7;27.3;19.5;35.1;30.2;15.5;23.3;27.7;27.2;24;23.2;17.3;17.1;17.6;23.8;29.2;21.2;15.3;15.8;26.4;30.7;32.8;27;25.7;17.9;23.2
51375;15.4;24.8;10.7;20;14.4;19.7;14;23.3;8.7;14.5;14.4;12.5;10.2;13.6;12.6;13.1;13.9;10.5;12.1;15;14.7;14.6;13;11.3;16.6;16.7;22.7;24.1;12.7;13.2;13.8;18;13.8;23;17.4;17.7;24;15.7
51378;13.6;13.8;20.1;25.1;27.5;29.2;23;28.6;22.7;15.2;22.5;15.9;16.7;34.6;22;49.3;42;16.6;22.5;24.6;34.3;26.7;30.7;21.4;28.6;24.4;32;21.5;21.3;17.5;23;26.5;25.2;36;39;22.4;25.7;25.5
51382;17.3;25.2;21.5;38;31.6;27.2;19.3;38.4;29;25.2;68.5;27.3;32.1;31.1;25.1;45.3;43.5;23.8;24.9;26;32.8;37.6;33.1;29.1;33.2;41.3;40.7;29;33.7;24.6;30.3;23.5;46.8;52.1;40.9;35.1;20.8;32.6
51385;28.2;30.1;19.8;46.6;35.4;45;14.7;31.9;44.5;49.3;72.6;34.5;25.7;33.8;28.8;30;45.7;35.1;40;39.4;39;46;49.7;46.4;73.9;23;51.4;32.2;89.5;34.7;23.3;30.1;42.5;71;33.8;46.5;44.5;40.8
51386;21.6;19;18;22.2;27.9;25.1;13.9;25.3;30.5;18.5;28;20.6;16.2;22.8;24.4;40.6;29.4;18.1;22.9;16.1;24.1;20.6;21.9;13.3;25.7;16.3;35.5;14.9;12.4;12.7;25.1;19.3;19.2;20.4;19.4;15.9;30.7;21.9
51391;19.6;25.4;17.6;24.2;24.5;31.3;18.2;39.6;48.7;25.4;50.2;28.9;24.1;23.5;23.9;19.1;34.7;36.7;34.9;27;32.7;28.4;31.2;31.2;40.2;28.1;50.7;29.7;74.3;27.9;22.4;22.7;41.9;39.9;35.1;32.4;39;32
51393;22.5;30.4;21.2;39.2;32.9;29.2;15.9;32.8;40.4;36.7;52.8;29.7;26.9;27.9;23.1;28.3;39.4;29.3;29.1;28.4;31;40.9;36.8;32.8;43.9;36.6;41;27.9;60.8;29;24.2;22.3;44.1;62.8;35.8;37.1;33.9;34
51395;19.4;23.3;19.7;32.9;22;30.1;18.8;32.4;37.4;27.8;35.7;26.2;23;21.7;20.7;15.2;30.7;24.2;25.4;25.9;30;28.1;25.5;22.9;26.1;31.9;40.6;29.2;47.9;24.8;19.4;24.1;40.7;35.6;28.6;33.2;30.3;27.9
51396;13.5;18.4;11.6;19;13.9;17.9;17.5;19.9;15.4;17.7;17.2;17.5;16.6;11.7;11.3;13.4;18.3;10.3;11.8;16.4;16.7;15.2;14.8;13;13;16.2;26.7;21.5;14.7;15.6;13.5;18.9;19;20.5;15.2;16.7;17.5;16.2
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;19.2;30.5;20.1;36.9;24.5;20.9;17.5;44.5;15.5;21.5;22.3;19.7;13.8;23.7;15.1;19.9;21.9;18.8;15.4;17;20.4;22.1;16;10.8;22.7;27.1;26.5;22.4;22.5;18.1;17.3;18.5;19.8;35.6;22.8;24.4;21.2;21.8
68769;20;32.7;25.1;37.4;37;22.6;20.5;53.9;30;29.8;46.9;22.4;22.8;30.2;21.1;35.1;34.3;26.1;21.9;22.2;25.7;27.5;28.9;26.9;30.6;49.7;30.6;24;32.4;20.6;24.8;20.5;28.4;47.4;27.6;31.6;21.8;29.5
