code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;31.1;25.8;20.4;23.8;26.2;10.4;14.8;19.4;29;13.5;18.7;26.9;9.9;21.5;22.8;28.2;18.5;30.6;21.4;12.6;21.9;16.1;10.9;11.3;19.8;14.3;37.6;22;11.2;13.2;17.6;25.2;15.2;16.2;22.9;9.9;32;20.1
51334;39.2;32.5;29;31.1;35.9;17.4;16.2;25.5;31.1;21.1;35.6;31.8;29.6;43.8;23.5;36.2;36.3;54.9;32.7;22.8;27.1;21.5;17.3;18.4;32.6;24.5;50.5;33.2;12;32.7;22.6;34.1;30.7;26.5;35.8;18.2;39.8;29.8
51336;44.1;33.1;25.6;31.1;40.1;18.2;18.2;28.4;36.4;20.5;33.5;35.1;21.8;40.2;28.5;44.7;36.4;47.7;33.7;21;26.6;21;18;22;32.5;27;58.7;29.7;12.5;26.1;30.4;38;27.5;24.9;31.6;16.8;41.6;30.4
51337;154.3;64.9;103.4;85.9;106.6;69.8;36.5;78.7;108.3;69.8;68.6;108.3;47.9;88.1;82.9;155.5;91.7;94.4;72.6;64.1;74.4;49.4;74.6;58.4;75.5;61.6;126.1;66.8;28.3;68.9;133.8;138.4;117.3;57.2;56.3;53.8;109.8;83.9
51350;7.4;7.3;5.2;8.1;5.5;2.9;5.8;4.2;6.9;3.5;7.9;10.1;4.7;6.8;5.6;6.9;6.1;10.2;7.2;3.4;6.6;3.4;2.8;1.9;7;3.4;9.9;6.5;2;4;2.6;4.9;4.9;5;8.2;2.5;5.9;5.6
51366;148.4;84.1;98.6;131.9;132.7;80.7;67.9;115.3;53.8;57.9;44.6;81.7;35.3;99.4;107.6;122.9;80.4;86.1;64.9;103.8;105;92.2;66.8;49.3;61.3;51.4;105.7;119.4;47;65;82.9;111.9;70;83;55.6;68.8;166.5;86.5
51368;112.7;70.3;65.5;85.8;97.2;54.5;31;103.4;32.7;38.3;32.6;55.3;20.2;73.7;85;69.6;50.7;53.2;54.8;76.8;64;66.6;49.9;34.2;54.4;39.2;92.3;95.7;30;44.5;63.1;84.5;54.6;59.4;36.9;43.2;144.9;62.7
51369;173.4;99.7;80.5;143.6;136.1;112.5;74.4;147.5;73.9;82.4;74.8;108.5;53.8;143.6;115.3;130.7;91.7;106.9;106.3;121;106.6;103.1;97.3;61;102.7;78.2;162.2;149.6;66.1;98.7;104.5;115.9;82.2;121.6;80.7;103.8;162.8;107.4
51371;104.5;52.6;55.7;89.2;88.8;54.3;37.1;100.8;35;33.8;39.4;54.1;17.5;54.5;66.1;72.5;44.2;42.2;37.4;66.3;70.9;64.1;41.1;30;34.7;37.5;72.3;75.4;26.9;34.5;59.9;66;46.4;46.3;30.3;33.3;128.1;55.2
51372;162.1;86.8;109.3;148.2;151.6;101.1;86.8;117.7;85.1;82.4;61.2;103.1;56.8;128;114.6;159.3;111.7;120;85;117.6;121.4;105.5;85.2;67.8;82.4;65.8;115.2;119.9;56.3;87.6;96.4;135.7;81.8;109.4;71.6;97.7;168.3;104.2
51375;150.7;95.1;62.6;121.6;141.7;89;61.6;143.7;59.8;77.4;61.3;91.6;38.2;125.6;123.2;87.7;71.1;83.5;95.9;97.5;90.6;96.2;105.2;50.4;94.6;75.9;166;160.3;57.2;77.9;98.3;106.7;73;115.5;76.3;76.6;174.5;96.6
51378;140.1;73.3;93;133.2;126.6;99;75.2;103.2;101.6;73.1;67.4;107.7;56.6;107;79.9;179.9;101.8;99.7;70.6;95.5;122.7;83.9;72.4;61.7;84.8;70.1;102.8;79;50.2;76;104.5;122.2;79.1;95.3;71;90.6;159.9;94.9
51382;206.2;115.5;135.5;128.7;147.9;125.1;75.2;182.1;176.3;109.3;148.8;171.2;121.7;201.4;119.5;239.9;158.9;153.3;128.7;155.9;144;95.6;108.1;96.9;147.3;116;179.1;148.5;72.9;140;168.3;174.7;175.5;151.9;101.2;178.5;169.3;145.1
51385;159.3;91.9;127.1;120.3;127.7;101.6;52.2;173.5;170.7;117.5;145.3;127.7;81.5;168.4;129.3;177.1;179.4;157;144.7;130.4;128.1;87.5;128;101.6;105;98.9;180.1;151.4;102.9;156.7;151.3;171.9;160;114.8;110.7;140.7;186.2;134
51386;116.8;57.9;75.9;66.2;79;60.4;35.9;84.4;100.2;54.8;57.5;85.3;44.2;73.9;61.9;139.9;83;64.9;53;59.6;70.2;47.6;54.1;36.9;62.9;50.4;100.4;56.2;27.4;58.7;101;102.6;96.3;58.9;57.3;63;117.7;70.7
51391;161.7;121.1;118.3;123.2;155.8;127.9;56.5;207.6;159.5;142.3;175.1;163.8;112.8;170.6;168.4;129.9;163.5;183.9;139.4;159;144.5;90.1;158;103.1;106.4;93.4;196.1;157.4;110;160.6;171.3;174.6;167.1;157.3;127;159;201.6;146.4
51393;185.4;114.9;126.9;137;151.6;120.2;66.7;200.5;180.7;128.2;162.6;164.2;106.2;193.5;142.8;198;151;184.1;142.3;155.6;152.7;102.7;127.1;98.1;127.9;114.7;189;170.3;104.9;163.8;165.3;177.9;175.1;152.8;121.4;180.4;178.6;149.1
51395;190.9;155.4;116;151.6;184.9;145;70.5;229;147.3;139.4;180.1;180.1;109.2;183.6;169.8;131.9;133.3;194.2;137.2;159.7;161.9;117.9;178.8;93.8;123.5;118.9;217.9;189.6;113;160.8;172.8;171.2;150.7;179.7;140.3;174.9;202.9;156.2
51396;132.7;100;57.7;103.2;125;91;66;153.5;79.6;92.2;83;102.4;47.8;109.6;119.3;84.3;84.6;90.6;86.3;85.3;92.4;83;121.5;57.3;103.9;79.5;163;144.5;56.8;77.9;97.9;107.6;78.9;115.7;85.3;82.2;174.1;97.7
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;219.2;138.4;103.6;169.9;215.2;130.1;95.5;211.1;107;102.4;104.5;146.4;73.3;189.6;147.8;147.2;109.2;158.7;145;140.3;146.2;125.6;136.7;66.3;125.8;110.8;208.7;210.1;92.8;140.5;147.7;128.6;105.3;162.6;114.9;136.9;209.6;141.2
68769;229.1;139.5;121.9;158.8;180.8;135.3;83.9;217.7;169.5;117.9;160.8;174.8;111.8;226;134.7;224.5;145.2;190.4;154.8;162;164.3;112.9;131.9;93.8;155.4;130.9;191;200.9;98.5;161.3;168.8;156.4;148.3;160.6;118.1;177.5;194.9;156.9
