code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;17.3;8.3;10.7;14.8;6.7;12;15.6;16.6;14.6;12.5;18.2;8.7;17.9;11.1;9.8;10.2;13.4;20.5;8.5;11.5;11.9;9.7;12;12.3;9.7;11.5;19.5;12.1;9.1;12.3;9.9;12.2;12.8;6.3;13.3;8;8.4;12.2
51340;12.9;8;11.8;7.3;6.2;12.4;14.9;11.6;8.5;5.5;6.8;19.5;6.9;6.2;9.3;8.6;11.2;16.6;7.4;4.7;5.1;11.6;12.4;9;5.7;5.9;12.5;4.6;13.4;8.5;7.8;9.7;10;7;6;5.5;8.2;9.2
51341;19.3;8.8;16.5;9.2;8;17.8;17.4;10.8;8;8.7;8.1;24.1;7.7;8.1;12.2;10.3;11.3;18.7;7.9;7.7;7.2;11;16.9;7;8.6;5.9;10.6;6.1;8.9;20.4;13.1;15;9.5;7.4;7.9;7.2;5.8;11.1
51342;9.9;6.6;12.8;5.9;7.5;12.2;13.7;8.1;7.4;8.8;13.2;25.4;6.4;7.2;7.9;5.3;12.1;13.9;7.1;5.6;6.2;19.4;7.6;12.4;6;7.7;9.2;7.5;5.8;10.8;10.1;11.1;8.7;7.2;6.5;5.9;12.9;9.5
51344;19.3;4.4;14;6.1;5.4;19;13;13;9;3.6;4.5;25;7;5;8.3;6.9;9.6;25.2;5.8;7.3;10.9;6;25;8.4;8.9;4.3;23.6;3;7.4;21;11.4;9.5;6.8;6.4;6.7;4;6.7;10.3
51345;20.2;12.4;15.9;14.4;12.4;24.1;21.7;14.5;19.4;17;16.4;21.3;15;15.2;21.4;17.5;17.6;19.9;17.6;11.9;17.1;13;18;15.7;19.9;15;17.7;13.5;13.7;16;20.4;22.5;16.6;14;14.8;16.7;9.5;16.8
51346;22.2;19.5;18.6;18.6;17.9;20.1;21.2;19.3;18.4;18.9;19.6;21.9;18.1;17.3;19.8;18.5;19.7;19.6;19.7;17.8;19.1;20.2;19.7;19.6;19.8;17.8;19.4;18.1;19.1;17;20.1;20.6;20.3;17.2;17.7;17.1;17.2;19.1
51347;21.8;17.1;14.3;24.7;14.3;14.9;22.7;17.6;19.2;20.1;24.6;17.9;20;15.8;26.4;17.3;21.9;21.6;22;21.3;23.4;15.2;23;23.3;25.7;23.5;22.7;26.1;27.1;25.9;14;20.2;15.7;14.7;22.7;20.1;12.9;20.3
51348;29.8;29.5;29.8;29.8;29.6;29.1;28.9;29.6;29.8;29.5;29.8;29.5;29.5;29.6;29.6;29.2;29.6;29.2;29.5;29.7;29.5;29.6;29.6;29.6;29.6;29.6;29.4;29.8;29.6;29.6;29.4;29.5;29.5;29.3;29.7;29.6;29.1;29.5
51349;27.4;26.9;25.6;24.9;24.9;26.3;24;25.9;26.7;27.4;26.5;26;25.7;24.7;27.1;26.3;26.9;21.7;27.5;27;27.6;24.7;27.3;26.2;29.1;27.9;25.4;27;26.5;27;27.1;27.5;26.8;25;27.4;26.9;14.6;26
51351;24.1;20.5;20.5;22.1;18.5;28.9;24;19.7;21.5;22.3;23.8;18.4;20.6;20.8;22.2;23.6;22.1;21.4;22.7;20.5;24;20.7;24.7;22.6;27.8;22.6;23.6;21.8;20.7;24.5;22.8;23.4;22;20.1;25.4;22.8;17.4;22.3
51352;28.2;27.8;28;28.2;27.4;26.4;26.9;26;27.4;27.8;27.6;27.8;27.2;27.3;27.6;25.1;27.7;25.8;26.8;28.7;28.2;26.6;28.3;28.5;28;28.6;28.1;27.4;28.7;27.9;26.3;28.6;26.7;28.3;28.1;27.8;25.2;27.5
51354;22.1;15.5;15;21.3;15.7;14.6;19.9;17.9;20.1;18.2;20.4;14.8;20;17.9;22.2;16;16.4;21.2;16.5;18.1;19.5;16.2;18.9;19.4;17.7;17.2;15.3;18;22.3;22.1;15;16.7;16.9;16.7;19.1;18.3;14;18
