code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;11.8;16.3;17.7;13.3;15;21.7;25;38.1;11.5;8.7;23.1;8.8;17.5;21.1;11;24.9;33.1;86.4;8.9;9.3;28.5;8.9;11.3;10.3;9.1;8.8;58.5;8.9;16.4;10.1;19.7;27.4;23.5;22.5;19.5;10.5;14.3;19.8
51340;19.4;50.4;50;46.1;13;19.5;27;55.5;23.4;13.8;18.3;47.1;29.7;21.8;7.8;11.9;77.2;45.2;24;45.7;22.6;43.7;43.5;81.3;16.1;47.3;57.4;24.4;111.2;46.7;9.8;15.2;10.8;18.8;12.4;12.5;14.8;33.4
51341;25.2;30.8;45;26.4;9.6;18.1;15.3;37.7;13.1;12.8;18.9;49.1;17.5;16.2;6.4;7.7;53.3;23.9;19;44.9;20.8;10.2;28.2;16.9;13.1;19.6;38.6;21;31.4;69.3;12.6;12.4;10.8;14.8;10.5;11.9;14.9;22.9
51342;21.2;19.8;78.1;54.5;13.7;40.5;45.7;42;25.2;10.6;11.7;61.4;20.8;26.7;9.7;12;108;110.5;20.4;22.8;47.7;114.4;61.3;141.2;12.5;52.4;27.8;17.4;49.9;110.4;10.1;29.9;10.9;42.4;11.8;13.8;8.5;41
51344;32.3;22.4;76.2;31.2;15.4;23.8;18.7;61.2;24.1;18.3;26.2;66.4;28.2;23.7;8.4;9.7;95.7;62.2;34.6;113.3;108.2;13.6;90.9;67.7;49.1;48.6;114.7;26.5;93.1;129.2;11.1;16.7;14;20.6;13.6;17.8;17.4;44.4
51345;5.2;8.6;9.3;13.3;5.4;6.1;4.9;7.9;3.8;6.8;8.5;5.5;6.3;7.2;2.9;4.3;8.5;7.2;7;8.4;6.7;8.2;7;6.2;4.3;4.8;5.6;5.9;8.8;8.6;3.9;4.2;3.9;5;4.2;4.3;8.8;6.4
51346;6.9;13.3;11.9;19.6;4.2;6.3;12.4;14;5.6;4;6.2;7.3;9.6;8.2;3.3;4.8;14.1;16.1;6.5;7.9;5.6;19.6;8.8;26.8;4.5;5.2;8.5;6.4;13.6;12.6;5;5.8;4.5;7;4.4;4.7;6.1;9
51347;5.6;5;5.8;5;4.3;9.6;12.8;5;2.7;4.8;3.7;3.1;4.4;3.3;3.6;5.6;5;25;2.4;2;4.4;3;2;3.3;4.3;3.4;2.9;2.2;2.5;3.1;3.3;4;4.2;7;2.5;3.3;3.9;4.8
51348;0.3;0.1;0.2;0.1;0.2;0.8;1.1;0.6;0.1;0.2;0.7;0.1;0.3;0.3;0.2;0.7;0.3;0.6;0.1;0.1;0.3;0.2;0.1;0.2;0.2;0.2;0.7;0.1;0.1;0.1;0.4;0.6;0.3;0.3;0.2;0.5;0.3;0.3
51349;0.8;1.2;1.4;2.1;1.3;2.1;5;1.7;0.9;1.4;1.7;0.9;1.5;1.7;0.8;1.6;1.2;5.3;1.1;1.1;1.1;1.9;0.5;1.1;0.6;0.7;1.6;0.7;1.3;1.1;0.8;1;0.8;2;0.7;0.9;4.6;1.5
51351;2.6;2.2;2.2;4.2;2.3;5.6;10.7;3.5;2.5;3.1;3.7;2.2;2.7;3.1;1.8;3.2;2.6;8.5;2.2;3;2.6;2.6;1.5;2;1.4;1.4;2.3;2;3.2;2.1;1.7;3.1;1.7;3;2;2.4;3.9;3
51352;1;1.5;1;0.6;0.8;2.1;2.7;1.5;0.9;0.6;1.2;0.7;1.8;1.4;0.7;2.6;0.7;3.2;0.9;0.5;0.5;1;0.7;0.5;0.8;0.5;3.9;0.9;0.6;1.2;1.8;0.4;1;0.5;0.6;1.6;1.6;1.2
51354;12.4;10;7.5;6.6;5.9;16.2;15.2;8.9;4.3;5;9.5;4.1;6.2;6.9;5.4;19.2;11.5;40.7;4.2;3.8;13.5;4.5;3.8;5.7;5.6;5;14.5;4.5;3.8;4.5;7.5;10.9;9.2;7.1;3.5;5.3;6.6;8.6
51359;2.9;4.7;2.4;1.4;1.9;6.8;8.3;2.4;0.8;1.8;1.5;1;2;1;1;3.6;1.9;9.3;0.7;0.4;1.3;0.7;0.3;0.8;1.4;1;3.8;1.3;0.4;0.6;2.1;2.5;1.3;2.4;0.8;0.8;2.5;2.2
51361;7.3;9.7;13.9;18.2;6.4;10.7;9.3;10.6;7.4;4.3;4.7;12.1;7.6;12.4;4;4.4;32.1;28.6;7.7;5.4;5.5;32.7;10.1;44.1;4.1;15.3;12.6;6.2;17.5;20.2;4.4;10.6;4.2;8.4;5.6;4.9;4.1;11.6
51363;0.3;1.3;0.3;0.1;0.2;2.4;0.1;0.4;0.2;0.1;0.1;0.1;0.9;0.5;0.2;0.2;0.3;1.2;0.1;0.1;0.1;0.6;0.1;0.2;0.3;0;4.4;2.1;0.1;0.1;1.4;0;0.8;0.1;0.2;0.4;1.7;0.6
51364;0.4;1;0.6;0.2;0.3;1.6;0.2;0.5;0.5;0.2;0.2;0.2;0.9;0.4;0.3;0.4;0.5;0.8;0.3;0.2;0.2;0.3;0.3;0.3;0.5;0.1;2.1;1.2;0.3;0.2;0.6;0.1;0.5;0.7;0.4;0.4;0.9;0.5
