code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;43.8;41.9;51.6;21.4;46.7;75.1;106.2;83.2;26.1;29.3;40.8;32.6;41.5;49.3;38.5;72.3;51.5;122.4;23.5;27.7;58.5;34.8;31.4;33;36.7;27.9;81.7;28.8;39.1;36.5;66.4;61.3;49.8;73;39;45.2;48.3;49.1
51340;64.1;121.9;107.7;132.3;56.2;48.3;57;122.7;77.4;72;82.3;70.3;112.5;70.7;24.9;42.9;128.4;99.6;97.3;117.8;106.6;63.5;73;125.9;87;103.6;100.4;115.3;150.6;80.5;49.2;46.3;60.2;85.3;72.8;66.8;65.4;85.4
51341;49.8;85.4;72.2;88.1;36.4;30.9;30.2;83.3;45.4;51.4;70.2;69.9;68.8;62.5;17.5;22.3;81.5;47.9;73.6;109.7;80.9;31.5;46.6;68.1;62.8;70;67.3;90.3;74.1;70.8;40.2;40.4;44.2;69.1;53.9;57.9;77.8;60.6
51342;107.6;133.4;193.5;192.5;66.3;91.1;116.9;141.2;74.3;50.6;57.7;73.2;130.2;66.3;39.4;77.2;291.5;149.5;109.4;92;125.4;125.1;105.5;233;74.6;133.3;74.1;99.3;132.9;145.2;51.5;64.9;57.5;112.9;76.2;77.7;30.5;107.4
51344;87.6;120.4;134.3;150.6;67.9;51.9;54;152.5;76.5;94.6;131.9;103;128.6;117.5;24.5;32.5;123.2;107.9;130.4;202.1;177.1;51.3;93.5;147.9;128.4;139;149.6;153.5;164.4;129.2;64.3;65;77.2;113.3;94.6;97.1;82.1;108.6
51345;10.2;17.6;15.7;20.2;15.1;10.6;8;19.2;10.1;15.6;19.4;10.1;15.6;16.7;6.5;8.9;16.5;12.2;19.8;19.9;17;17.9;12;16.1;12.8;13.3;14.6;16.9;19.8;13;9.3;8.1;11;15.9;11.8;11.7;30.4;14.6
51346;17.3;25.2;23.6;31.3;14.9;15.9;20.8;28.4;16.2;14.3;15;13.8;24.4;16.1;9.5;16;29.1;31;19;19.1;18;25.9;19.3;36.1;16.2;18.8;18.6;21.3;29.1;23.5;15.1;13.7;14.6;20.7;16.6;16.8;18.5;20.1
51347;10.3;12.3;12.5;6.8;8.8;13.4;26.9;12.7;6.5;8;6.6;5.5;9.2;7.5;5.9;14.9;8.4;29.3;4.8;4.5;8.9;6.7;4;4.8;7.7;6;5.9;3.8;4.5;5.8;7.7;9.4;7;15.2;4.7;7.5;8.4;9
51348;0.5;0.3;0.4;0.2;0.5;1.6;1.7;0.8;0.2;0.4;1;0.3;0.4;0.8;0.4;1.5;0.5;0.9;0.3;0.3;0.6;0.4;0.2;0.4;0.3;0.3;1.1;0.3;0.2;0.4;0.9;0.8;0.6;0.6;0.3;0.5;0.5;0.6
51349;1.5;2.3;2.3;2.6;2.5;3;6.9;3.4;1.8;2.5;2.9;1.8;2.5;3;1.5;3;2.5;7.1;2.1;1.7;2;3.1;1.1;1.9;1.3;1.1;2.7;1.5;2.3;1.8;1.7;1.9;1.7;3.5;1.5;2;9.7;2.6
51351;4.6;4.8;5;4.9;4.7;5.8;13.7;7.4;5.3;5.6;6.9;4.7;5.4;5.8;3.7;6.4;5.5;11.6;5.1;4.9;5.3;4.4;3.2;3.4;2.6;2.6;4.8;4;6;3.9;3.8;5.7;3.8;6.3;3.8;4.7;7.5;5.3
51352;1.7;2;1.8;1;1.6;3.4;5.6;2.8;1.7;1.4;2.1;1.3;2.6;2.2;1.5;5.2;1.5;5.3;1.6;1.1;1.1;1.6;1.4;1.1;1.7;1;5.6;1.8;1.5;1.7;2.8;1;1.7;1.1;1.3;2.1;3;2.1
