code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;21.1;11.1;9.8;21.5;12.7;16.3;20.4;16;16.2;14.8;18.3;13.4;19.4;17.6;11.2;15;15.8;21.9;12.3;12;9.2;11.6;15.2;16.3;16.1;13.9;19.1;14.9;18.2;17.6;11.3;15.3;13.5;8.7;20.9;11.1;16.3;15.3
51334;20.3;10.8;11;18.7;10.2;13.2;18.4;16.6;18.5;12.7;21.5;11.5;19.1;12.8;16;12.8;18.3;21.5;14.9;10.3;16;10.3;14.3;14;12.8;13.9;17.1;15;14.9;19.4;10.4;13.9;14.9;7.7;18;12.7;10.2;14.7
51336;19.4;11.7;11.1;20;9.9;13.7;18.1;17.1;18.1;15.3;20.1;9.8;19.1;11.9;14.5;13;17.8;21.7;12.9;13.6;14.4;9.6;15;15.7;14.3;13.7;24.1;15.7;14.1;15.4;10.5;15;14.3;7.9;19.7;11.5;11.2;14.9
51337;11.5;7.6;7.9;12.1;9.4;8.3;10;14.8;12;13.4;15.4;8.6;19.8;14.3;7.1;11.7;17.8;17.2;7.1;7.5;12.5;9.4;12.9;7.1;12.3;6.6;10.3;9;10.8;7.6;9.8;12.6;12.1;6.8;10.2;11.2;8.9;10.9
51350;20.8;20;15.9;26.1;16.6;19.9;23.9;18;21.8;22.3;24.3;15.9;20.4;17.6;20.9;20.8;23.5;21.8;23.7;19.9;21.8;16.9;24.4;24.7;27.8;23.2;24;23.7;25.6;24.9;15.2;19.5;17.3;16.9;25.1;19.1;15.1;21.1
51366;4.4;6.5;3;6;7.4;10;6;10.3;10.1;15.7;6.5;3.3;4.4;4.1;6.5;7.3;8.7;8.2;7.8;9.6;4.2;6.1;6.1;10.5;10.8;4.6;9.3;16.6;7;6;4.5;3.8;8;8.9;4.8;9.2;3.4;7.3
51368;5.1;4.8;6.6;6.8;6;10.8;6.8;8.4;6.1;14.6;5.1;4.2;4.3;5.3;5;7;7.3;5;11.5;8.4;4.3;6.1;3.1;10.6;7.3;4.9;11.1;18.1;8.1;5.5;3.6;4;6.2;8.5;4.1;7.4;4.5;6.9
51369;6.3;4.9;4.5;5.5;4.6;11.1;6.3;7.8;8.3;11.3;4.6;3.4;5.6;3.7;4.7;4.2;4.2;6.3;8.6;6.8;4.1;6;3.5;8;7;4.1;9.3;10.3;9.8;3.4;2.4;2.9;5.8;8.5;3.1;9.1;2.9;6
51371;4.5;5.8;5.5;6;7;10.8;6.4;13.8;6.6;19.8;6.5;4.5;6.7;7;7.2;11.5;9.2;9.7;10.6;11.8;4.7;7;7.6;11.3;11;5.9;12.7;19.6;7;7.3;5.6;6.5;7.8;10.1;6.7;8.8;5.2;8.5
51372;6.8;6.7;3.7;5.2;8.4;10.4;5.6;11.1;11.6;17.1;6.6;4.4;4.4;4;5.9;7.2;8.4;10.1;5.8;6.9;4.8;7.4;6.9;11.1;12.2;5.2;7;11.5;11.6;4;6;4.2;8.2;9.1;5.2;13;3.2;7.6
51375;5.9;5.4;4.4;4.7;3.9;13.6;6.9;6.2;6.4;12.4;4.7;2.7;4.5;2.8;3.9;3.9;3.3;5.3;7.5;6.8;3.4;6.6;2.4;5.8;6.5;3.7;10.7;10.7;6.8;2.1;1.8;3.1;4.1;6.8;2.2;6.9;1.9;5.4
51378;8.1;7.2;5;6.4;10.3;10.1;5;13.1;12.1;13.8;9;7.6;8.4;5.1;7.2;11.6;10.6;14.7;6.9;7.8;7.4;8.8;9;9.2;11;8.3;12.5;9.4;18.7;6.8;7.2;8.8;11.4;8.6;8.1;15.3;6.9;9.4
51382;8.8;6;8.8;5.7;8.7;6.9;5.8;11.8;7.4;11.3;4.9;6.6;12.8;7.8;7.4;9.1;6.9;13.8;10.6;7;7.5;9.8;8.4;11.8;7.5;11.5;7.1;9;9;6.2;7.3;8;9.2;6;7.1;17.5;4.4;8.5
51385;11.7;12.5;11.7;7.6;12;7.8;10.2;13.2;11.4;10.8;11.4;7.1;17.6;10.2;9.1;10.2;14.7;13.7;9.3;8.5;11.1;12.1;5.5;13.7;8.8;10.7;6.3;12.7;13;10.1;8.6;9.3;9.9;5.9;10.8;16.5;10.9;10.7
51386;12.6;8.4;8.8;12.5;11.1;8.7;11.8;15.3;13.4;10.4;12.8;8.1;17.8;13.1;9.2;11.9;16.2;17.9;10.2;7.6;12.5;11.3;11;11.6;10.8;8.3;11.5;12.2;15.3;9.4;10.2;13.5;11.2;6.2;11.6;14.1;10;11.6
51391;10.3;8.1;9.1;6;8.5;5.5;7.7;11.7;8.7;6.7;5;5.1;13.6;5.1;6.6;9.6;8;12;9;8.7;9;8.7;5.9;10.2;7.6;8;5.9;11.9;8.5;7;5.9;5.5;7.8;7;5.3;15.1;8.3;8.2
51393;9.9;11.2;10.6;6.8;9.5;7.3;8.7;12.8;9.9;11.5;6.3;6;13;6.6;7;8.9;9.8;12.6;9.6;7.9;8;11.2;7.4;13.7;9.1;10.9;6.1;9.5;8.9;7.1;6.9;6;8.7;6.4;8.7;16;8;9.2
51395;8.9;7.7;6.3;5.2;5.3;8.2;7;8.8;8.2;8.6;3.6;3.2;6.5;3;4.5;6.5;5.8;8.6;7.6;8.4;5.4;6.9;3.7;9;6.7;5.9;6.2;11.1;6.6;4.7;2.5;3.1;4.9;6.9;4;12.9;4.7;6.4
51396;7.2;6;5.3;4.3;5.7;17.7;7;6.7;7.4;15;4.7;2.9;3.7;2.4;3.7;5.9;3.6;6;8.9;9.9;3.2;6.9;2.3;5.9;5.7;4.2;11.8;13.2;7.1;3.2;2.2;3.9;5.5;7.2;2.4;5.8;2.1;6.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;7;4;3.7;5.5;4.4;7.8;6.8;8;7;9.5;3.9;1.9;6.1;2.5;3.8;3.9;2.8;4.4;6.1;6.7;4.2;4.1;2.8;6.3;6.7;2.9;8.3;8;6.4;1.9;2;2.1;4.9;6.6;2.7;10.2;1.9;5.1
68769;8.1;7.1;7.6;5.8;7;7.6;6.5;12;7.1;12;4.9;5.3;10.5;4.8;5.6;5.9;7.8;8.9;7.6;5.3;6.8;7.8;5.4;10.2;6.3;8;7.3;8;8.5;4.7;4.3;4.5;8.1;6.4;6.2;14.7;4.4;7.3
