code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;13.7;10.9;16.1;7.4;22.3;10.2;27.4;32.2;9.5;7.2;12.8;16.5;18.9;20.9;11.6;22.6;15.5;68.5;5.7;8.3;20.4;4.5;11.4;6.1;6.4;5.4;32.6;8;20;17.1;21.9;24.3;21.6;33.1;22.8;9;23.2;17.5
51334;7.9;11.2;9.2;7.9;6.7;15.2;24.3;13.4;6.6;7;8.8;7;7.2;6.1;6.5;11.1;11.1;65.1;4.9;4.4;8.3;6.7;5.3;7.5;7.4;6.5;14.3;5.9;5.2;8;7.6;8;13;12.4;6.3;7.3;8.1;10.3
51336;8.6;11.4;13.2;10.3;9.9;13.8;25.1;32.1;10.7;7;12.9;8.4;14.9;15.3;9.2;12.7;20.8;76.5;6.8;5.9;18.2;6.1;8.6;7.9;7.3;7;46.2;7.6;15;10.5;13.3;18.5;21;19.4;17.2;8.5;10.7;15.4
51337;18.8;28.6;29.4;15.8;39.5;32.8;29.8;27.6;22;21.6;29.9;16.2;38.8;27.9;22.5;37.1;51.4;76;12;18.6;45.9;17;37.2;13.3;28.1;17;46.5;12.4;14.5;14.7;29;44.1;30.3;36.6;26.8;36.3;29.1;29.1
51350;3.4;3;4.5;3.6;3.1;5;16.9;5.5;4.3;4.1;4.9;3.3;5.3;2.9;3.1;5.3;2.6;22.9;1.6;3;5.4;2.6;1.7;2.3;2.2;1.9;4.3;2.2;3.2;3.3;3.5;6.9;4;7;2.9;3.7;3.5;4.6
51366;14.6;16.6;23;19.6;23.4;18.1;33.3;15;15.8;19.2;19.3;21.5;38.5;13.8;28.4;25.7;21;35.5;21.4;26.5;21.2;21.2;16.5;26.1;27.5;19.3;18.1;26.2;14.6;23.5;15.5;31.6;18.9;22.2;26.5;20.7;25.5;22.3
51368;12.4;15.1;19.2;12.9;13;12;22.7;11;13.1;13.1;10.6;17.1;29.5;9.4;20.9;22.6;17.8;27.5;15.5;17.8;13.5;15.9;11.5;20.1;15.3;12.6;14.8;19.3;8.9;15.2;12.4;26;13.8;15.5;20.5;15.3;18.3;16.3
51369;15.5;23.5;28.8;23.9;20.4;21.2;25.4;18.7;20.2;20.5;16.6;30.3;31.6;14;23.7;23.4;18.2;31.4;17.7;20.9;15.5;22.1;16.8;14.1;23.8;20.5;19.1;23.3;16.7;17.8;16.1;23.1;16.5;22.7;27.9;21.6;22.5;21.2
51371;11.4;12.9;19.6;17.2;15.7;15.2;25.1;11.8;12.3;19.2;13.8;16.6;28.6;10.8;19.9;20.6;20.1;24.6;16.3;20;16.4;17.2;11.5;23.8;27.8;20.1;17.4;22.2;9.1;22.2;14.2;32.7;18.6;14.3;22.1;15.1;17.1;18.2
51372;15.1;19;41.9;20.6;28.6;20.4;41.1;17;18.1;35.4;21.5;28.1;33.4;16.6;43.5;30.3;22.8;36.3;27;27.2;22.9;25;17.1;24.5;36.4;25.3;18.8;25.7;19.1;24.5;16.3;30.4;21.7;27.8;24.3;32.2;28.2;26.1
51375;14;25.9;24.5;28;13.8;23.5;27.3;19;28;15.9;14;20.2;26.6;14.3;18.3;20.6;16.1;28.4;14.7;20.3;16.3;18.8;16.7;13.2;22.8;24.9;14.3;21;13;15.8;13.6;24.2;14.3;22.5;24.4;17.7;16.4;19.6
51378;12.6;18.3;41.8;19.8;31.1;23.3;42.8;17.8;17.8;27.4;25.5;28.9;35.2;20.1;45.2;50.5;27.4;51.5;30.2;22.7;28.9;23.3;20.6;22.9;43.9;33.6;19.9;24.9;24;25.6;20.3;28.1;28.9;36.1;26.1;51.2;26.3;29
51382;18.9;13.1;41.9;14.2;41.4;32.8;34.6;25.9;23.8;22.7;23.5;42.8;34.9;33.4;36.4;28.4;29.6;40.4;28.3;29;35;28.1;33.2;33.1;49;35.9;25;29.5;16.6;20.4;20.2;28.4;32;27.2;36.9;33;41.9;30.3
51385;17.1;16.4;54.3;17.5;41.7;20.6;19.6;25.2;32.8;12.4;32.8;47.3;29.2;29.5;23.7;26.3;40.7;48.8;29.6;24.7;37.3;30.4;36.7;54.3;50.2;26.4;31.6;40.4;27.3;23.7;26.3;30.4;19.9;22.8;46.5;29.6;38.1;31.4
51386;18.6;21.9;28.4;11.1;35.2;23.4;28.2;28.3;19.3;18.4;23.6;20.8;38.2;27.6;29.4;38;44.5;54.8;17.3;15.8;38.9;15.4;27.6;15;26.6;17.3;25.4;13.7;16.8;14.6;26.8;33.1;28.5;32.3;25.5;45.4;25.5;26.3
51391;17.1;13.7;34.3;18.2;38;16.6;22.7;17.4;17.7;14.4;25.1;34;25;23.4;34.1;28.2;31.9;57.6;30.2;23.4;28.2;36.6;39.7;39.9;43;20.5;28.2;29.8;24;22.5;27.4;18.8;17.8;33.4;27.9;31.9;27.4;27.6
