code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;30.5;30.7;44.7;10.9;35.7;29.7;94.4;57.3;25.4;20.3;28.4;32;38.9;33.6;34.8;43.9;24.7;97.6;13.2;23.2;53.1;16.3;25.9;16.8;19.4;16;43.1;17.7;31.6;40.4;62.6;49.2;35;61.7;38.5;32;33.2;36.3
51334;23.8;27.1;28.3;15.6;23.7;34;59.7;42.4;16.6;19.5;17.3;15.7;22.1;20.3;17;37.4;22.8;80.5;13;16.1;24;19.9;15;17;22.9;17.6;27.8;16.1;18.4;18.3;23.6;27;25;45.6;17;25.6;27.4;25.4
51336;30.1;29.9;37.9;14.5;33.3;40.5;92.3;64.4;21.7;21.6;26;25.7;32.8;33.2;28.2;44.6;33.3;102.1;16.5;19.9;42.2;24.6;22.7;21.5;25.9;19.6;53.8;21.2;30.2;29.9;45.7;42.6;33.9;55.5;29.6;33.9;32.2;35.5
51337;74.2;62;107.5;35.1;78.9;125.4;163.4;87.3;46.3;42;84.1;61.5;81.4;97.3;73.8;145.9;89.3;127;45.8;50.3;98.8;56.1;67.6;48.4;64.2;51.3;132.1;40.6;41.2;58.1;141.2;93.2;98.8;93.6;61.9;71.8;109.2;81.3
51350;6.6;6.1;9.1;4.1;6;7;30.8;12.3;7.9;6.2;7.6;6.9;9.9;7.5;6.3;11.9;5.8;27.3;3.6;5.5;10.3;5.3;3.6;3.2;4.5;3.4;6.1;3.9;5.6;6.6;7.7;10.8;6.7;12.7;5.1;7.6;5;8
51366;101.4;119.9;102.9;106.5;116.2;89.2;172.8;86;71.2;63.8;126.4;174;176.3;99.8;160.3;112.6;108.3;155.3;121.1;127.2;152.7;75.2;116.2;56.9;75.6;100.3;133.2;115.4;64.5;126.5;117.1;217.1;99.4;118.9;175;74.5;133.1;117.4
51368;73.5;102;82.4;63.6;78.6;68.3;129;64.4;56.9;40.7;83.5;127.5;130.2;67;94.7;82.2;84.8;129.9;92;98.3;107.2;67.2;109.2;56.1;64.7;86.1;115.6;85.6;46.4;100.9;97.5;169.1;78.5;102.6;148.2;49.5;114.5;90.5
51369;84.2;142.4;109.5;110.9;101.2;83.7;150.2;98.6;79.8;54.5;119.8;207.8;152.4;97.4;116.3;120.8;124.5;148.5;107.8;109.3;128.9;91.7;132.2;72.6;81.4;132.1;127.7;103.7;57;125.5;133.9;188;105.7;125.7;159.8;92.4;146.5;116.9
51371;74.8;85.8;71.6;72.4;86;75.8;126.4;63.1;59.5;39.5;84.5;116.9;142.1;58.6;122;75.6;90.7;116.3;84.1;97.9;98.1;60.3;84.6;46.4;56.8;67.3;111.7;92.9;55.2;102.2;98.7;164.2;72.9;85.7;138.5;43;102.4;87.1
51372;103.6;119.4;126;108.9;120.1;96.1;187.7;100.6;73;69.8;154.9;174.9;187.9;118.4;178.8;115;106.8;152.8;109;119.7;162;88.4;126.3;70;87.2;108;140.2;112.7;55.1;129;109.7;208.3;115.1;125.3;175.1;97.8;127.4;123.3
51375;73;149.4;112.8;109.5;92.8;90.6;135.4;112.7;91;48.3;117.1;255.8;150.2;113.4;137.5;119.3;146.1;151.6;112.9;104.1;130.8;98.8;166.2;79.3;87.6;148.1;114.4;109.1;66;142.2;150.1;199.4;103.5;149;186.6;100.4;149.5;124.4
51378;90.2;96.9;121.1;80.2;110.8;96.6;176.9;95.6;68.9;62.9;142.4;133.1;148.6;116.7;167;105.9;93.1;136;84.2;88.5;133;77.1;111.2;67.4;85.5;82.3;123;89.9;49.2;103.2;98.9;150.3;109.4;114.3;155;103.2;113.3;107.6
51382;90.8;86.7;129.7;81.9;102.8;127.8;174.7;90.2;81.2;55.6;144;141.2;127.5;143.3;122.1;134.6;111.8;142.2;83.6;106.4;164.2;99.5;124.2;84.8;113.4;112.9;162;83.8;54.4;108.8;140.9;145.5;143.6;106.3;144.1;109;187.1;117.9
51385;65.6;57.4;118.5;60.2;97.2;99.8;120.8;94.8;79.4;50.2;128.2;107.7;116.4;129.3;91.4;138.1;109.3;127.6;75.1;77;144.3;90;107.5;74.3;105.3;81.1;180.8;82.8;60.7;98.6;132.8;108.1;114.2;86.3;118.9;118.4;136.3;102.3
51386;69.9;54;91.5;29.8;78.3;91.1;134.3;80.3;47.1;38.8;84.1;74;81.7;94.6;79;110.4;77.3;106.8;41.7;46.6;91.3;50.1;71.6;41.9;63;49.2;97.6;35.5;31.5;60.1;112.3;81.9;84.4;89.8;77;74.6;80.4;73.1
51391;63.6;80.9;120.4;98.6;98.7;86.7;115.6;105.7;80.1;64.2;144.3;158.7;125.9;133.2;107;108.5;114.7;123.6;120.4;78.3;171.4;105.9;154;77.7;95.9;82.3;161.4;112.2;68.2;119.3;157.7;139.3;115.1;115.3;161.6;130.5;159.6;115
51393;71.6;71.3;115.6;86.1;97.2;90.8;126.6;85.4;86.7;49.9;136.6;124.3;120.7;136.4;102.2;126.2;113.1;123.7;87.3;91.1;159.4;95.5;129.4;80.2;100.8;97.6;160;84.7;61.1;105.8;142.9;137.9;123.8;96.5;121.5;118.5;170.7;108.9
51395;76.4;113.9;132.5;127.9;111.1;84.2;129.7;115.2;105.3;71.7;163.4;213.8;141.4;154.3;144.1;113.7;138.2;130.7;146.1;104.3;186.3;123.2;212.2;99.2;107.4;118.3;156.3;122.4;90.4;144;199.1;182.9;121.7;152.4;192.5;136.9;177.3;136.2
51396;64;109;130.3;100.4;77.4;94.3;115.3;110.6;96.7;47.4;107;175.5;137.4;125;136;92;124.6;122;100.1;90.2;140;103.2;192.6;90.9;97.5;131.7;110.5;103.1;66.4;132.2;149.3;155.9;93.1;144;190.5;112;137;116.4
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
