code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;44.4;15.9;26;11.2;41.2;36.9;16.9;23.5;38.5;52.5;39.3;14.2;25.5;22.7;53;45.5;30;49;19.5;24.1;42;33.3;25.5;28.2;21.2;68.9;20.4;26.7;29.8;30.4;30.4;13;57.4;54.8;15.5;26;70.8;33.1
51340;53.4;21.9;10.2;12.4;22.2;17.7;9.6;37.8;21;30.6;21.9;14.5;18.5;12;31.8;26.1;15.3;23.3;13.3;21.6;14.7;46.5;21.8;12.4;21.7;19.2;18.8;37.3;12.3;18.1;15.5;15.6;39.2;37;28.7;16.1;123.7;25.2
51341;40.8;22.4;24.8;21.5;17;18;14.4;29.3;30.8;35.4;31.1;10;10.3;23.8;22.4;21.9;20.4;29;22.6;19.6;19.6;34.5;26.6;11.7;21.9;27.8;28.6;45.1;21.2;22.3;14.8;13.5;34.7;42.3;35.4;17.7;130;27.4
51342;27.1;15;5.9;4.3;26.9;10.5;5.1;58.9;11.5;10.5;8.8;10.7;8.7;4.3;15;13.6;21.3;23.8;11.1;17.3;13.5;15.9;14.1;6.2;14;8.8;10;19.2;3.3;11.9;7.4;5;27.9;21.9;17.8;7.8;112.2;16.9
51344;41.9;21.4;19.5;16;14;20.5;10.5;36.1;45.3;63;27.3;13.8;11.3;16.4;34;25.8;18.2;34.8;14.1;21.6;20;42;35.5;17;25.2;39.3;19.5;54.2;17.4;18.8;11.3;7.5;51.4;67.5;35.2;17.1;199.3;32
51345;45.7;20.2;22.7;13.8;18;15;14.4;31.5;17;31.6;23.6;13.6;13.9;22.4;19.6;25.6;18.8;14.7;25.3;21.1;22.7;32.3;20.3;21.1;17;26.8;18;48.6;15.3;24.4;18.8;12.5;35.1;29.6;20.5;28.8;42.2;23.3
51346;37.6;18.4;6;6.3;21.7;15.2;8.3;36;14.9;22.1;14;14.4;14.5;10.8;19.3;23.6;24.9;15.8;16;13.6;14.7;22.6;16.8;14.4;12.3;13.7;14.7;22.5;6.9;23.7;11.9;11.7;23.5;25.6;20.9;12.7;18.1;17.3
51347;42.9;36.5;14.8;11.5;43.9;34.7;13.9;24.9;32.4;78.1;27.3;10.4;28.6;21.4;52.2;54.2;32;48.5;21.8;17.4;34.3;35.3;28.8;26.1;13.8;39.8;25.7;23.3;28.9;33.2;24.6;16.2;47.4;55.5;28.8;23.3;26.8;31.3
51348;18;13.1;4.5;6.5;20;20.6;12.6;17.8;12.7;22;34.1;5.8;5.9;7;20.4;23.6;32.9;22.8;17.7;3.3;18.3;23.8;11.3;33;4.1;5.8;18.3;12.1;5.7;21.8;6.3;5.7;35.6;25;24.1;6.2;8.7;15.9
51349;38.3;24.7;6.3;7.2;28.4;22.7;12.6;31.2;25.3;31.2;22.7;10.7;16.6;16.9;30.1;45.6;33;24.6;21.7;13.9;27.6;30.6;20.3;26.3;16.1;33.5;24.7;28.9;13.3;31.3;24.3;22.4;33.2;40.5;17.7;23.3;24.2;24.4
