code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;230.8;58.7;38.7;28.9;162.7;68.4;38.1;126.2;105.8;212;104.3;33;51.5;58;125.8;114.9;72.6;98;127.9;34;143;89.1;61.8;68.7;58;112.3;51.3;142;52.4;177.2;72.9;25.8;137.4;138;54.4;63.8;155;94.4
51340;218.8;61.2;27.1;29.4;60.7;52.1;19.3;96.4;57.2;157.3;56.1;20.2;44.7;25.7;60.7;83.4;29.4;56.6;36.7;73.2;39.2;93.1;35.1;24.9;63.2;54.7;34.2;131.1;30.1;79.6;38.6;21.1;134.5;117.3;106.7;26.7;285.2;69.8
51341;200.7;60.8;55.1;57.7;50.1;54.1;31;84.6;83.3;211.1;105.8;20.7;34.1;71.9;71.1;105.6;45.3;81.8;95;69.8;44.4;133.7;40.6;40.3;67.4;113.6;53.2;126.9;47;85.2;48.4;29;139.6;182.7;122.1;38.7;330.7;87.4
51342;137.4;32.2;12.4;8.9;57.8;32.7;9.1;116.3;20.6;57.7;15.9;13;20.9;9;27.5;32.1;41.5;68.5;27.1;34.1;38;29.1;27.7;10.8;29.9;21.9;14.9;65.9;6.7;51.1;14.3;9.1;86.5;39;72.4;11.5;278.5;42.8
51344;166.3;61.6;41;40.3;35.2;46.5;20.6;82.7;64.7;219.8;83.6;20.1;21.7;32;58;61.1;25;49.9;41;51.6;29.2;82.3;40.9;26;42.4;77.7;30.6;94.8;37.9;67.1;21.1;15.2;188.3;153.1;118.5;24.1;512.3;75.2
51345;193.7;60.5;59.9;35.8;52.7;59.3;36.4;125.5;66;219.5;82.4;26.7;38.6;92.4;71.3;114.3;38.4;65;107.5;89.1;69.5;127.1;54.2;45.4;71.9;129.6;65.3;255.9;39.1;116.6;71.9;32.8;114.9;143;85.3;45.4;60.7;85.5
51346;200.8;31.5;14.9;12.3;50;44;16.5;102.3;34.1;125.2;36.8;18;27.2;20.2;52.7;69.6;51.8;61.5;58.5;36.4;38.6;54.5;36.5;25;35.1;41.2;34.8;99.2;12.3;137.6;24.9;17.5;99.6;78.8;47.9;19.9;40.8;51.6
51347;234.9;83.7;24.5;30.8;160.6;67.8;24.4;133.8;100;219.1;82.4;19.6;51.3;50;118.4;123.8;70.8;101.8;123.5;23.7;127.4;86.5;51.6;53;42;98.9;59.9;130.7;51.9;164;50.5;28.9;132.1;140.1;49.6;46.9;73;87.4
51348;125.4;20.1;9.1;10.1;57.3;32.2;22.5;45.2;26.2;109.1;51.9;10;9.8;12.1;47.6;36;70.4;38;49.1;5.9;42.2;48.6;15.5;39;7.2;12.5;27.1;28.8;7.4;93.2;10.8;6.8;95;62.9;36.8;11.6;15.1;36.4
51349;222.8;42.7;16;16.3;86.2;50.6;23.5;125.6;58.7;177.4;65.7;18;27.7;38.1;71;102.2;56.2;63.8;91.7;28.1;77;77.1;43.8;50.7;42.5;79.8;47.8;138.1;22;188;63.6;35.4;118.3;115.7;35.4;37.3;41;70.2
51351;187.1;54.2;26.1;21.3;72.3;57;33.4;140.9;76;180.7;91.6;31.9;23.4;72.3;88.1;116;40;48.6;122.1;45.2;108.5;110.7;55.5;67.6;69.8;103.3;40.9;201.9;22.7;193.4;117;57.4;121.4;116.4;54.2;44.5;45.2;82.7
51352;116.4;29.5;8.8;10.9;62.1;41.5;41.3;36.2;52.3;74;48.5;27.6;18.6;25;52.9;48;37.7;29.2;58.3;10.1;49.7;59.6;37.2;45;15.6;30.1;29.6;43.5;15.7;84.8;14.3;14.8;90.3;55.1;17.7;17.9;36.7;40.2
51354;290.7;69.2;20.4;27.2;168.4;75;52.1;109;82.2;211.5;101.7;21.2;45.6;33.9;145.6;156.1;103.4;97.7;142.8;24.1;166;134.5;65.6;81.1;42.3;69.8;85.2;114.1;46.1;194.4;66.1;22.8;143.4;143.1;66;57.3;102.8;96.7
51359;264.2;63.8;14.3;21.5;145.3;76;39.3;87.4;60.1;216.4;92.7;12.8;34;22.9;109.1;127.4;91.1;86;123;16.5;150.1;107.3;44.9;57.8;34.5;53.5;69.9;99.1;35.9;156.8;43.5;15.6;132.7;120.1;62.7;41.5;78.7;81.3
51361;141.9;19.2;9.6;8.7;47.9;33.4;11.8;72.9;24.9;99.8;21.3;12.3;24;14.5;49;33.3;62.7;62.7;42.8;18.6;28.1;21;26.8;14;14.1;25.1;19.9;54.5;8;92;11;8.7;86.2;39.5;49.6;14.2;91.6;38.2
51363;157.3;14;6.2;11.8;59.4;17.9;18.6;27.2;27.7;67.3;34.4;16.9;8.7;16.8;55.7;38.4;46.3;15.6;55;3.4;16.5;19;13.3;11.6;11.3;16.8;18.2;10.7;7.8;90.5;3.9;6.8;102;33.6;30.4;8.7;42.3;30.9
51364;112.7;15;3.2;8.8;55.1;24.6;18.1;36.3;23;81.5;21.8;13.9;11.5;12.9;37.3;27.8;55.8;20.9;31.3;3.1;20.1;17.2;15.3;11.5;3.6;13.4;14.6;14.8;3.4;79.6;1.4;3.6;91.5;36.6;36.2;5.8;47.4;27.9
51377;169.7;37.4;18.8;18.4;89.6;55.8;60.5;57.1;81.1;135.6;91.9;29.4;15.1;71.6;98.8;93;53.9;27.4;126.8;21.4;105.8;97.4;68.7;69.1;71.6;84.2;49.7;103.7;25.6;151.8;94;30.3;112.2;81.2;20;44.1;105.7;72.1
51380;144.7;46.7;38.9;25.6;92.8;59.4;75.3;137.5;87.1;187.5;107.6;33.1;34.1;90;116;117.1;49.4;60.9;173;61.3;142.3;98.3;50.9;82.2;109.5;137.1;47.4;208.8;29.8;168.5;97.3;49.8;151.3;120.3;54.4;56.6;44.3;91.5
51384;189.9;25.9;17.7;14.5;93.4;41.8;34.3;67.9;69.4;141.8;80.1;22.2;25.1;36.9;84.7;64.9;48.3;45.5;115.8;19.3;111.8;95.7;54;54.6;46.6;79.2;41;82.7;24.1;141.7;66.4;21.9;90.3;93.4;32.3;45.8;81.8;64.9
51388;165.8;44.8;65.2;39.8;127.7;68.7;117.8;146.5;117;148.3;97.5;53.3;57.2;131.1;107.3;122.4;73.4;49.1;198.7;98.4;102.8;125.1;77.7;113.3;121.8;154.5;85.2;184.2;62.9;165.1;108.9;76.6;166.1;115.6;65.2;85.8;79.7;106
51389;154.9;28.8;10.3;21.7;81.5;52;47.9;44.1;53.6;154.3;59.6;31.2;14.5;25.7;66;70.7;46.4;36.5;96;15.2;80.5;111.4;40;72;23.8;29.3;52.4;63;12.3;136;36;11.7;124.4;88.6;32;31.8;41.5;56.7
51392;90.4;34.6;12.2;16.5;52.1;60.2;29;21.6;57.6;65.6;49.5;23.5;15.9;38.3;36.9;51.3;34.6;25.2;62.8;13.2;50.1;62.2;53.6;29.6;33.5;45.2;36.3;48;20.3;102.2;51.4;21.4;53.2;53.8;15.5;32.7;29.1;41.3
51394;173.2;52.2;25.9;27.1;94.9;79.7;83.1;54.5;104.7;98.9;90.8;43.7;20.5;55.6;72.3;116.7;80.2;22.6;104.3;19.6;113.2;89.6;68.7;70.3;49.5;88.2;58.1;76.3;24.5;136.6;85.3;27.1;96.9;64.9;19.3;45.5;129.2;72
