code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;3.6;12.4;12.8;13.5;10.6;13.3;12.5;12.7;12.2;6.8;21.3;15;11;11.7;11.7;13.5;24;12.3;7.7;13.8;15.9;15.2;21.7;15.1;17;19.4;14.6;12.3;13.2;11.9;15.1;23.6;14.4;12;19.1;17.4;16.1;14.2
51334;3;10;15.1;17.8;13.3;15.1;11.4;14;15.7;5.8;19.5;23.5;12.5;14.3;13.3;16.1;23.6;17.2;10.4;23.8;18.6;9;22;22.9;16.7;16.3;13;14.1;15.8;9;14.2;24;12.5;10.9;9;19.5;9.8;14.9
51336;3;10.3;11.5;13.2;13.6;15.9;11.9;13.2;13.6;6.3;21.2;20.8;13.5;13.9;12.3;11.9;24;12.4;8.1;21.2;16.5;10.3;22;18;17.1;16.2;10.2;12.2;19.5;10.8;14.9;23.9;12.5;11.7;6.8;17.1;13.5;14.2
51337;4;11.8;12.4;18;13.8;19.3;10.3;13.1;11.7;5.8;12.1;15.9;9.9;14.6;12.4;17.2;20;11.2;8;16.4;16.3;13.7;21.6;13.7;12.1;15.5;11.9;12.4;16.7;13.1;14;21.8;15.8;11.5;7.4;17.4;12.6;13.7
51350;4.3;13;18.3;13.4;13.1;14.1;13.8;14;13.9;5.1;14.1;19.9;14.1;10.9;19.1;13.5;24.3;14.7;8.4;16.4;18.1;14.7;21.8;19.4;17.5;9.9;13.3;12.8;15.2;9.3;17;23.4;13.5;11.4;14.2;16.6;9.4;14.5
51366;9;7.7;3.1;10.9;10.5;6.9;5;3.1;5;1.1;9;9.6;5.7;5.8;6;3.1;16.2;10.1;3.5;6.8;5.4;3.2;10.6;6.4;7.7;2.5;5.6;4.7;7.9;9.5;6.5;9.5;3.6;7.8;16.2;7.3;4.3;6.9
51368;9;8.7;3.7;10.3;10.2;6.8;4.4;3;5;1;9.6;10.8;4.4;5.3;6;1.8;15;9.3;4.4;5;5;2.8;7.6;7.5;5.5;1.8;5.4;4.7;5.9;8.3;4.8;9.7;3.3;5.6;15.2;6.8;4;6.4
51369;5;11.6;5.9;12.8;11.5;9.3;5.2;4;5;1.9;9.3;11.1;9.5;6.1;6.3;4.1;15;9.6;6.1;6.9;5;3;8.5;6.7;5.6;3.1;7.4;6.2;13;8.6;6.2;18.6;6;9.7;15.6;7.9;2.8;7.8
51371;6.8;7.9;3.2;11.7;10.7;6.2;4.3;3.1;4.7;1;9.6;12.3;4.4;4.6;6.1;2.7;15.8;8.9;1.9;5.3;5;3.1;8.9;6.3;5.8;1.5;4.7;4.8;5.7;7.9;4.3;7.2;4.2;5.1;14.3;5.6;7.6;6.3
51372;7.1;7.3;3.7;12;11.2;7.4;4.9;3.3;5;1.3;9;9.6;7.1;5.4;6.2;4.2;15;10.7;4.1;7;5.7;4.6;11.4;8.1;7.8;3.2;6.4;5.4;11.1;7.8;9.7;10.3;5.2;9.4;16.2;7.8;4.5;7.5
