code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;37.9;18.7;35.5;13.3;35.3;43.9;17.2;29.2;50;52.5;41.4;11.9;37.6;17.3;60.1;38.3;21.7;55.3;21.4;10.1;45.5;41;16.4;37.3;35;72.4;19.1;37.3;19.6;39.8;35.5;13.1;48.9;55.2;28.9;25.2;82.4;35.2
51334;45.5;29.3;21.6;11.8;45.4;35.4;12.1;24.2;33.2;64;32.3;12.2;35.5;24.4;50.1;49.2;29.8;50.5;20.3;25.7;33;28.1;25.7;30.7;17.6;46.5;24.3;24.9;22.7;28.5;20.4;11.1;49.1;51.9;19.9;21.6;45.9;31.2
51336;48.5;25.7;32.3;13.7;37.7;36.3;13.6;26.7;42.1;56.7;37.2;12.2;33.1;18.6;50.3;47.1;25.8;48.3;19.4;20.7;38.2;34;22.9;30.2;21.9;63.1;14.6;28.5;25.5;34.2;30.4;13;56.1;56.4;15.7;24.3;70.2;33.1
51337;42.5;9.8;15;11.2;35.2;25.6;20;19.1;30.8;30.5;37.3;12.7;18.9;30.7;53.3;36.2;24;39.1;22.5;15.9;36.4;44.7;24.3;23.8;24.8;61.4;14.7;25.2;21.2;37.6;39.7;25;40.7;62.9;13.4;31.5;52.9;30
51350;39.3;38.6;20.3;11.2;32.5;37.5;15;27.3;39.4;45.4;30.7;10.2;23.4;18.1;52.6;40.1;28.8;51.2;22.1;14.3;35;36.2;18.4;30.8;24.8;55.6;19.6;33.5;26.6;36.1;33.7;20.3;41.9;55.9;23.3;22.9;30.2;30.9
51366;40.9;23.4;29.1;16;38.9;30.5;25.1;37.2;22.4;24.6;24.9;17.2;29.1;24.8;21.4;27;19.5;12.4;21.5;20.9;18.8;25.4;26.1;30.6;22.4;26.2;33.7;21.5;19.7;19.3;15.9;19.5;19.6;27.3;21.9;33.9;20.7;24.6
51368;35.6;26.9;28.1;19.5;46.3;29.9;21.3;31;15.6;22.8;24.8;13.2;22;25.7;15.8;23.3;18.2;9.4;19.8;23.5;18.2;20.6;23.7;23.8;16.5;22.2;33.7;18.3;15.7;16.7;13.4;18.2;17.6;24;19.7;29.4;19.2;22.3
51369;40.5;26.2;27.2;16.5;34.7;35;21.9;26.3;21.3;29.7;28;15;22.8;29.2;23.1;20.7;23.2;17.6;20.1;16.4;19.6;32.2;26.5;31.1;16.6;25.7;33.3;20.4;25.9;17.8;24.3;24.6;27.1;25.8;20.6;29.5;24;24.9
51371;37.7;24.3;24.7;19.6;44.1;29.5;17.7;37.6;20.9;25.5;20.3;15.5;22.3;25;17.5;19.3;18.9;13.2;21.3;21.5;19.2;22.6;22.1;25.5;21.2;24.6;28.6;19.3;14.1;18.6;16.9;17.7;19.8;23;21.5;28.6;24.5;22.8
51372;38.3;22.5;30.9;17.8;35.7;24.2;27.8;34.8;23;29.6;24.7;22.5;21;28.5;23.1;26.8;21.4;13.8;23.7;18.9;17.9;26.8;26.1;31.5;21.6;25.8;30.8;23.9;21;21;20;20.8;21.9;33.1;21.6;36.8;26.4;25.3
51375;45.6;38.6;24.6;19.9;34.8;36.5;20.7;34.4;23.3;32.5;30.7;14.8;25.5;39;20.5;27;21.4;15.8;19.6;13.3;19.8;24.9;20.3;20.4;16.8;27.3;35.7;24;25.7;17.1;18.7;18.6;22.4;20.2;17.9;28.7;25.8;24.9
51378;32.7;14.7;22.8;15.9;36.2;19.1;25.1;25.8;24.7;32;24.9;27.9;17.6;26.9;23.9;23.9;19.9;14.5;22.7;17.9;20.2;24.7;25.3;35.7;21.4;28.4;26.6;22.9;17.9;20.7;22;19.7;22.6;37.3;16.5;33.9;29;24.2
51382;47.3;17.7;22.7;15.2;34.7;19.2;26;16.4;20.4;23.3;24.2;13.2;13;27.5;30.2;22.9;23.5;16.7;19.5;14.7;21.2;39.9;29.6;35.3;33.9;36.6;31.7;20.5;22.6;19.6;41.1;26.9;25.6;38.5;15.1;24;31;25.4
51385;44;34.4;22.4;10.8;39.6;25.2;36.4;13.4;29.1;23.2;30.8;21.1;9.2;50.4;31.6;38.6;33.3;16.6;22.9;27.1;29.5;58.7;39.4;31;25.6;36.9;34.5;25.6;24.5;26.7;65.7;20.8;20.3;38.1;8.1;27.7;41.3;30.1
51386;38.5;8.9;18.6;12.8;33.4;25.6;18.7;16.5;30;24.8;31.7;15.4;18.3;23.8;43;34;22.5;32;18.2;9.5;32.7;39.5;25.7;27.3;34.4;47.4;18.4;25.5;19.4;35.6;35.7;20;30.8;50.6;16.5;27.6;45.3;27.3
51391;36.8;21.2;25.1;9.5;32.1;23.8;23.4;12;23.7;23.6;22.5;18.7;11.1;20.5;20.4;27.7;25.6;10.9;14.3;11.8;41.7;48.9;22.5;31.3;12.8;27.4;30.3;16.1;19.7;22.5;35.9;17.8;21;28.2;6.3;21.5;46.7;23.4
51393;40.8;27.8;26.8;10.3;31.7;20.1;32;12.8;22.1;21.6;25.9;17;12.4;43.4;29.2;34.1;28.3;12.8;22.9;12.1;28.4;40.7;33.5;28.7;24.1;30.2;31.3;21.5;21;21.2;47;19.3;24.5;33.4;11.2;21.9;33.1;25.8
51395;37.2;21.2;24.3;14.3;36.2;28;27;17.4;23.7;23.6;25.5;15.1;20.4;27.7;21.6;29.7;29.5;10.6;15.6;12.6;40.3;34.1;23.7;26.2;13.8;23.8;27.8;16.9;22.1;22.5;32.7;15.3;21;28.6;10.8;21.6;33.5;23.7
51396;40.2;38.5;23.4;21.1;31.1;30.9;22.3;23.4;22.9;26.9;28.8;17.2;24.1;30.3;19.7;26.3;22;15.1;18.3;13.1;24.2;23.1;18.4;21.4;13.5;23.2;30.8;23;21.3;18;20;15.8;19.4;20.6;14.6;23.8;26.9;23.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;45;25.5;28.2;13.7;35.5;39;26.6;24.2;22.8;31.3;33.8;16.2;31;37.4;26.4;26.5;25.8;20;24.7;15.8;24.4;38.4;23.3;28.8;19.7;27.2;36.2;21.5;29.7;21.9;26.3;24.3;29.1;23.4;21.6;30.8;26.3;27.1
68769;47.9;27.8;23.8;12.4;33.6;25.3;30.7;16.7;19.2;19.6;23.8;15.8;18.5;33;27.1;24;23.1;14;23.1;15.6;23.2;35.5;29.6;34.9;26.7;30;29.2;20.5;24.2;19.3;42.8;23.4;28.6;33.4;16.9;21.7;28;25.5
