code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;203.9;56.5;53.3;25.8;136.1;83.2;34.4;158.7;115.7;221.2;98.6;33.9;50.2;71.3;149.1;125;57.5;100.2;156.7;32.1;200.5;100.8;48.7;79;88.2;118.5;42.5;174.5;41.1;208.1;84.9;24.4;180.8;156.7;56.7;65;144;102.1
51334;228.4;79;28.1;30.9;166.7;69.4;22.5;127.8;96.6;205.9;85.9;24.3;51.4;56.4;119.6;117.5;72.7;94.9;122.6;29.6;125;88.4;54.7;63.6;43.5;105.9;52.6;135;60.3;154.5;53.1;22.6;121.3;139.1;46.1;52.9;120.4;88.4
51336;235.1;70.6;45.1;30;165.5;71.5;29.7;139.3;117.1;223;94.1;29;46.9;64.9;125.5;119;69.4;100.5;133.8;30.5;153.9;93.8;57.1;64.1;61.7;111.5;45.6;156;52;182.3;67.4;24.7;153.6;146.6;49.7;61.3;149.5;96.5
51337;209;32.8;31.5;21.6;129.3;50.2;52.9;97.5;88.4;177.4;116.6;29.5;39.7;62.4;116.7;83.9;60.3;68.7;140.4;29.5;140.2;114.1;64.1;77.3;82.7;123.1;46.8;126.7;36.7;188;88.3;36.5;119.8;129.2;45.8;69.3;122.6;87.8
51350;225.8;71.3;37.2;27;131.9;64.3;32.3;146.2;99.9;205.5;94.9;24.5;37.7;65.4;118.8;112.7;52.4;77.9;132.2;26.6;144.9;95.1;49;51.2;66.7;111.3;46.6;156.2;42;184.9;87.9;40.4;148.1;150;43.2;51.4;58.1;89.5
51366;230.9;75.8;135.8;58.7;199.8;186.9;178.2;181.2;199;231.2;169.3;85.2;115.6;267.2;193.2;183.9;89.2;73.8;254.4;156.1;143.8;209;134.2;123.2;157.5;213.7;173.3;208.8;104.3;198;127.1;124.7;212.3;152.3;103;124.1;192.6;161.3
51368;216;84.3;122.9;56.1;199.7;190.6;176.7;160.4;170.8;222;151.1;64.4;117.9;237.9;153.3;170.5;78.6;68.1;228.2;136.2;158.9;214;145;94.6;155.2;203.7;180.3;169.9;83.9;204.7;115.3;106.4;189;137.5;95.8;96.8;196.9;150.1
51369;260.6;79.3;93.3;46;187.1;171.7;167.5;161.6;190.8;216.9;161.5;70.2;108.4;258.3;171.4;173.3;116;80.2;269.4;93.3;134.8;205;147.7;119.4;148.5;193.1;145.6;166.2;88.2;194.2;140.6;88.6;236;142.2;98.8;105.7;258.5;153.8
51371;197.7;89;135.4;58;222.9;199.6;169.9;174.9;188.1;236.3;136;68;113.3;258.6;172.9;158.4;72.1;72.5;245.9;167.4;160.7;218;131.1;119.8;166.8;203.5;196.4;187.2;98.5;223.1;149;117;191.9;148.2;105.5;113.8;180.8;158.1
51372;251.4;76;113.9;53.3;184.6;130.7;193;182.4;202.9;238.6;170;92.7;80.1;248.9;192.6;179.4;95;75.4;275;120.7;126.4;186.4;126.3;120.9;159.3;204;144.4;207;98.7;194.8;129.3;111.2;221.1;153;95.1;119.5;231.3;156.4
51375;262.7;79.8;87.7;44.4;209.9;174.4;178.5;190.5;176.6;225.2;161;65.6;126.3;254.7;157.2;206.4;120.6;97.4;258.8;98.9;148.7;217.9;152;111.2;146.9;204.7;179.7;159.3;91.7;213.3;149.2;82.8;213.3;139.2;102.4;95.1;313.7;159.4
51378;221.3;59;74.1;42.4;168;82;171.6;159.8;187.1;213.4;145.2;86.9;60.7;192.8;159.9;149.3;78.7;59.1;259.9;96.5;106.4;146.1;102.7;127.5;143.2;183.5;111;190.9;72.2;190.1;128.6;99.7;181.8;135.3;71.7;105;187.4;133.8
51382;201.4;51;46;26.1;139.2;72.2;108.4;98.9;138.1;165.1;112;41.5;24.9;169.9;150.1;117.8;76.8;41.6;209.3;47.2;115.4;133.9;102.7;112.1;113.2;133.4;62.8;135.3;53.1;179;132.1;58;172.6;120.4;54.7;78.1;180.6;107.4
51385;221.1;61.6;32;24.6;111.2;77.8;99.9;74.9;123.5;117.9;129.8;43.6;21.1;94.1;119.3;152.9;89.6;28.8;149.5;31.3;119.3;104.4;96.3;99.9;81.5;107.8;80.6;114.8;33.1;168.2;118.9;43.6;125.2;89.2;25.6;58;168.5;93
51386;161.5;26.5;33;20.3;113.2;44.1;53;90.8;82.7;166.5;104.4;30.9;32.6;76.1;122.3;94.3;52.7;55.9;141.5;26.4;130.2;114.5;61.9;80;87.5;111.6;44.6;130.2;34.9;181.7;99.8;37.2;128.9;112.7;41.5;66.2;116.9;84
51391;225.4;51.2;44.4;21.2;125.6;81.9;108.1;69.4;150.1;113.2;116.5;46.3;27.4;81.7;88.9;144.1;116.1;30.3;118.2;23;124.5;104.1;67.2;76.6;61.3;100.9;72.8;77.2;33.9;136.4;124.8;37;136;91.8;29.1;65.1;216.7;90.2
51393;216.8;55.2;41.9;22.4;122.3;69.5;106.1;73.2;123.4;115.6;115.7;36.8;23.2;116.8;129.4;144.5;90.2;35;165.3;28.4;116.2;105.2;83.8;101;86.2;113.1;64.6;112.2;38.8;155.7;127.3;44.1;151.2;102.7;34.3;68.4;167.5;94.7
51395;278.8;57.2;68.1;27.3;161.2;98.2;157.7;94.2;181.5;170.2;138.1;54.2;45.4;136.2;130.9;178.2;125;52.7;161.6;41.2;161.9;141.1;96.2;90.3;90.8;145;80.1;107.5;52.5;160.7;172;43.4;192.9;124.1;49.1;81.9;242.8;118.7
51396;258.2;79.4;81.7;45;188.6;144.2;171.7;153.3;173;224.7;150.2;80.9;101.8;198.3;146.9;210.4;116.5;94.7;234;90.8;162.3;198.1;135.5;99.7;126.9;193.8;154.2;139.6;81.1;183.2;165.9;62.5;201.4;133.7;92.5;81.3;296.4;147.4
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;319.1;78.1;91.2;47.3;193.7;165.1;174.4;165.3;200.1;235.5;184.1;71;107.7;263.4;193.6;196.5;123.9;91.9;292.6;87.1;157;227.7;155.3;134.7;161.6;218.2;144.9;169.3;99.1;228.5;175.9;79.7;266.6;142.6;97.5;124.5;299.1;166.6
68769;248.2;66.8;61.2;27.6;144.9;101.7;130.5;101.1;146.8;154.7;129;45.1;42.6;188.9;180.5;135.2;92.8;54.7;237.8;52.7;122.6;150.4;115.7;124.1;129.2;146.5;82.1;145.2;64.8;169;137.8;56.2;205.2;121.2;62.8;92.4;205.8;120.9
