code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;6.9;8;6.3;14.3;3.9;14.7;11.4;6.7;11.3;8.1;8.6;20.5;9.3;4.6;16.9;3.1;19.8;15.2;4.7;6.5;4.5;19.8;14;19.7;10;5.5;12.4;7.9;10.4;17.8;14.3;14.2;8.5;6;12.2;8.7;8;10.7
51340;9.3;4.4;9.9;5.2;9.3;8.6;14.2;5.8;11;11.1;9.2;14.3;6.4;9.4;13.7;9.5;25;22.3;8.8;14;5;12.7;17.5;9.3;9.5;12;10.8;6.2;10.9;20;4.5;14.3;16.9;8.7;17.8;7.6;8.5;11.2
51341;8.5;5;4.4;6.7;11.4;11;13;6.7;11;8.5;10.2;14.9;7.6;7;15.2;15.1;28.3;20.5;9.4;14.4;4.7;8.6;14.7;9;15.4;14.8;12.9;4.5;9.3;18.1;4.6;15;16.5;16.2;17.1;6.1;10;11.5
51342;4.1;3.1;11.6;3.7;10.3;8.6;7.3;8.6;9.1;15.7;7.6;12.9;9.5;10.1;15.8;8.6;23;17.4;10.9;17;10.4;7.4;17.1;10;11.1;7.7;9.9;13.4;14;14;5;9.2;14.6;7.7;18;21.9;10.2;11.3
51344;5.6;3;10.3;3.5;11.8;8;11;9.8;11;13.2;9.7;10;10;10.5;13;17;27.3;22.2;5.2;15.7;4;13;16.1;6.7;14.1;13.1;9;4.7;8.9;12;4;15;18.3;17.7;18.8;6;6;11.2
51345;15.5;9.4;9;24.8;19.9;19.9;17.4;12.5;14;22.6;10.7;19.9;11.2;10.7;13.9;10.4;24.2;19.1;14.7;12.5;11.3;12.6;15.5;15.6;13.7;17.2;12.5;9.3;13.2;22.9;8.1;14.2;11.3;8.5;16.2;10.1;20.9;14.7
51346;20.1;15.1;17.1;19.9;18.7;18.7;18.9;19.1;17.6;23.7;16.3;22.5;20.3;18;21.8;16.9;27.6;22.2;21.2;21.8;19.3;19.4;21.2;21.9;25.2;22.7;17.1;19.4;21.2;23.9;16.3;19.1;20.9;19.6;22.5;21.9;17.7;20.2
51347;10.1;7.7;5.5;13.2;6;15.1;26.8;6.6;13;6.9;8.2;19.5;13.4;5.7;18.7;6;28;17.3;9.2;13.6;5.6;20.7;15.7;11.1;13.9;17.9;9.1;10.8;5.8;9.4;12.9;17.5;10;11.5;19;21.4;12.1;12.8
51348;22.9;22.3;26;26.6;24.2;27.9;23;27.4;24;27.9;24.2;27.8;26.7;25;27.1;25.9;29.5;22.1;29.6;28.1;27.9;22.9;28.8;26;22.9;27.5;25.7;28.4;26.7;26.5;26.4;26.8;26.2;25.5;27.4;29.2;30.1;26.3
51349;17.5;12.7;12.8;20;15.2;20.7;16.8;18.6;18.5;22.8;11.7;21.2;13.4;12.6;16.7;15.1;26.4;19;18.3;19;18.4;19.5;21.9;18.3;19.9;21.9;13.3;15.8;17;17.4;14.8;16.8;14.9;15.9;23.8;19;16.1;17.7
51351;14;9.6;11.5;26.5;11.8;21.1;14.7;13.5;12.9;20.6;10.3;19.6;10.2;11.7;11.7;12.5;24.1;18.4;13.9;15.1;15.6;17;19.7;14.3;13.9;14.9;17;11;11.7;12.3;12.9;15.2;10.5;11.7;26.8;9.3;20.8;15.1
51352;21.6;14.8;21.4;19.5;17.8;22.5;14.7;24.3;18.1;19.6;17.6;21;17.5;21.3;18.1;18;28.4;18.6;23.4;22.9;23.3;21.6;19.1;25.6;17.8;17.9;22.8;19.6;19.4;19;21.1;17.7;21.3;17;19.6;24.8;21.4;20.3
51354;7.8;8.8;6.2;13.4;7;9.4;10.2;9.8;13;5.9;8.1;14.1;16.1;6.4;18.2;4.6;26.4;17.3;9;10.2;10.4;20.1;17.6;16.5;8.7;11.9;14.1;9.8;10.9;15.6;12.3;16.6;11.1;10.2;17.9;22.2;13.7;12.5
51359;8.7;8.4;6.2;14;9.5;10.2;17.8;9.1;13.4;7.2;7.8;13.7;12;6.9;15.7;5.2;27.8;18;9.6;15.4;12;21;24.2;12.4;13.9;17.9;18.6;10.2;12.8;18.8;13.9;21.4;13;14.5;24.6;29.1;15.8;14.3
51361;16;14;18.8;16.5;17.6;16.2;15.6;17.3;15.8;23.6;15.6;20.5;16.5;17.6;22;16.6;27.1;22.3;21.1;20.3;20;16.5;20.7;19.3;24.3;19.9;17.8;17.1;19.9;20.5;18.6;19.4;22.2;19.6;22.7;25.4;18.7;19.3
51363;25.8;9;15.8;16.3;14;17.4;9.8;23.1;18.5;20.3;10;15.7;15.5;12.1;19.1;15;29.9;19.8;25.2;21.8;14.6;18.4;18.8;20.7;14.2;15.3;16.3;13.4;16.1;20.2;14.2;12.1;13.3;10.5;19.6;26.2;25.9;17.4
51364;21.9;10.1;19.5;16.7;14.7;22.5;12.4;23.3;19.6;20.5;12.8;21;15.9;13.6;22.7;15.8;28.8;21.1;27.4;21.8;16.1;23.4;24.9;18.3;18.5;18;17.6;18.5;17.1;23.7;18.5;12.5;14.1;12.4;20.9;24.9;24.6;19.1
51377;12.2;4.7;11.3;14.9;8.4;9.8;4.3;14;13.5;14.5;8.5;17.6;6.7;7.8;16;11.3;24.1;7.8;13;14;14;16.8;7.1;21.2;4.2;10.4;9.5;6.4;9.2;7.2;11.7;6.5;18.5;11.4;14.1;11.4;4.9;11.3
51380;12.1;8.4;10.1;26.6;10.9;14.9;17.1;11.8;12.3;15.5;11.1;22.2;11.6;12.8;10.9;11.5;18.2;16.7;14;17;12.5;19;16.7;16.2;13.5;15.6;12.9;11;10.9;16.5;12.3;14.6;10.4;11.6;19;15.9;25.1;14.6
51384;12.3;8.6;11;14;9.5;11.1;7.6;11.4;12.5;13.9;9.8;15.3;11.3;9.5;18;13.8;27.2;9.5;7.9;9.9;10;20;12.6;24.1;6.9;8.5;9;8.3;10.7;13.7;19.4;10.1;11.7;12;14.7;11.2;7.6;12.3
51388;9;7.1;9.2;20.5;9.9;10.6;8.7;11.9;10.9;9.3;10.3;19.8;10.1;14.4;17.3;11.3;14;9.3;10.5;15.2;8.6;14.8;10.6;16.8;9.8;9.4;10.5;8;7.5;11;9.4;9.2;11.1;10.2;9.2;10.5;10.9;11.3
