code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;50.2;61.4;62.8;16.3;71.8;103.4;66.9;47.4;52.3;55.7;132.9;87.8;68.9;55.7;147.2;31.4;63;66;14.1;38.4;17.9;48.4;70.3;80.6;80.1;52.3;128.1;13.1;57.1;96;70.2;71;29.9;15.6;61.4;108.1;13.4;62.4
51340;26;95.8;95.6;23.7;55.8;111.1;88.5;28.1;44.7;51.5;91.4;96.6;36.4;119.5;103.9;129;107.8;76.2;93.4;105.9;25.7;57.9;102.7;22.6;51.8;81.6;135.7;81.4;46.5;83;16.6;69.4;100.8;106.3;98;27.6;15.8;73.1
51341;20.6;101.6;47.4;16.8;78.6;136.3;73.2;24.4;56.8;25.4;89;114.1;58.3;70.5;93.4;140.6;111;89;95.9;89.3;26.9;25.5;90.6;14.8;96.6;109.4;104;45.9;32.2;106.1;19.3;67.7;92;179;101.7;22.4;11.3;72.4
51342;31.4;67.6;110.1;36.9;85.4;245.4;154.5;66.5;44.2;103;86.8;98.1;60.2;122;117;208.4;132.4;56.1;128.5;94;131.6;84.8;106.2;20.5;134.9;85.6;164.2;160.6;112.8;78.5;70.4;80.1;125.2;118.2;137.4;114.5;13.8;102.4
51344;33.1;192.8;149.8;26.1;99;216.2;99.5;43.7;83.2;81.1;133.1;110.9;88.5;198.1;145.9;201.7;137.2;98.5;117.9;114.2;44.2;72.3;121.4;17.3;105.1;151.9;177.6;36.7;61.9;134.3;24.3;85.9;120.6;183.5;209.2;78.6;15.9;108.4
51345;12.3;27.3;11.7;10.8;21.7;52;34.3;7;21.8;12.3;30.9;45.8;9.4;14.9;18.9;23;32.6;24.2;11.3;10;9.9;11.9;23.9;5.8;20.7;22.9;23.1;9.2;7;32.5;10.3;15.3;11.2;13.4;38.4;12.4;4.2;19
51346;12.8;18.3;14;7.1;17.1;24.7;23.6;6.4;16.3;14.2;25;23.2;7.5;20.5;18.3;17.8;24.2;12.3;15;15.1;8.9;7.1;35.5;5.7;28;29.9;22.4;20.8;14.7;18.9;5.8;11.9;15.7;20.1;21.8;17.3;6;16.9
51347;27.6;48.7;17.9;11;54.5;50.5;53.3;21.1;42.4;31.7;53.6;81.1;22.9;23.5;53.8;25.9;46.4;77.5;10.7;13;16.9;57.2;45.7;14.6;61.8;85.3;65.3;6.4;27.5;43.9;46.9;43.8;16.6;13.8;59.9;47.8;4.2;38.5
51348;10.9;4.2;10.2;1.5;5.8;4.8;4;2.7;6.9;1.8;4.9;2.5;6.2;1.7;3.1;2.9;13.1;19.2;1.5;2.1;1.5;8;17.4;4.7;8.8;3.8;7.3;1.1;5.4;5.9;4.4;5;0.9;1.5;3.9;19.1;0.5;5.7
51349;16.7;23.4;6.5;3.9;17;25.5;18;6;24.9;30;21.3;25.9;8.5;10.1;13.2;8.4;25.6;36.2;9.3;7.1;5.9;21.3;27.3;5.3;18.4;38.9;21.7;4.2;7.8;11.9;17.9;17;6;6.2;33.2;18.7;4.5;16.3
