code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;261.1;260.6;191.8;47.2;191.7;211;172.9;135.7;178.9;163.2;269.4;193.6;174.8;188.3;222.4;148.9;130.3;346.9;94.2;88.2;106.5;220.5;310.2;124.4;248.6;150.5;217.5;69.2;108.8;236.5;133;317.9;86.2;110.5;170.6;159.4;44.1;175.3
51340;107.6;364.1;231.1;157.5;170.1;335.1;246.8;80.4;142.6;113.6;338.4;190.1;110.7;282.1;215.5;249.8;209.7;179.3;164.5;241.2;135.2;110.6;186.8;54.7;131.7;153;356.6;172.3;85.6;242;138;171.1;209.6;205.4;308.6;105.7;46.1;187.6
51341;102.1;359.4;192.6;108.1;154.5;244.8;257.4;74.9;164;90.7;248;181.5;131.3;223.7;215.3;276.8;189.3;201.4;191.9;174.4;140.8;94;194.5;46.9;169.1;193.8;330.8;165.4;78.2;223.5;154;138.7;185.7;214.2;282.5;107.9;38.4;176.8
51342;186.3;421.6;462.7;259.2;338.3;646.7;574.9;206.8;148.8;181.9;412.9;168;122.4;382.5;266;318.5;241.4;116.7;206;259.2;305.7;181.1;270.2;88.3;314.3;191.7;460.8;301.7;165.2;347.2;186.1;201.9;326;441;294.8;212.4;34.4;276.9
51344;148.4;718.6;336.4;214.8;268.4;385.7;432.6;99.9;244.8;157.3;399.4;308.2;233;404.9;392.7;476.7;299.2;322.9;263.7;333.5;201.1;146.2;313.4;61;192.4;302.3;646.2;229.8;124.4;391.9;199.8;235.2;361.1;327.5;516;158.1;65.7;295
51345;51.4;63.4;42.8;17.5;36.5;74;67.2;21.1;40.1;24.3;56.9;52.8;25.6;45.1;41.2;54.2;63.2;59.6;31;29;28;33.8;47.1;14.8;40.8;45.4;56.2;35.4;20.6;49.3;42;26.6;31.1;36.6;62.9;32.1;7.5;40.7
51346;39.8;60.8;42.6;27.8;40.1;66.9;62.4;24.5;35.5;29.4;58.5;36.5;17.6;43.8;36.1;44.7;45.6;25.2;27.5;31.3;25.7;24.4;60.4;14.4;48;45.2;61.6;36.9;23.9;49.7;25.8;26.9;37.4;38.9;52.1;26.8;13.1;38
51347;173.6;179.4;90.3;27.5;110.6;90.2;112.2;81.1;104.3;75.4;110.5;113.3;58.9;86.3;84.9;79.6;83.2;233.5;45.9;34.5;60;146.2;154.1;40;136.9;129.8;104.5;22.6;69.3;90.4;112.4;114.5;29.9;48.3;82.9;70.7;11.6;91.9
51348;36.4;9.3;14.1;2.2;9.6;6.7;7.5;4.4;10;3.5;8.4;5.6;9.7;3.8;5.1;5.3;15.3;37.4;2.8;3.5;2.8;13.3;20.7;8.4;16.7;7;10.5;2;8.1;9.8;7.3;8.9;2;3.9;7.3;20.5;0.9;9.5
51349;76.8;53.4;17.8;7.4;32.7;38.7;39;15.4;39;37.5;38.5;33;16.5;23.6;21.5;25.2;46.2;69.2;17.6;13.1;15;38.8;47.1;12;39.3;55.3;38.6;9.2;20;25.1;26.8;28;12.8;16.3;51.8;27;9.8;30.7
51351;87.8;54.1;23.5;8.9;34.2;59.1;56.9;18.3;49.7;43;46.8;34.2;23.8;25.4;26.3;34.2;59.3;86.1;18.3;15;16.9;52.2;60.6;17.5;31.8;48.9;36.2;17.1;26.9;36.6;29.8;38.8;21.6;20.6;76.5;28.7;8;37.1
51352;36.3;45.2;23.2;11.7;35.7;9.4;49.3;8.3;44;10.9;27.8;15.1;49.8;28.3;17.9;16.6;17.5;59.1;9.8;10.9;9.3;35.2;45.8;32.2;56.8;21.2;24.5;8.8;22.2;22.5;12.7;37.1;17.4;24.2;23.4;21.5;7.9;25.7
