code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;5.6;9.3;5.7;20.8;4.5;15.4;18.8;9.6;11.2;11.4;9.1;25.6;7.4;4.9;7.3;5.6;18;9.7;10.2;19.7;4.9;19.4;15.1;21.4;11.7;10;15.8;7.7;10.2;14.5;11;15.5;11.5;7.4;12.1;12.3;10.2;11.9
51334;6.8;8.3;3.6;11.8;5.2;16;16.4;4.9;12.2;9.9;6.7;26.1;13.2;4.7;19;2.9;25;16.4;4.9;7.7;3.1;20.5;17.7;16.1;10.6;10;11.4;7.8;5.7;18.2;12.4;20.6;8.3;4.9;19.5;10.1;8.6;11.5
51336;6.3;8;7.2;15.4;3.6;16;15.1;4.7;11.7;9.8;6.9;26.8;7.2;4.3;16.8;3.7;18.3;15.5;6.5;8.4;3.7;20.3;16.2;19.7;11.2;6;14.6;8;9.4;17.8;11.3;19.5;8.1;5.7;17.7;11;9.1;11.4
51337;9.4;7.2;7.3;14.5;7.4;12;7.6;7.1;11;11.9;9;19.3;10.3;6.8;14.4;9.9;22.3;8.7;5.5;7.2;7.1;20.8;13.3;22.7;8;6.8;9.4;7.4;8.7;12.4;14.4;10.4;8.2;8.9;10.3;10.3;6.9;10.7
51350;12.2;7.4;9.5;20;9.3;16.8;24.6;10;13.2;12.8;8.7;16.4;10.8;8.7;12.5;11.9;24;16.4;14.4;20.6;7.7;20.7;20.2;13.8;15.3;13.1;12.5;11.2;6.8;13.9;13.6;16.3;16.2;12.6;23.9;12.4;17.6;14.3
51366;5.3;3.2;4.7;13.3;2.6;4.2;2.7;7.2;2.8;4.5;3.3;4.3;3.8;4.1;9.5;2.7;8.4;3.3;4.1;6.2;3.2;6.2;2.8;11.7;2.8;3.3;5.2;5.3;5.8;3.8;3.5;3.7;9.4;3;2.3;3;6.7;4.9
51368;4.3;2.2;3.9;13.9;2.3;3.2;2.2;8.5;4.2;2.1;1.7;2;3.1;3.2;4.4;2.6;6.7;5.5;5.4;7.6;2.3;4.8;3.2;10.4;2.4;2.7;5;4.7;6.7;2.8;2;2.6;9.8;2.2;1.2;3.8;7.1;4.4
51369;3.9;1.8;4.3;10.1;1.5;2.7;1.7;9.3;2.7;4.6;2.2;4.1;2.8;2.1;3.2;2;7;4.6;8.8;6.1;2.9;3.4;1.9;12.1;2.3;3.9;5.1;4;7;2.7;2.8;4.2;11;1.7;1.6;6.7;5;4.4
51371;3.8;2.9;5.5;16.6;2.8;3.9;3;6.4;4.8;3.2;2.8;3.7;3.7;4.2;8.2;3.4;8.8;7.1;4.5;7.5;3.5;5.8;4.9;8.5;3.4;3.3;5.1;4.9;6.5;3.7;3.5;2.6;10.8;2.9;1.9;3.1;8.1;5.1
51372;5.3;2.4;4.2;13;3;5;2.5;6;3.4;6.6;2.1;4.6;3.5;2.5;8.9;2.6;8.8;3.2;4.5;6.6;3.7;4.6;2.4;10.5;2.1;4.6;4.2;5.3;7;4;3.7;4;12.3;3.4;2.2;3.2;5.1;4.9
