code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;37.6;47;34.3;11.4;40.5;71.2;73.6;68.4;48.5;84.5;106.3;53.1;45.8;24.5;61.6;22.8;46.7;63.3;12.1;63.3;18.9;35.3;48.6;94.1;70.1;59.7;102.7;11.4;58.6;89.3;41.4;59.1;30.4;14.4;64.1;114;9.9;52.4
51334;46.1;68.7;38.4;11.3;96.3;78;73.4;28.5;53.7;85.2;95;98.4;76.7;43.5;118.6;36.4;54;74.6;13.5;19.3;25.4;54.9;62;44.8;73.8;81.7;112;9.2;40.2;78.6;81.3;65.9;44.5;18;82.5;68.6;6.8;58.4
51336;47;55.8;53.4;14.1;60.2;87.4;66.1;49.2;54.7;72.5;114.2;88.2;62;56.2;131;28.9;60.3;68.3;13.5;39.4;19.9;49.5;65.7;75.8;71;45.4;135;11;52.7;95.7;63.7;72.4;33.6;16.5;73.8;125.2;10.2;60.5
51337;33.1;42.8;40.6;10.8;44.4;68;42.1;45.6;36.6;42.6;72.9;59.8;46.1;45.8;64.9;46.6;54.5;52;13.4;28.7;15.7;40;51;62.7;64.3;31.5;66.1;10.5;36.6;63.3;48.4;62.1;26.3;32.5;54.9;61.6;26.8;44.5
51350;20.1;26.8;12.1;6.4;39.3;45.9;39.5;13.8;31.9;41.3;26.4;35.9;20.7;13.8;21.1;12.4;41.1;54.5;9.1;21.7;13.4;32.8;29.4;19.5;31.1;33.9;49;7;13.4;40.2;34.8;34.7;17.3;9.8;58.7;27.1;3.6;26.7
51366;33.9;21.1;23.3;39.9;21.1;17.8;17.6;21.9;19.8;17.1;24.1;20.6;22.3;23.6;19.6;24.4;22.6;24.2;23.8;46.1;25.4;38.4;20.7;17.2;38.1;24.6;32.5;23.7;21.1;39.8;21.3;21.1;28.7;24.8;32.2;27.8;27.6;25.7
51368;30.8;18.7;20.4;43.3;17.1;14;16.1;17.8;18.3;11.9;21.3;15.7;18.9;24.3;20.5;21.1;25.8;22;17.5;32.1;20;33.9;23;13.1;36.7;25.7;23.2;21.5;23.1;33.8;16.9;20;21.3;21.5;24.4;22.7;21.7;22.4
51369;28.7;21.8;23.7;24.8;17;17.1;16.2;26.7;19.4;14.9;28.7;21.6;20.4;29.5;19.9;19.7;22.6;21.7;23;33.2;21.8;36;20.2;15.3;42.3;28;27;25.5;24.7;31;17;22.3;25.1;21.5;30.5;32;27.5;24.3
51371;30;24.3;18.6;64.1;24;18.1;17.7;19.4;19.2;16.2;20.3;16.2;20.9;23.7;21.6;24.3;23.2;29.2;17.7;35.5;24.9;38.1;23.2;13.1;40.2;24.8;26.8;26.5;23.9;38;20;21.3;24.7;22.7;23.9;22.9;20.2;24.8
51372;31.7;25;27.9;32.1;23.2;20.3;21;28;22.5;26.9;27.5;24.7;22.4;24.5;27.2;26.8;23.3;25;36;40.3;28.7;39.7;22.4;21.9;42.8;28.1;35.9;20.9;22.5;36.6;21.6;21.2;30.2;27.1;32.8;39.4;32.9;28.1
51375;36.1;24;24.5;30;15.3;16;18.7;27.1;31;15;30.2;25.5;21.3;25.7;18.5;21.3;22.1;20.7;18.9;22.5;19;33.1;21.6;12.1;38;27.8;22.1;26.8;26.3;25;17.2;20.4;22.5;21.4;32.6;29.6;20.9;23.8
51378;30.3;30;29.1;32.5;31.7;22.9;24.9;31.7;28.6;29.8;34.6;24.5;24.4;27.9;38;25.3;26.5;28.7;48.8;36.6;30.1;33.5;25.7;27.1;43.3;28.7;35.5;20.6;22.9;39.2;24.3;24.9;36.1;32;38.8;48.5;32.4;31.1
51382;20.4;26.4;25.6;16.1;22.1;22.8;19.6;43;31.7;29.5;23.6;37.3;20.3;47.4;31.4;22.4;22;22;21.1;22.1;34.8;41.1;29.9;38.8;37.6;41.9;38.5;31.7;25.6;44.3;25.9;41.2;24.6;35.7;27.6;48.5;41.8;30.7
51385;32.7;35.7;44;18.5;39.8;25.6;29.4;41;49.9;60.9;31.7;48.4;31.6;45.2;44.7;32.5;47;35.9;24.4;40.1;45.6;44.4;44.9;35.2;36.5;36.4;52;25.6;40.8;58;33.6;44;41;30.3;39.9;48.4;41.2;39.4
51386;27.4;42.5;35;11.9;42.3;44.2;39.6;58.6;34.6;39.6;61.7;49;34.3;44.2;37;23.8;38.4;40.7;16.5;23.2;17.8;33.6;44.9;53.5;44.7;41;67.3;12.7;42.3;56.9;38.2;43.6;29.4;29.3;41.6;58.6;23.9;38.5
51391;22.5;39.8;31.4;35.9;24.6;19.2;23.8;33.3;42.9;40.3;26.2;28.3;25.7;30.4;32.9;24.7;44;20.3;24.3;48.1;37;29.6;33.4;25.8;22.7;23.2;45.4;34.4;34.1;43.7;25.2;38;37.6;24.6;27.8;34.2;42.7;31.8
51393;28.2;31.1;27.9;27.1;27.2;22.7;22.7;35.3;34.5;39.7;23.8;37.7;22.4;41.7;33.8;24.7;25.5;27.3;19.3;30.4;36.7;41;31.8;31.1;33.7;35.7;41.8;33.5;33.4;43.7;27.5;32.6;35.3;29.1;30.9;43.6;39.2;32
51395;21.3;35.1;27.5;40.3;23;20;22.4;35.4;29.7;24.8;26.7;23.1;25.1;32.2;28.9;21.3;28.9;23.3;25.1;42;34.1;28.8;28.3;22;26;26.2;37.7;35.8;32.1;38.3;21.6;37.1;33.8;24.1;25.4;33.1;31.6;29
51396;28.5;26.8;22.4;32.1;17;14.7;20;30.5;28.5;19.3;26;21.1;21.1;23.4;18.3;20.6;23.5;25.4;19.7;22;23;26.4;23.4;14.6;28.6;21.9;21.1;26.9;23.1;35.4;16.8;20.9;21;20.5;25.6;26.3;17.2;23.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;32.3;25.2;29.4;37.5;17.1;17.4;18.2;28.7;18.4;16.9;29.7;25.7;20.7;38.3;22.6;21.3;21.6;25.6;25.2;31.3;18.8;38.5;22.4;15.6;42.2;28.6;27.3;29.8;29.9;34.4;18.5;26.6;31.3;27.6;30;33.6;33.8;26.8
