code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;216.2;176.3;102.8;26.4;127.3;203.3;143.4;142;193;184.7;213.5;109.4;112;129.3;177.3;99;113.8;375.7;48.5;79.6;96.4;203.5;304.2;133.6;222.6;139.1;140.2;69.1;126.4;222.4;90.7;269.2;62.5;89.9;151;166.2;26.3;148.3
51334;253.9;227;162.1;43.8;179.8;169.5;152.8;130.3;157;136.2;210.2;192.3;131.8;156.9;158.7;138;115.4;325;82;66.3;101.9;206.6;251;70.6;217.8;160.6;184.9;44.2;99.1;186.5;142.8;228.7;61.2;89.2;130.7;115.4;27.4;148.9
51336;257.9;216.8;146.1;40.2;162.7;194.6;162.2;143.7;173.3;168.7;237.5;175.2;154.7;162.9;200.1;132.7;126.1;361.7;76.4;77.3;104.3;218.1;301.5;107.1;242.7;143;208;62.4;101.6;227.1;125.7;293.7;75.1;101.5;162.4;159;32.8;163.2
51337;159;169.6;121.9;28.6;143.9;130.9;136.5;130;124.8;128.2;155;115.8;110.7;141.7;156.7;113.6;114.2;286.5;66.8;75.9;83.1;171.7;255.4;127.3;178.8;117.8;144.4;62.3;118.7;195.4;109.6;266.2;93.8;89.9;142.8;158.6;125.2;136.5
51350;123.2;92.6;37.2;13.7;62.5;83.9;75.7;46.5;84;71.4;75.5;58.3;45.1;45.3;46;44.9;76.4;187.2;22.3;29.9;41.1;101.4;112.1;39.5;83.4;75.5;66.8;23.9;50.9;71.2;59.8;79.6;23.4;37;85.1;53.9;9.2;63.1
51366;210.2;216.5;163.6;73.4;232.4;162;179.2;153.7;168;161.3;209.1;140.8;212.7;206.2;152.1;202.7;147.6;202.7;181.4;189.7;238.6;218.5;189.4;112.6;280.6;281.4;160.6;152.3;188.4;274.8;214.8;195.6;141.8;192.2;245.7;225.8;123.4;189.2
51368;196.4;215.6;176.7;67.7;191.5;140.8;173.6;129.4;156.7;127.8;213.5;146.9;215.4;198.1;143.8;200;149.6;172.4;166.1;185.7;195.4;177.4;173.3;69;288.7;269.5;158.4;158.2;169;241;179.8;208.9;155;199.9;230;187.6;91.6;176.2
51369;178.1;240.8;189.6;75.5;219;187.1;200.6;120.3;192.1;135.1;257;160.4;255.7;256;171.8;202.5;151;177.2;173.4;187.9;180.8;238;204.7;86.3;288.6;249.1;166.5;173.1;171.2;233.9;186.6;189.5;161.1;261.7;262.6;228.9;173.3;194.2
51371;186.5;214.4;162.3;75.9;234.9;155.6;172.6;139.9;161;155.3;210.8;143.7;218.7;190.2;165.6;201.8;146.7;186.7;157.1;188.8;210.7;203.4;169.9;98.7;294;296.9;154.8;166.3;185.9;237.7;185.7;204.8;148.5;173;235.1;173.2;75.4;180.6
51372;201.7;247.5;153.3;79.7;222.4;186.9;211.2;170;172.6;182.6;214.5;148.9;233.8;237.8;169.8;197.7;155.9;227.7;203.9;182.2;240.2;244.9;225.2;134.5;265.7;261.1;171;132.3;202.3;276.7;218.4;197.6;151.7;190.5;278.4;252.8;161.5;200.1
51375;198.5;286.6;225.4;110;203.5;215.8;255.5;168;234;172.7;332.6;234.3;271.7;278.8;199.9;241.2;182.7;196.9;206.5;204.9;187.8;236.2;257.8;87.7;296.1;282.4;215.1;234.3;182.2;260.7;230.1;246.4;177.3;312.6;302.4;257.7;140.2;225
51378;186.9;216;126.6;70.4;194.4;178.4;194.5;157.3;161;166.6;198.1;130.9;200.5;190.8;163.7;150.9;164.2;226.5;156.1;134.6;188.5;231.9;225.6;143.7;221;223.2;151.2;103.2;215.1;247.8;198.1;185.1;132.1;150.7;268;235.8;167.1;179.9
51382;141.8;233.2;132.5;47.8;191;151.2;186.9;141;135.8;115.4;163.5;112;203.6;219;110.3;118;85.7;170.6;87.1;125.4;140.8;203.9;240.7;121.8;238.7;180.5;162.5;117.1;194.4;259.6;144.6;266.9;165;165.5;192.3;245.1;318.7;168.4
51385;89.4;224.9;135.3;42.4;202.9;102.5;229.7;107.7;156.5;136.6;137.6;92.7;189.4;183.2;99.4;102.6;64.2;183.2;82.2;123.5;111.9;211.2;268.6;136.1;278.3;128.8;202.7;99.9;178.6;265;129;329.5;177.6;113.3;137.5;230.9;297.7;161.7
