code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;13.8;13.7;-999;-999;9.1;9.2;11.4;8.3;8.5;10.7;9.1;4.4;7.3;9;8.8;9;10.4;12.2;9.4;3.4;9.8;10.1;14.2;14.9;11.2;13.2;11;15.6;21.2;17;11.5;9.8;17.1;16.9;13.1;14.9;10.3;11.4
51340;14.4;14.1;11;9.4;12.3;-999;5.9;9.4;11.4;9.7;9.6;10.3;10.2;5.7;5.3;7;8.3;7.6;12.8;11;8.8;6.9;11.2;16.7;14.6;13.7;15.7;14.4;11.1;14.5;20.2;16;10.9;15.9;16.6;15.1;12.2;11.7
51341;11.7;13.1;13;8.9;9.2;6.6;-999;5.2;9.7;12.4;11.8;11.2;9;9.3;7;6.1;7.9;8.2;7.5;11.7;13.5;7.7;6.4;13.9;17.7;13.3;12.9;14.7;11.6;12.6;15.2;17.9;14.1;11.2;15.4;17.8;16.8;11.5
51342;16.7;11;10.3;13.4;-999;5.9;9.1;11.1;10.2;9.1;10.9;10.6;-999;6;7.9;6.9;9.3;11.8;10.6;8.5;6.8;9.2;14.3;12.6;16.1;16.3;11.9;13.7;13.9;19.7;15.7;10.2;12.9;15;14.9;12.3;13;11.7
51344;11.3;18.1;10.9;10.1;6.6;-999;-999;5.3;9.8;10.4;5.8;14.2;6;12.9;3.2;3.5;7.8;8.3;10.4;17.7;10.5;9.5;7.4;12;21.7;10.7;16.7;13.4;12.7;15;15.8;16.7;13.9;14.3;15.8;15.2;19.1;11.8
51345;12.5;12.6;12.5;9.8;7;-999;7.3;7.5;10;11.7;7.1;12.7;11.5;9.6;5.1;6.9;8.4;7.7;11.3;11.1;10.1;6.9;9.2;16.1;12.8;14;14.6;16.7;11.8;15;19.1;15.1;11.6;13.6;17.6;16.3;13.3;11.6
51346;15;11.8;8.7;12.2;7;8.5;9.3;10.1;9.4;10.1;11.1;10.5;6.2;6.6;8;8.7;9.9;11.5;10.8;8.4;7.3;10;12.9;13.7;16.4;14.3;12.8;11.6;15.7;17.9;15.1;11.4;14.7;16.9;14.5;14.8;12.1;11.5
51347;13.9;7.9;-999;-999;6.9;10.2;9.9;8.8;8;14.2;13.6;-999;5.6;8.7;8.4;8;9.8;12.1;8.6;3.4;7.8;8.1;9.5;14.1;9.7;10.6;8.1;11.9;22;20.9;11.9;9.2;18.3;16.4;15.4;13.9;10.4;11.1
51348;10.5;-999;13.7;9.8;11.6;12.2;9.1;10.6;11.3;16.5;5.1;8;10.4;8.7;10.3;10.7;10.3;9.3;5.9;9.4;10.4;12.3;13.5;12.4;10.7;10.1;15.7;22;15.5;10.9;14.3;18;13.9;14.5;13.5;13.3;12.5;11.9
51349;14.4;11.1;10.4;15.4;8.3;8.3;9;10.9;9.4;10.3;9.9;11.7;6.1;6.7;7.9;7.9;9.8;10.9;10.8;8.4;7.7;9.8;12.6;14.1;15.6;14;13;13.2;16.3;18.5;15.2;11.7;14.1;18.1;14.9;13.6;12.3;11.7
51351;17.4;13.2;10.1;10.1;-999;7.8;7.5;9.8;10.6;8.3;10.6;10;8.7;4.9;6.8;7.1;7.4;9.9;12;12;6.2;8.2;13.5;13.3;18.8;13.6;15.1;11.8;14.6;17.2;18.8;11.4;11.9;16.4;16.3;14.7;12.8;11.6
51352;9.9;11.2;10.3;11.8;12.1;9.9;10.6;12.4;5.2;6.8;9.1;10.2;9.1;10.2;10;9.9;6.3;7.1;9.8;10.2;12;12.5;12.1;9.8;11.1;19.3;19;14.5;12.8;14.8;15.5;14.3;14.9;13.2;12.9;13.4;16.3;11.6
51354;11.5;-999;-999;-999;9.8;11.3;6.6;8.9;11.3;15;-999;7.4;8.7;8.9;7.1;10.3;11.5;11.4;7.6;6.3;12.3;9.3;15.7;12.7;13.5;12.4;15.6;16.4;16.6;13.7;11.1;13.5;19;12.1;14.9;13.5;12.1;11.8
51359;11.3;-999;-999;-999;8.7;9.6;9.8;7;11.4;13.1;-999;5.6;8.5;6.8;7;12.3;12.4;16.7;11.3;3.6;13.3;9;14.6;14;9.3;8.9;13.9;15.3;19;13.8;10.4;15.7;19;10.9;14.5;14;12.3;11.6
51361;11.5;8.2;11.3;7.9;9.2;11;9.9;9.3;9.3;14.5;9.6;6;7;8.3;9.2;9.6;11.9;9.7;9.1;7.3;9.2;10.7;12;14.4;14.8;10.5;11.7;15.6;19.1;15.9;12;14;16.9;14.9;14.7;13.4;13.2;11.4
51363;7.3;9.2;12.9;14.5;9.4;10.5;12.5;-999;5.5;7.4;10.4;8.8;9.5;10;8.5;9.5;5.4;7.5;11.3;9.2;13.2;13.3;9.5;9.7;13.6;22.1;13.6;11.7;14.8;14.8;12.4;14.4;16.3;12.9;13.9;15.7;14.8;11.6
51364;11.1;10;9.5;11.2;13.4;10.5;8.8;11.1;9.2;5.3;7.1;10.1;9.1;9.9;11.1;9.8;9.1;7;7.9;10.1;10.4;12;13;11.5;10.4;14;20.3;16.6;13.2;14;15.5;13.6;13.1;14.6;12.8;14.2;15.3;11.5
51377;13.7;-999;-999;10.2;11.3;10.1;7;9.7;12.8;16.4;5.2;5.2;8.7;8.7;8.3;10.8;9.1;11.1;5;8.7;9.3;13.3;14.8;12.5;11.8;10.8;15.2;21.8;16.7;16.5;12.4;14.7;17.7;14.3;13.9;11.4;12.5;11.8
51380;15.2;12.8;11.6;13;-999;8.6;7.5;9.7;10.7;10.2;10.2;10.3;7.7;5.7;7.7;7.6;7.6;10.1;11.1;10.1;6.4;7.3;13.4;12.8;18.4;12.8;14.7;11.5;14.6;18;17;12.7;12.4;14.5;18.3;12.7;13;11.6
51384;11.9;-999;-999;9.2;11.2;10.7;7.5;8.2;9.9;16.2;-999;5.3;8.3;7;9.3;10.1;10.2;11.4;6.8;6.6;10.6;9.3;15;13.3;12;9.3;13.4;18.3;17.5;16.5;10.4;13;18.7;10.5;13.3;12.6;12.2;11.3
51388;14.4;10.7;12.6;-999;10;10.3;8.7;8.7;10.1;8.9;13;13.5;6.2;6.7;9.7;8.2;9.1;11;10.5;10.3;5.4;9.2;9.8;15.8;15.9;11.7;14.1;11.4;18.3;16.2;14.7;12.2;13.5;17;15.7;13.4;12.7;11.6
51389;10.2;-999;9.9;10.3;11.5;10.2;9;9.8;14.2;3.5;5;8.2;8.7;7.7;9.2;9.2;11.5;8.2;5.5;10.9;9.6;12.5;12.6;12.7;9.7;12;17.2;20.6;17;11.6;13.3;18.4;12.9;15;13.3;12.1;13.8;11.3
51392;9.2;11.2;11.4;11.2;10.5;9.8;11.3;11.9;5.8;6.5;8.3;9.7;8.9;9;10.1;9.3;7;7.2;8.1;9.6;11.5;11.4;11.7;11;12.3;17.4;18.3;16.5;14;13.6;14.3;15.7;15;13.6;14.3;14.1;13.3;11.5
51394;11.9;-999;13.4;12.4;10.9;10.2;8.6;10.8;12.7;7.6;5.8;7.8;7.8;11.2;8.3;8.9;11.3;7.2;6;10;8.7;15.3;11;11.4;12;10.9;20.9;16.6;17.1;14;11.4;16;12;15.7;11.5;13.3;13.7;11.5
