code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;32.4;50.2;-999;-999;19.2;18.2;19.9;43.8;38.2;40.8;25.2;23.8;22.8;18.9;54;47.8;27.9;41.3;17.4;26.5;22.7;13;32;9.7;25.7;19;25;10.9;6.7;14;23.5;24.4;23.1;13.2;16.3;11.7;22.8;25.2
51340;15;22.5;29.6;42.4;33.7;-999;21.9;17.5;20.3;33.1;48.4;30.8;14.2;18.9;20.1;25.1;37.4;60.1;59.1;28.8;23;22.7;30.6;12.6;13.9;11.8;17.6;27.7;19.5;10.4;9.1;17.3;21.5;30.5;19.9;13.5;13.2;24.8
51341;23.4;15;24.8;27.2;44.3;50;-999;27.6;17.6;23.7;38.2;49.1;30.5;14.2;21;21;30.7;38.4;49.1;46.6;29.5;22.3;23.2;19.9;8.1;16.7;17.3;23.2;27.2;17.9;10.6;13;20.8;18.7;28.5;23.2;11.5;25.7
51342;22.3;22.3;46.2;33.2;-999;17.7;20;25;30.5;57.7;34.7;16.2;-999;16.2;21.5;24.4;68.5;54.3;27.7;25;24.4;25;17.1;23.7;8;16.1;33.4;22.9;9.9;5.9;11.8;24.5;30.9;13.4;14.2;15.4;21.1;25.2
51344;16.5;24.7;37.6;28.3;56.2;-999;-999;22.4;26.9;37.5;45.8;50;40.7;17.4;16.6;22.7;30.4;39.7;58.5;45.6;22.3;19.4;12.1;30.6;2.4;21;13.6;22.3;27.2;16.9;5.6;20.9;17.8;24.5;36.8;21.8;7.4;26.9
51345;16.3;16.9;26.1;46.3;31.1;-999;19.7;19.9;15.7;33.5;42.3;34.7;21;14.4;20.9;25;33.8;53.9;48.6;38.2;22.3;20.7;24.2;14.9;21.5;11.3;17.3;23.6;23.4;13.8;4.6;16.6;17;26.4;28.6;14.2;14.1;24.2
51346;20.5;30;40.9;45.4;22.4;19.1;21.7;25.2;31.2;41.3;33.7;23.8;21.5;21.7;26.1;51.6;59.1;49;31.9;24.1;22.9;25;22.9;13.8;11.4;18.9;25.3;20.3;10.9;8.8;17.7;23.5;26;19.8;14.2;13.8;20.4;25.8
51347;25.1;42.6;-999;-999;18.1;14;17.9;34;46;64.9;19.6;-999;19.8;17.4;34.2;31.8;35.3;39;19.4;24.9;23.3;10.1;30.4;11.6;21.9;22.2;26.3;17;4.8;13.1;18.8;25;32.2;10.9;14.2;16.3;20.4;24.2
51348;51.6;-999;25.1;17.4;17;23.7;36.3;48.9;54.4;5.8;25.7;24.3;25.6;46.1;54.6;39.7;25;18.1;23.6;22.8;24.2;28.9;19.3;28.8;28;20.4;12.3;6.4;14.3;27;27.4;20;13.1;14.5;17.9;26.7;24;26.1
51349;20.6;30.4;43.9;50;18.3;17.2;20.6;29.4;39.3;45;33.3;21.3;20.3;21.6;29.1;42.3;53.2;47.8;30.4;24.3;22.7;23.4;21.9;13.2;11.3;19.6;29.5;21;9.7;9.5;15.9;21.6;27.8;18.7;13.3;14.1;19.4;25.7
51351;16.1;26.1;40.6;38.7;-999;17.4;19.7;16.9;32.6;42.9;39.6;26.3;15;21.1;23.2;36.1;43.9;52.3;42.5;22.4;22.1;26;19.5;19.9;4.9;14.4;23.1;29.5;13.7;5.1;13.4;18.3;23.2;31.9;11.5;15.2;14.4;24.4
51352;23;22.2;22.1;21.7;27.1;35.5;45.2;54.7;21.5;22.5;25;36.5;46.2;45.1;32.9;18.9;18.8;22.4;27.5;32.4;28.3;27.1;28.2;22.4;17.9;8.7;8.9;17.6;26.1;25;17.2;14.6;14.4;18.2;19.6;18.9;24.8;25.4
51354;36.4;-999;-999;-999;15;16.7;29.6;48.2;52;8.1;-999;25.1;25.1;36;45.3;54.2;38.6;23.2;17.2;29.2;27.2;22.3;12.8;12.8;31.5;34.3;18.1;4.3;10.8;13.6;23.6;29.8;15.1;15.3;17;20.9;27.5;25.4
