code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;62.4;128.8;-999;-999;103.8;85.4;59.5;158.7;137.5;114;55.7;183.1;127.5;73.2;157.4;140.8;93.1;137.8;76.1;167.5;103.6;38.5;102.3;20.5;73.8;61.9;105.2;44.7;15.1;39.7;61.3;71.5;59;36.2;54.3;30.8;78.8;87.4
51340;39.9;55.5;77;128.3;43.3;-999;115.1;74.1;60.7;108.4;166.7;105.5;47.5;125.6;120.9;132;122.3;230.3;169.3;95.2;108.7;113.1;93.7;32.2;32.9;32.4;45.5;70;72;29.5;20.1;55.4;58.2;77.2;42.6;34.7;45.3;82.8
51341;85;40.7;58;93.7;132.6;49.7;-999;133.5;80.9;61.9;107;147.4;115.5;57.2;130.1;124.9;131.5;111.7;166.6;124.1;86.7;121.1;116.7;54.7;27.1;55.8;60.5;60.6;73.8;76;31.8;28.5;70.7;48.8;76.1;41.5;29.5;83.7
51342;44.2;57;136.3;36.5;-999;97.9;86.3;76.3;95.3;183.5;115.4;51.6;-999;97;122.5;97.1;256.4;158.1;107.9;121;132.4;108.2;48;59.3;21.5;35.6;97.1;90;22.7;13.1;31.4;73.6;79.8;36;36;45.3;50.8;83.5
51344;72.9;56.1;60.9;72.4;155.7;0;-999;134;68.1;85.1;187;182.8;172.6;50.8;139.5;176.3;166.1;109;166.3;116.8;87.6;95.2;54.2;67.2;5.9;63;33.9;40.4;62.8;57.8;10.8;37.3;63.3;63.1;121.8;30;20.9;85.8
51345;51.1;48.6;64;122.7;112;0;99.3;94.5;54.3;78.1;162.2;112.5;82;63;135.6;129.4;117.8;194.2;166.9;123.2;88.7;120.8;99.9;33.2;58.5;29.8;50.1;45.5;79.8;44.7;10.3;49.6;46.1;63.6;72.1;28.2;50.7;80.6
51346;49;82.1;110.4;76.1;92.7;87.9;83.4;74.2;109.3;143.4;104.3;78.1;126.5;117.6;119.5;157.6;185.8;154.4;107;113.7;116.7;91.3;60;34.9;28.7;47.9;79.8;77.3;31.9;21.8;46.8;65.5;61.7;47.7;40.4;43.9;61.8;84.6
51347;40;130.6;-999;-999;104.8;71.1;60;128.6;175.8;152.3;34.9;-999;127.5;71.4;130.7;95.6;128.1;137.4;83.4;166.3;79.7;31.3;147;23.6;65.3;65.6;164.6;79;7;25.1;54;87.1;64.4;25.9;45.8;27.7;54.5;84.9
51348;144.6;0;111.9;81.8;55.4;65.8;112.2;144.2;104.6;7.2;154.6;111.3;82.6;159.1;190.1;126.8;100.3;81.2;139.4;92.2;78.9;79;57.8;87.5;107.9;99.1;30.6;15.2;37.2;81;75.7;37.7;41;42.2;44.8;95;53.9;84.6
51349;45.6;89.5;128.6;42;71.8;80.6;78.2;82.6;116.5;132.5;101.6;73.4;120.4;110.8;118.7;163.4;179.3;159.7;108;111.6;125.6;84.7;64.3;35.6;29.4;54.2;85.5;78.4;29.2;21.6;45.2;62.2;68.8;41.2;40.9;47.4;64.1;83.6
51351;37.3;54.5;118.9;124.7;0;97.3;94.4;54.5;77.7;144.1;122.4;91.6;103.8;138.8;112.2;132.9;166.3;176.7;146.6;83.5;129.7;104.7;45.7;63.5;12.4;43.1;53.8;97.8;55.8;9.8;33.4;59.2;63.4;90.3;24.6;50.6;46.6;82.8
51352;31.1;94.1;80.6;61.3;71.4;102.2;122.8;77.7;112.3;128.6;89.7;107.8;167.4;159.3;121.8;89.1;116.1;119.1;98.1;97.4;85;88.4;96.7;101.7;80.1;23.4;23.8;48.3;71;67.7;44.5;47.5;40.8;53.5;66.3;46.2;55.9;83.5
51354;123.3;-999;0;-999;65.5;46.7;88.8;131.6;154.3;25.7;-999;138.4;93.4;100.4;172.8;199.3;130.5;92.4;92.3;173.2;61.2;70;32.9;59.9;84.4;90.9;72.4;9.1;30.8;37.5;73.2;83.8;22.5;50.2;60.2;64.4;102.9;83.4
51359;93;-999;0;-999;89;48.1;67.8;127.2;119;35.5;-999;135.6;114.8;103;157;196.1;106.5;56.7;61.5;158;66.5;59.9;35.4;33.2;114.4;92.9;74.2;24.8;21.5;57.3;75.9;57.6;21.8;45.9;48.1;51.4;86.4;77.5
51361;85.7;94.7;61.5;93.1;74.2;62.7;78.5;109.8;135.6;83.5;70.8;142.1;110.2;98.3;140.4;203;160.1;105.8;118.9;126;102.2;71.8;55.5;37.3;50.5;96.4;87.6;36.8;26.8;35.5;70.8;69.8;41.6;44;43.3;51.3;80.7;85.3
51363;90.6;82;64.3;66.2;90.9;123.9;92.8;-999;138.4;103.6;81.3;160.8;197.9;98.7;107.3;90.9;112.9;132.8;90.4;140;74.1;90.7;129.9;90.6;44.9;9.2;31.6;75.2;61;52;57;32.2;41.5;61.3;37.3;59.4;50.2;85.1
51364;100.9;87.7;94.8;72.1;63.9;89.3;132.4;111.6;106.9;154.3;120.9;95.4;128.5;191.8;141;92.6;96.7;114.2;124.5;87.7;87.1;76.8;72.4;109.6;106.3;50.9;18.8;28;61.6;84.5;49.2;44.9;40.8;38.8;66.8;57;52.7;87.9
51377;121.3;-999;0;81.4;58.6;54.2;120.2;104.2;142.7;8;123.5;140.9;89.8;145.8;169.4;126.3;165.4;68.8;135.2;120.6;68.9;114.2;35.1;97;91.3;95.4;58.2;8.6;34.8;53.8;76.4;65.7;28.5;48.9;48.8;74.7;71.2;84.7
51380;33.5;57.2;101.8;166.4;0;94.5;110;58.8;82.6;125.6;129.6;82.4;112.7;137.8;104;134.5;197.1;152.6;160.3;85;127.5;124.9;54;54.2;14.8;53.7;60.8;78.4;50.2;15;33.9;69.2;61.1;79.7;23.8;50.8;58.6;84.8
51384;113.2;-999;0;99.2;67.8;53.9;96.2;122.2;137;26.9;0;143.8;103.4;98.3;174.8;158;151.6;92.5;130.3;154.5;65.4;91.3;30.8;59.3;89.5;96.9;70.3;11.1;33.4;53.3;79.4;79.2;24.3;51.7;61;57.8;90.8;82.5
51388;42.2;83.7;83.4;0;31.8;75;89.1;65.2;117.5;115.8;107.9;22.2;113.3;121;93.3;206.4;152.9;160.5;132;79.6;140.2;76.9;78.5;36.1;31.7;81.9;69.2;79.2;32.8;19.8;55.5;64.4;71;50.9;35.9;59.4;57.3;79.3
51389;167;0;97.1;80.8;57;66.6;128.6;127.2;98.1;64.2;160.9;110.3;90.8;169.6;166.5;146.9;85.1;94.2;147.2;68.3;87.2;66.9;69.2;101.9;87.4;84.7;25.7;18;45.3;75.5;87.2;37.3;46.3;49.1;49.8;94.1;42.7;86.3
51392;70.8;69.9;83.5;65.4;74.3;94.7;112.7;87;99.2;120.2;101.3;137.6;151.7;148.4;127.7;117.9;115.9;128.5;117.4;104.6;92.7;100.7;98.6;90.6;79.7;31.7;31;43.8;59.8;65.6;49.9;39.2;45.9;53.9;60;50.7;55.8;85.9
51394;155.6;0;78.2;66.5;69.8;62.4;106.9;124.4;200.6;48;133.7;108.7;95.1;210.3;103.5;161.6;97.3;111.3;163.7;68.6;106.5;66.7;93.5;119.8;74.9;77.4;31.8;31.1;49.3;57.5;79.9;37.9;45.4;55.6;53.1;72.9;53.9;88.5
