code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;0.1;0;0;0;0;0.1;0;0;0;0.2;0;0;0;0;0.1;0.1;0.1;0;0.1;0;0;0.2;0.1;0.4;0;0.2;0.2;0.3;0.3;0.3;0.2;0;0.3;0.5;0;0.1;0;0.1
51334;0.3;0.3;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0.3;0;0.3;0.5;0.5;1;0;0;0;0.2;0.5;0;0;0.1
51336;0.3;0.1;0;0;0;0;0.1;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0.3;0.1;0.2;0.2;0.2;0.4;0.4;0.3;0;0;0.3;0.4;0.1;0.4;0;0.1
51337;0.1;0.1;0;0;0.1;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0;0;0.3;0.6;0.5;0;0.1;0.3;0.1;0.3;0.1;0;0.1
51350;0.1;0;0;0;0;0.1;0;0;0.1;0.2;0;0;0;0.1;0;0.1;0.1;0;0.1;0;0;0.1;0.1;0.2;0.2;0.2;0.2;0.3;0.3;0.4;0.3;0;0.1;0.5;0.2;0.2;0;0.1
51366;0;0;0;0;0;0.3;0;0;0;0;0.2;0;0;0.1;0;0;0;0;0.2;0;0;0;0;0;0;0.2;0.1;0;0.3;0.5;0;0;0.2;0.5;0.2;0.1;0;0.1
51368;0.3;0.3;0;0;0;0.3;0;0;0;0;0.2;0;0;0;0;0;0;0;0.1;0;0;0;0;0.3;0.2;0.4;0;0;0.7;0.1;0.2;0;0.6;0.4;0.5;0.4;0;0.1
51369;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0.2;0.2;0.2;0;0.8;0.2;0.3;0.2;0.2;0.5;0.2;0.1;0.4;0;0.1
51371;0;0.2;0;0;0;0.1;0;0;0;0;0.2;0;0;0;0;0;0.3;0;0;0;0;0;0;0.3;0;0;0.1;0;0.4;0.2;0.1;0;0.3;0.2;0.3;0.3;0;0.1
51372;0.2;0;0;0;0;0.2;0;0.2;0;0;0.3;0;0;0.4;0;0;0;0;0;0;0;0;0;0.2;0;0.5;0.2;0.2;0.4;0;0.2;0;0.3;0.7;0;0;0;0.1
51375;0;0;0;0;0;0.1;0;0.2;0;0.4;0;0;0;0.1;0;0;0;0;0.3;0;0;0;0.3;0;0;0.1;0;0.7;0.3;0.2;0.3;0.1;0.5;0.1;0.2;0.6;0.1;0.1
51378;0.3;0.2;0;0;0;0.4;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0.5;0.1;0.3;0.2;0.2;0.5;0.1;0.6;0;0;0.5;0.2;0.2;0;0.1
51382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.4;0;0;0.4;0;0.2;0.5;0.3;0.2;0.1;0.4;0.2;0.3;0.3;0;0.1
51385;0.1;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0.1;0;0;0.1;0;0.1;0;0.2;0.2;0;0.3;0;0.5;0.8;0.4;0.1;0.1;0.4;0.4;0.1;0.3;0;0.4;0.1
51386;0.1;0;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0.1;0.1;0.1;0.1;0;0;0.3;0.2;0.4;0;0.2;0.1;0.4;0.4;0.4;0;0.2;0.4;0.3;0.2;0.2;0;0.1
51391;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.2;0;0.3;0;0;0.2;0.2;0.2;0;0.3;0.6;0.6;0.1;0.3;0.7;0.2;0.1;0.4;0.3;0.2;0.1
51393;0;0;0;0;0.3;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0.1;0.5;0;0.2;0;0.3;0.6;0.2;0.4;0.1;0.3;0.4;0;0.2;0;0.2;0.1
51395;0.1;0;0;0;0.3;0;0.1;0;0;0;0;0;0.1;0;0.2;0;0;0.4;0;0;0;0;0.4;0.1;0.1;0;0.4;0.8;0.2;0.3;0.1;0.5;0.3;0.1;0.2;0.1;0.1;0.1
51396;0.1;0;0;0;0.3;0;0;0.1;0;0.3;0;0;0;0.2;0;0;0;0;0.1;0;0;0;0.3;0.2;0.4;0.3;0.1;0.7;0;0.5;0;0;0.3;0.1;0.2;0.1;0;0.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0.8;0.3;0.5;0;0;0.3;0;0.2;0.3;0;0.1
68769;0.3;0;0;0;0.1;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.2;0;0.2;0.2;0.5;0;0;0.1;0.3;0.8;0;0;0.1
