code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;18.5;38;-999;-999;20.5;15.5;21.8;21.3;41.6;49.5;22.6;-999;22.4;18.4;35.5;47.4;39.8;49.6;17.5;27.3;25.3;24.5;25.7;6.7;12.9;25.6;34;15.6;5;14.2;22.5;19.5;34.3;9.9;15.8;22.2;21.2;24.8
51334;29.6;55.9;-999;-999;20.4;18;23.9;43.3;32.7;41;29.8;-999;27.4;16.9;42.9;51;40.3;32.5;26.2;24.6;26.4;9.8;19.6;4.2;17.6;20.6;31.7;13.2;4.8;20.2;22.6;35.4;39;14.2;16.3;12.9;30.1;26.3
51336;29.4;48.4;-999;-999;21.3;16.1;15.3;34.8;39.8;50;27.3;-999;26.9;23.2;48.7;61.6;39;51.7;19.5;25;21.8;15.1;32.9;7.6;17;17.2;36.4;15.1;3.9;13.2;18.1;28.1;34.3;10.3;17.1;13.2;25.6;26.6
51337;29.3;41.4;-999;-999;14.5;19.6;25.9;70.9;33.5;25.3;18.9;18.2;18.8;18.4;46.6;51.6;34.9;32;16;24.2;23;17.7;35.8;9.7;22.9;20.6;23.7;8.6;8.2;12.3;28.3;29.5;24.2;10.7;17;12.4;23.1;24.8
51350;20.7;31.1;39.6;-999;18.8;16.5;17.9;23.8;47.2;47.7;28.1;-999;21.4;21.3;35.1;44.2;45;48.5;23;21.7;24;26.3;21.8;9.1;11.2;21.8;32.3;16.5;6.4;11.9;15.9;20.7;28.5;11.7;15.3;15.7;18.9;24.6
51366;13.4;58.5;-999;-999;18.9;16.6;21.3;50.1;54.3;39.4;43.3;-999;18;13.7;23.2;61.8;18;39.4;27.1;19.1;28.9;12.7;39.6;14.8;29.6;30.4;22.4;17.1;6.3;12.6;29;29;29.2;13.4;19.1;21.7;25.9;27
51368;21.5;42.1;-999;-999;18.8;19.1;33.6;41.1;54.8;31.8;23.6;-999;14.6;16.9;34.3;88.2;20.3;40.7;22.1;24.5;22.3;9.8;53.5;12.5;25.3;26.1;25;12.9;4.1;8.7;26;20.1;32;12.9;16.2;21.7;25.7;26.6
51369;32.4;-999;-999;-999;13;25;16.3;36.2;23.3;14.4;-999;20;20.6;20.9;87.2;66.2;30.4;38.2;12.6;29.3;15.8;18.9;22.8;9.9;36.5;28.6;17.1;12.2;5.9;10.9;18.6;24.7;21.2;15.5;14.9;16.8;22.8;24.2
51371;15.7;63.5;-999;-999;20;12.1;22.4;25.3;35.4;30.9;26.7;-999;15.2;18.1;24.4;100.5;25.5;45.2;31.4;23.4;23.3;12.1;26.3;13.5;13.4;25.9;22.5;16.6;11.3;10.5;21.9;18.3;28.1;16.6;17.1;17.4;26.8;25.2
51372;21.6;35.2;-999;-999;16.9;19.3;30.3;96.8;50.6;28.4;26.9;-999;16.1;7.4;40;59.4;20.9;35.4;27;20;21.8;9.5;64.2;7.1;34;33.1;21.7;13.7;3.6;15.6;31.7;21;26.5;7.5;15.7;27.7;24.9;27.4
51375;45.2;-999;-999;-999;10.1;22.1;20.4;30.1;31.1;10.9;-999;18.3;17.9;25.9;85;58.1;32;31;15.7;29;19.4;19.3;26.8;11.6;33.7;33.6;17.5;9.6;10.3;15.7;19.4;29.3;16.3;13.6;17.3;16.6;19.9;24.6
51378;20;29.2;-999;-999;17.9;18;35.5;82.3;53.3;35.2;21.6;-999;17.8;14.9;32.5;61.7;18;44.4;16.4;21.2;27.6;12.4;48.6;10.6;28.4;28.2;26.2;13.9;5.5;8.7;26.8;17.6;39.3;11.2;15.4;29.9;26.6;27
51382;51;-999;-999;-999;12.6;26.7;25.2;30.9;26.7;17.9;-999;17.5;32.4;16.6;82.2;56.7;25.6;38.9;13;23.3;17.2;21.6;35;11.6;25.8;17.2;23;13.4;12;13.3;16.8;22;17.9;11.7;17.8;16.9;20.3;24.6
51385;53;-999;-999;19.2;17.9;18;36.8;32.1;44;-999;21.4;30;22.1;66.6;67.6;29.5;40.3;10.9;22.3;19;15.9;39.5;10.6;33.5;21.5;21.2;15;1.7;17;19.9;25.1;23.9;12.6;17.7;18.3;24;27.7;26.4
