code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;49.5;129.7;-999;0;108.9;89.2;79.2;66.8;101.3;142.3;80;-999;127.2;75.5;92.4;189.1;166.4;175.4;89.1;149.3;158.9;57.6;84.3;14.9;62.9;77;81.8;68.9;11.3;29.6;70.7;51.6;85.3;18.7;53.8;78.6;57.4;85
51334;58.1;120;-999;-999;77.8;49.7;58.8;207.9;170.5;116.6;47.1;-999;127;58.9;139.7;197.4;158.9;171.1;113.3;132.4;65.2;46.3;71.4;8.3;62.2;30.3;64.8;51;6.6;39.9;79.9;80.5;133.3;27.8;44.4;49.7;147.9;88.7
51336;64.9;119.7;-999;0;101.8;78.9;49.4;129;162.7;155.9;65.3;-999;128.7;92.3;145.6;179.9;122.4;174.1;86.4;159.4;112.2;32.7;112.9;19.6;49.4;53;99.6;55.9;7;24.5;44.7;73.9;94.6;21;58.2;44.6;118;86.8
51337;69.6;79.1;-999;0;59.8;73.5;74.6;170.1;129.2;92;20.8;164.3;118.3;69.6;176.4;187.9;125;166.1;68.5;159.6;81.5;65;83.5;19.7;76.9;62.3;96.4;31.6;12;27.4;71.4;63.3;64.4;29.4;48;33.7;99.6;82.5
51350;49.2;105.1;145.6;0;111.8;85.9;72.6;72.7;127.5;129.7;92.2;0;132.8;99.4;99.3;165.1;171.8;160.7;99.9;108.6;140.5;69.7;85.2;21;40;68.6;105.1;74.4;17.7;28;51.6;61.4;74.3;21.1;48.2;57.4;52.4;82.3
51366;42.5;74;-999;-999;135.5;65.8;86.1;153.9;160.4;144.8;68.3;0;142;94.3;113.3;218;70.1;142.9;94.6;115.3;152.8;36.4;114.3;23.6;59.8;97;61.7;63.9;18.1;31.9;100.4;60.7;56.4;23.3;56;49.7;70.1;85.6
51368;44.8;77.6;-999;-999;98.9;64.1;58.4;175.1;145.2;139.9;47.7;0;118.9;98.9;121.6;238.1;84.9;222;128.7;126.5;117.4;28.1;161.1;15.5;73.3;95.4;82;30.8;8.7;20.6;94.4;44.7;59.4;22.5;41.1;77.2;67.5;86.6
51369;81.4;-999;-999;0;63.3;81;60.5;131.3;73.2;47.6;-999;110.3;135.3;75.4;213.4;220.2;114.7;162.9;34.8;166.5;80.9;60.1;60.7;18.2;122.4;66.9;85.7;33.9;11.4;24.9;69.6;72.4;55.3;33.2;44.8;54.2;96.7;81.3
51371;43.7;107.1;-999;-999;107.4;56.2;68.1;75.6;125.1;138.3;76.2;0;98.5;124.8;89.8;223.2;95.1;200.5;123.8;117.4;138;31.1;118.2;25.9;29.1;106.8;62.1;63.1;46;16.8;76.7;48.9;107.8;40.8;39.1;51.2;72.3;84.1
51372;60.9;95.9;-999;-999;112.6;52.2;109.6;210.6;157.5;108.8;72.8;-999;113.2;41.5;161.2;262.1;96;161.8;90.6;109.5;112.9;25.4;145.8;13.6;132.8;132.6;69.7;42.9;10.3;62.1;80.4;42;59.7;9.5;37.7;82.6;60.2;92.3
