code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;3.6;8.1;12.5;4.2;5.8;8.6;9.1;5.3;7.1;17.1;12.6;4.8;8;5.5;4.2;7;8.5;11.9;10.3;8;9.4;4;3.2;16.9;4.8;19.1;3.4;8.6;5.8;6.2;19.3;11.9;7.1;6.6;9.3;7.5;10.6;8.5
51340;7;9;11.2;9;19;17.3;8.6;11.3;24.9;19.2;10.1;14.7;9.9;12.9;16.2;10.4;11.5;8.7;13.3;14.5;14;17.8;10.4;7.6;9.3;13.3;9;10.8;11.3;12.6;9.3;16.4;10.5;11;13.7;12.9;13.8;12.5
51341;6.2;10;11.4;5.9;18.6;16.3;8.9;9.8;24.2;6.5;6.9;10.3;7.6;9.9;7.4;11.4;12;7.8;11.7;15.4;9.8;17.6;12;7.5;7.5;15.2;6;10.4;8;11.1;8.1;12.6;5.2;5.7;10.9;7.3;19.8;10.6
51342;12.5;10.7;13.9;13.4;17.6;23.5;15.4;16.3;19.3;19.3;19.3;21.6;14.8;15;20;14.1;11.7;16.4;21.6;16.3;22.2;17.8;22.3;13.5;13.8;14.2;15.3;20.9;13;19.3;10.4;17.6;23.6;17.7;17.8;19.9;15;16.9
51344;7.3;10.5;10.5;5;21.5;16.2;7.6;12;26;13.6;6;11.4;6.1;13.3;5.5;10;11.2;5;8;18.4;8.6;7.7;7.6;5.7;5.8;14;4.5;8;12.3;9;5;18.2;5.7;5.3;15.9;6.7;19.6;10.4
51345;8.2;9.4;15.5;7.3;10.2;20.1;12.9;12.9;12;7;9.1;12.9;12.8;10.2;21.6;14.3;13.7;10.1;16.3;14;14.4;18.3;21.5;7.2;11.5;14.1;10.9;13;9.3;14.1;23;11.8;9.7;15;11.6;9;15.9;13
51346;13.2;10;15.3;14;14.6;24.5;15.7;16.4;20.2;15.3;17.9;20.3;19.6;12.8;23.9;14;13;13.3;16.9;16.1;20.9;19.1;18.5;13.7;18.9;13.7;17.3;13.8;13;20.5;17.3;14.4;18.5;16.5;17.2;19.2;11.7;16.5
51347;5.4;10.9;16.2;4.1;11.8;9.6;15.3;9.2;7.8;17.2;12.6;8.5;6.2;10.7;8.6;12.3;9.3;10.6;16.5;9.6;11.5;9.2;7.6;21.3;6.9;23;5.5;13.2;12.3;15.1;11.5;12.6;12.8;7.3;9.2;15.3;11.8;11.3
51348;17.9;11.6;20.7;15.2;17.1;19.3;23.1;19.3;14.4;17.4;18.8;19.3;27.3;15.1;20.8;15.7;10;18.9;15.9;22.1;22.1;21.7;16.3;17.5;14.6;20.1;14.8;15.6;13.7;20.3;12.3;12.1;22.7;14;16;19.7;15.7;17.5
51349;10.3;10.6;19.1;12.7;13.5;22.3;19.5;17.4;14.4;12.4;16;12.1;17.4;13.6;23;13.5;11;10.9;14.7;16;15.7;16.5;18.7;12.6;14.4;15.9;15.7;11.5;13.2;17.3;17.4;11.8;16.3;13.8;12.1;13.3;11.3;14.8
51351;10.7;9.9;18.9;9.3;13.5;22.8;23.7;20.3;14.8;12.4;16;11;18.1;14.5;24.4;16.4;10.3;14.8;17.2;12.9;15.2;14.3;22.5;9.7;15.1;15.4;19.7;11.8;11.3;16;23.9;11;14.4;17.7;12;10.8;8.6;15.2
51352;13.7;11.6;21.1;18.8;15.5;16.2;19.5;17.8;15.5;16;14.2;17.1;22.7;13.8;19.6;17.1;10.3;16.5;20.4;19.6;23;20.7;15.7;14.8;15.6;19.5;13.7;16;12.5;16.7;11.6;12.1;15.5;13.1;19;17.9;18.3;16.6
51354;3.8;10.2;11.2;4.3;6;12;10.2;5.1;11.9;17.5;12.2;5.2;7.2;10.6;18.1;6;9.1;10.7;8;6.8;9;8.7;4.7;23.5;4.2;19.8;4.5;8.5;8.2;9.6;11.9;9.4;9;6;11;10.8;10;9.6
51359;4.8;10.6;13.6;3.7;9.7;13.5;13.1;7.1;12;17.1;12.3;6.5;8.2;10.3;18.2;8.3;10.6;9.3;14.3;8.1;11.4;16;6.6;22.7;4.7;18.3;11.9;6.6;12.2;11.5;12;10.4;13.3;5.7;10.6;13.9;10;11.1
51361;18.2;8.8;19.7;16.7;15.2;21.1;18.5;18.8;17.9;15;17.7;22.6;18.7;11.7;23;13.7;9.1;17.6;18;19.7;21.9;19.6;19.1;15.1;17.9;15.4;18.1;18;12;21.4;11.1;13.7;20.5;15;17.1;19.6;18.5;17.2
51363;14.9;8.4;17.3;20.4;11.9;13.9;14.3;16;18.7;14.2;17.2;16;22.1;10.1;20.7;12.4;5.8;13.8;15.9;18.4;24.9;15.8;12.2;13.9;15.6;16.3;15.8;13.6;15.2;19.1;10.8;10.3;10.4;12.9;10.5;18;26.7;15.3
51364;16.7;9.1;22.2;20.2;16.1;16.2;20.1;21;17.7;16.1;17.2;19.3;25.3;10.7;21.2;19;7.4;20.3;19.2;21;25.2;21;15.5;14.3;20.6;18;17.7;19.5;14.7;20.5;11.3;12.5;18.8;15.1;13.3;21.6;26.1;17.9
51377;9.4;10.2;14.1;9.3;11.7;15.2;14.1;13.7;12.3;13.7;11.1;8.5;10.7;12.4;18.3;12.4;9.2;11.1;14.8;9.8;15.2;16.1;9.4;16.4;11.2;19;12.9;10.8;12.3;7.5;12.5;10.1;13.4;11;20.8;14.3;12.6;12.6
51380;12.3;12.7;15.2;9.4;13.3;18.5;22.2;17.9;15.8;15.7;12.6;12.7;14.6;14;19.2;16.9;11.6;14.4;18.9;15.3;16.2;14.1;17.9;9.8;12.7;15.9;14;9.5;13.7;12.4;23;11.2;16.3;14.5;17.7;10.3;13.6;14.8
51384;5.9;9.2;14.1;5.8;7.2;12.6;10.3;10.5;11;14.1;9.7;6.3;8.4;11.6;10.1;7.7;7.5;13.3;13.2;9.4;21;7.1;6.5;15.7;7.8;20;8.1;13.5;6.1;10.7;12.4;9.2;13.3;8.1;16.5;12.4;12.7;10.8
51388;11.2;12.3;9.5;16;9.6;10.5;9.5;18.5;10.6;14.5;10.1;10.1;11;10;13.2;11.6;8.1;9.7;11.8;14.3;13.5;9.4;10.8;11.7;9.9;19;11.1;10.4;10.9;8.5;10.2;10.5;12.4;11.2;16.1;13.6;17.7;11.9
51389;13.1;11.7;20.3;10.2;16.8;13.2;15.3;17;10.7;17.3;12.8;12;18.4;12.6;17.8;17.7;11;17.1;15.2;15.1;18;14.2;11.3;21.3;10.2;21;11.2;15.4;11.3;14.2;13.4;11;15.2;11.3;20.7;14.9;10.3;14.6
51392;22.4;20.6;23.2;23.8;24.1;23.1;23.4;25.3;23.4;21.1;17.8;20.6;23.8;21.5;23.4;24.1;18.5;21.8;24;19.7;23.1;26.9;23.7;23.5;23.5;24.4;25.6;20.1;20.6;20.3;20;20.1;23.4;19.2;24;22.8;19.7;22.4
