code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;17.4;65.8;28.3;47.2;20.9;36.3;10.3;29.5;48.9;76.6;66.7;17.1;19.5;44;56.9;15.3;127.3;22.8;32.8;33.4;29.2;34.9;38.1;66.8;16.1;99.6;23.6;69.7;65.1;31.9;100.2;77.9;23.6;26.8;80.7;21.3;8.7;44.1
51340;29.9;52.7;10.4;26.7;31.8;30.5;9.5;18;98.7;136.8;23.5;27.5;36.6;73.3;81.5;9.7;69.1;10.3;9.2;71.3;9.5;101.3;19.2;41.4;8.6;103.9;31;22.6;163.1;7.4;33.3;67.4;31.3;16.2;82.8;12.9;28.1;44.2
51341;47;46.3;10.9;20.4;44.1;29.4;10;19.9;102.8;49.8;17;18.9;33.4;32.2;50.8;10.3;122.3;14.4;12.8;58.4;9.9;88.3;14.1;62.7;11.5;113.6;32.2;38.9;65.7;19.4;45.3;39.3;26.9;24.6;82.5;21.6;43.6;40.3
51342;23.5;24.3;11.5;32.7;20.1;22.9;7.1;27;14.2;53.4;12.8;17.3;24.7;83.9;60.4;6.2;77.2;5.7;5.6;50;5.1;31.4;65.2;42.8;5.2;64.5;13.3;8.5;100.5;6.1;49.7;48.2;11.7;10.8;54.5;5.3;6.6;30
51344;53.9;53.9;11;19.4;52.4;35.5;11.6;14.2;149.7;149.1;15.5;27.7;15.8;66.3;71.7;11.9;136.6;15.1;14.9;87.8;14.3;38.6;12.5;48.2;11.9;134.4;43.7;26.7;138.2;9.3;62.2;120;27.7;25.4;145;22.1;45.9;52.4
51345;30.1;24.6;8;16.6;20;20.4;7.8;19.3;35.7;16.5;13.9;16.4;24.9;20.8;55.6;6.5;57.5;7.9;6.7;18;9;51.3;8.7;17;12.1;47.7;12.1;13.2;50.1;5.2;56.2;12.8;17.1;9.5;37.3;11.2;41.1;22.7
51346;18.8;29.6;8.4;24.4;15.8;20.2;5.7;12;28.2;24.9;8.9;24.8;30.7;32.8;43.8;5.3;45.2;5.7;5.6;20.6;5.4;24.9;20;14.5;7;39.7;11.9;8.7;62.5;6.4;35.1;19.3;13.9;8.7;33.8;6.1;10.9;20
51347;13.2;71.9;13.5;55.5;16.5;21.4;8.4;19.9;31.2;68.9;42.2;11.9;18;75;69.5;7;55.9;9.5;14.3;11.7;12.1;16.9;24.8;58.8;22.4;98.1;54;59;107.1;53.9;59.5;59.2;16;16.1;41.4;17.5;6.6;36.7
51348;7.8;20.9;6.2;12.2;9;6;5.7;9.6;9.7;21.7;9;7.5;53.6;29;21.6;5;46.4;5.9;5.4;11.3;5.9;53.2;9.4;27.3;10.8;22.5;13.3;13.1;25.3;15.6;39.9;17.3;11.6;7.7;27.5;4.2;4.5;16.6
51349;14.4;38.2;9.8;46.7;15.3;29.4;7.8;12.6;15.8;27.8;16.3;20.1;33.2;31;66.4;5.9;36.9;7.4;7.9;16.8;9.2;19.7;14.5;24.6;12.7;48.1;19.8;22.2;57.7;8.9;34.6;13.9;13;9.2;26.6;8.9;12.5;22
51351;15.9;27.6;6.4;25.7;20.3;18.7;5.8;21.3;12.7;18.2;9.2;13;13.1;18.9;48.6;5.8;16.8;5.5;8.9;12.2;9.6;12.6;8.6;12.4;10.6;28;12.5;16.8;17.8;7.2;23.4;7.6;11.9;15.7;10.4;7.2;11.9;14.8
51352;10.2;24.2;5.9;16.9;11.7;12.1;7.9;11.1;11.8;15.6;9.8;10.2;21.6;19.8;16.9;5.3;33.4;6.3;14.5;6.7;15.7;16.3;7.1;20.6;9.5;27.4;17.7;15.7;20.9;11.7;38.5;26;11;8.8;17.4;9.9;3.3;14.9
51354;18;82.3;22.7;145;17.8;68.6;9.5;30.2;148.7;92.5;55;23.4;56.7;87.9;165.5;13.6;131.7;36.1;26.7;34.9;19.5;127.9;58.7;115.1;25.1;104.9;59.8;74.1;107;61.6;118.3;66.2;25.4;33.3;93.4;10;10.4;64.3
51359;12.6;54.1;17.8;87.8;15.7;45.9;7.4;34;123.2;76.4;39.3;17.6;41.7;79.1;95.5;8.7;109.7;10.6;11.3;28;12.9;91.3;50.7;99.4;21.8;88.4;106.1;37.4;97.5;35.5;104.4;51.7;20.7;14.6;58.8;9.5;9;49.3
51361;13.6;32.1;12.1;27.8;15.6;11.2;5.9;24.9;26.9;26.5;12.8;19;38.9;32.5;39.6;5.7;66;10.1;6.9;25.2;10.4;33.1;40.6;23.5;6.9;36.1;17.3;12.2;57.8;12.5;39.4;23.3;11.9;8.7;25.3;5;3.6;22.2
51363;10.3;25.8;7.7;16.4;12;14;14.9;8;15.9;17.8;13.5;9.2;19.1;16.5;29.4;10.8;37.8;6.7;23.3;28.6;14.9;27.9;8.1;32.8;7.5;46.7;40.9;20.7;33.1;17.1;26.5;17.7;24.6;15.9;23.4;9.6;1.3;19.1
51364;11.4;28;8.7;20.8;9.4;12.7;5.9;9.9;26.2;16.1;10.3;6.4;33.8;20.7;28.8;4.3;53.3;4.8;11.9;12.6;15;30.3;16.2;34.4;7;42.2;39.7;14;42.6;10;35.7;21.2;12.9;9.6;22.1;6.9;1.4;18.8
51377;10.8;30.6;20.6;10.1;8.8;14.9;13.2;16.9;37.4;32.3;17.2;18.5;11.7;13.5;41.2;14.9;31.6;21.8;26.9;17.1;22.3;26;16.1;23.5;20.4;22.9;23.2;29.5;21.7;17.3;30.1;22.9;17.6;23.5;31;25.2;7.4;21.4
51380;13.8;21.6;8.2;11.4;11.5;21.8;5.8;9.2;11.9;12.8;7.5;6.8;7.4;12.9;22;6.4;14.7;5.1;8.5;9.9;8.5;15.8;9.1;10.6;10;12.8;5.8;9.4;13.3;7.2;27;15.5;8.8;19.3;17.2;6.3;12.3;11.8
51384;14.7;49.6;20.8;19.6;11.3;16.1;8.3;18.3;47.2;57;33.2;21.6;12.6;31.9;51.9;13.4;56.7;31;20.1;18.9;36.8;24.7;21.1;39.8;17.1;43.3;19.4;35.3;21.9;32.3;42.1;37.2;21.1;21.2;57.8;21.3;8;28.5
51388;9.6;22.5;17.1;21.5;10.7;11;12.6;13.1;19.8;20.5;15.3;14.8;7.8;10.9;20.3;16.2;10.1;16.3;13.9;11.8;16.7;17.6;14.6;14.6;13.3;12.9;10.1;16.7;13.7;15.8;29.7;17.5;11.3;19.3;22;13.9;14.8;15.4
51389;15.2;27.8;11.9;11.3;9.5;13.7;9.2;21.2;17.8;28;26.1;11.4;36.8;26.1;24.8;17.7;50.6;17.3;14.4;13.1;19.8;24.3;10.3;40.5;16.6;34.6;17.1;24.9;26.6;19.9;40.6;34.9;15.3;16.7;29.2;6;8.1;21.3
51392;4.3;11.6;4.9;3;2.5;5.7;4.3;10.8;4.7;10.8;8.9;6.1;4.3;5.3;6.1;4.6;7;5.7;7.4;7;10.2;6.3;3.5;7.9;4.1;13.9;5.3;5.1;6.8;5.9;9.5;7.3;5.2;8.2;7.9;3.5;3.2;6.5
51394;22.6;33.5;23.8;11.3;15.4;25.3;23.1;29.2;36.2;38.7;23.4;19.6;21.9;17.6;33;24;30.8;27.2;48.2;31.6;34.4;51.2;21.7;37;23.4;37.7;17;29.3;28.4;24.6;34.8;29.2;23.3;50.6;36.4;29.8;4.5;28.4
