code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;146;272.4;118.6;227.5;103.5;102.8;47.6;110.5;153;138.8;108.2;105.4;82.8;161.1;215;67.2;332.8;78.6;81.3;84.3;93.3;171.5;191.3;105.4;100.4;155;177;150.9;182.8;109;209.3;178.2;66.3;129.4;180;70.9;24;136
51340;113;212.5;31.6;91.3;40.7;61.1;42.9;41;104.4;147.7;51.5;45.1;72.8;130.9;128.8;29.2;230;37.5;39.7;99.6;27;181.7;68;107.1;34.2;228.5;72.6;49.5;285.7;24.6;108.5;113.6;90.8;60.4;103.7;36.7;52.1;91.8
51341;151.8;195.4;36.2;93.1;47.1;68.1;49.6;51.6;104.9;89.2;52;50.1;77.1;71.2;119.5;31.5;362.3;44.1;56.1;93.8;35;170.7;55.5;134.6;43;215.6;91.8;67.3;149.3;39.8;142.6;68.2;113.8;101.6;127.3;77.3;67.2;95.8
51342;75.6;101.7;21.8;52.6;42.8;38.7;24.2;46.9;30.7;64.6;18.8;29.8;42.5;138.8;86.7;13;210.7;13.5;13.4;66.8;11.3;60.5;103.2;56.5;13.7;113.8;23.2;20.7;223.4;11.5;133;64.4;35;25.7;85.4;10.9;12.1;57.8
51344;165.9;238.3;44.8;131.1;57.5;76.7;66.9;55.7;149.7;222.8;82.6;64.6;100.7;105.6;165.7;41.8;426.9;63.7;75.2;122.7;48;140.4;60.9;158.6;58.9;334.3;112.7;73.7;246.6;38.8;217.3;140.8;123.7;119.3;155.9;79.8;75.6;125.5
51345;76.7;111.1;18.5;59.2;42.1;41.2;24.4;33;59.7;41.1;31.4;27.8;42.8;39.8;85.4;17.1;111.6;20.9;20.3;35.6;24.8;97;20.6;57.2;27.8;67;40.1;24.7;94.8;15.5;87.6;29.3;44.7;30.2;63.7;34;66.9;47.7
51346;46;104.9;16.3;45;30.8;28.8;13.9;23.5;38.3;34.5;14.8;38;42;66.3;67.8;10.5;110.9;12.3;12.1;39.2;10.4;47.7;41.5;28.9;13.8;72.8;20.8;20.6;105.5;14.1;73.3;32.8;28.9;19.3;53.7;14.4;23.8;38.3
51347;86.6;233.7;66.7;161.8;62.2;53.5;25.9;85.2;113.9;165.8;66.1;67.3;53;186.3;140.6;25.1;164.6;30.6;37.1;33.7;36.8;86.1;110.3;89.2;66.5;147.5;136.5;121.4;130.1;75.7;167.1;126.1;32.9;57.3;89.2;29.1;16.9;91.3
51348;18.2;78.1;13.6;32.5;19.4;15;10.1;24.9;26.4;35.3;16.3;20.1;64.6;62.9;35.5;11.1;114.9;11.6;13.6;16.6;13.4;77.2;28.2;48;27;56.1;31.1;29.9;54.2;24.6;88.2;35.8;20.1;21.1;39;9.9;11.4;33.9
51349;55.1;161.2;21.9;93.8;49.5;44.8;15.3;32.1;44.8;54.5;26.4;52;50.3;82.1;111;14.3;68;18.3;19;27.9;19.8;47.7;39.9;41.7;27.2;63.5;36.2;42.1;88;23.2;82.9;31.5;23.5;25.5;49.3;22.8;30.1;47
51351;49.4;123.6;13.3;69.5;55.8;34.2;13.4;28.6;36.4;27.6;18.4;31.3;29.8;44.4;61.7;15;39.4;14.3;18.1;22.9;21.8;39.1;21.7;38;22.3;41.9;20.8;34.2;50.1;19.9;64;24.1;22.4;23.8;34.2;22.7;42.8;34.9
51352;26.3;79.1;14.6;28.3;23.3;23.3;13.8;30.7;25.2;30.9;21;21;30.7;55.5;33.3;13.4;120.6;15.2;20.5;15.1;25.1;31.4;18.3;37.9;28;82.3;36.4;34.9;44.7;23.7;95.9;59.2;30;26.7;33.3;19.9;7.5;34.5
51354;130.4;351.8;114.7;310.3;123.5;118;45;150.8;192.1;208.5;141.3;142.9;145;238.6;253.1;62.3;394.7;79;74.9;88.7;72.1;271.4;234.5;198.8;140.4;244.5;202.9;207.4;260.3;124;259.2;221.7;65.5;127;160.8;41;28.7;168.3
51359;93.3;269.7;72.1;213.3;78.4;78.8;28.3;116;141.9;165.4;101.2;94.2;103.1;246.2;169.3;38.4;277.1;43.9;44.3;57;42.4;194.3;193.5;157.1;90.7;173.3;186.3;127.4;205.3;82.5;206.7;179.3;43.1;71.7;104.2;27.4;23.5;122.7
51361;40.7;121.5;24.2;60;31.9;21.8;14.3;38.9;47.2;49.6;20.4;33.4;58.5;91.2;88.9;12.2;198.8;16;13.3;41.1;15.1;60.8;80.6;43.6;15;73.8;36.9;22.3;172.8;18.9;127;48.9;24.9;20.3;39.7;10.1;7.4;49.8
51363;22.1;132.8;18.9;27.3;28.5;29.4;21.7;19.9;27.5;37.7;24.4;18.6;32.2;59.8;54.1;20.6;254.9;16.3;40.8;52.3;29.6;75.4;19.6;91;21;162.3;78.7;50;84.4;31.9;135.6;71;43.7;31.3;70;18.8;2.4;52.9
51364;25.9;136;17.1;34.1;20;20.6;9.5;23.4;46;29.2;14.5;14.3;50.2;70.4;59.8;9.3;281.7;8.6;21.9;20.2;19.6;59.6;35;59.7;17.9;125.4;79.9;24.2;120.8;19.7;141.8;56.4;26.3;19;52.6;11.2;2.8;48.2
51377;30.1;83.3;76.9;37;21.8;36.4;27.6;57.9;69;45.4;49.3;78;29.9;33.8;76.6;37.2;105.6;67.3;66.4;64.3;75.2;64.3;44.9;54.5;44.4;65.4;44.6;117.5;60.6;66.9;82.4;102.1;63.3;90.8;67.4;50.7;21.5;59.7
51380;34.2;62.4;19;42.8;32.1;43.4;13.8;25.9;29.6;23.5;17.1;17.3;19.5;29.2;36.4;15.1;39.9;13.3;18;24.4;21.6;35.9;22.8;33.3;23.3;28;16.4;32.6;36.4;24.7;65;35.8;17;28.3;29.4;20.1;26.7;28.5
51384;63.1;136.9;63.1;76.8;46.2;53.5;26.1;51.3;81.1;88.4;53.9;74.9;43.4;65.2;120.7;41.6;154.5;86.1;59.2;59.5;69.6;80.9;78.9;74.4;56.7;88.5;73.9;108.3;88.8;65.3;109.5;96;60.7;77.5;92.9;45.1;20.9;73.9
51388;34;70.1;58.6;56.7;34.4;63.6;39.5;42.9;59.9;39.2;51.8;59;27.5;42.3;60;45.6;44.6;49.4;40.1;50.3;62.8;59.1;52.1;37.7;41.5;28.5;32.2;68.1;40.8;67;99.7;76;34;62;64.7;50;46.1;51.1
51389;31.1;92.2;28.9;43.2;24.4;42.7;22.1;45.7;49;49.6;46.4;36.6;52.7;54.5;50.1;26.6;105.9;34.9;30.7;24.9;48.4;49.4;32.6;73.2;45;77.6;48.5;63.7;70.8;38.6;101.6;93.2;37.9;44.1;47.8;21.5;23.9;48.9
51392;9.4;20.5;12.5;6.6;5.1;11.1;7.5;18.5;9.3;17.1;26.3;17.1;8.1;11.8;14.4;9.4;21.6;16.2;13.3;18.8;25.7;10.7;6.2;12.1;8.1;25.3;9.3;20.4;16.4;13.4;20.7;25.8;12.2;22.3;14.3;8.8;7.6;14.4
51394;55.5;77.7;83.2;36.1;31.5;57;52.5;88.9;77.7;66.2;112.1;95.6;53.1;51.6;90.9;56.7;133.5;88.6;114.3;105.1;102.3;102.2;34.8;81.5;58.2;114.2;40.7;129.8;77.4;81.9;85;136.6;92.4;140.4;88.5;63.7;12.6;80.3
