code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;17.9;49.9;25.3;31.1;16.6;22.1;8.3;18.2;14.2;43.2;35.2;13.9;12.4;33.9;26.8;9.6;76;10.3;17.7;18.9;15.6;22.2;18.3;22.8;11.7;35.5;14.6;47.6;58;21.2;66.4;56.4;15.1;25.4;48.5;11.3;8.7;27
51334;12.9;61.3;16.1;41.5;20.6;31.4;10.6;24;41.8;76.5;56.2;12.4;22.1;67.5;37.4;8.3;103.6;10.9;34.7;10.6;17.3;20.9;21.9;76;23.2;88.9;44;55.6;81.1;60.6;69.5;72.1;17.9;26.9;63.8;9.4;7.2;39.4
51336;16.5;62;27.7;38.6;21;38.8;9.5;28.2;26.5;61.8;49.7;14.5;20.5;39.5;35.5;9;117.9;12.6;28;22.1;21.6;22.9;29.9;45.3;15.2;91.8;27.5;59.1;66.4;31.2;84.4;75.3;18.8;24.3;71.8;18.7;7.6;37.6
51337;16.3;48.7;25.5;27.6;17.4;24.4;8.7;30.8;75.9;55.7;47.8;27.1;14.2;22.7;47.5;13.4;56.2;29.4;29;29.9;54.5;22.3;28.5;28.2;29.2;52;25.7;39.9;38.3;22.7;70.6;53.8;25.1;33.3;75.2;51.2;7.4;35.3
51350;12.7;45.9;11.7;43.3;23.6;21.3;7.1;14.2;16.2;42.1;22.7;10.3;20.2;47.1;53.3;6.7;30.8;6.8;20.1;21.2;12.2;15.1;17.2;24.4;14.7;40.3;36.7;43.5;56.6;22.4;44.5;29.3;12;20.6;21.3;10.1;8.3;24.5
51366;22.5;29.2;26.6;32.9;19.8;20.8;24;14.7;17.7;16.1;22.5;15.8;14.4;10.9;19.8;17.2;24.8;18.7;19.5;15.8;20.4;15.7;17.5;15.8;11.3;19.2;11.5;20.5;11.5;12.6;19.6;14.6;16.5;16;22.6;12.5;21;18.5
51368;27.5;28.2;22.8;37.7;13.3;24.9;24;14.9;15.2;12.7;22.5;12.7;11.6;9.4;18.8;13.5;28;15.5;17.6;15.5;21.4;12.4;15.4;17.6;16.7;14.9;12.4;20;12.6;13.1;20.1;14.9;17;19.5;20.3;12.4;15.3;17.9
51369;22.3;22;30.1;15.7;10.8;11.9;18.6;17.6;22.4;14.9;24.3;15.9;15.5;12.4;14;16.7;21.1;16.7;22.5;13.1;14.8;16;13.5;16.1;12.5;19.3;12.2;21.6;13.3;14.9;16.7;19.5;21.1;17.6;22.9;13.3;18.2;17.4
51371;27.3;31.9;22.8;39.4;18.7;25.3;23.7;14.8;16.9;12.9;19.7;13.1;10.5;8.9;21.5;14.1;27.5;17.9;20;14.4;26.2;13.7;13.2;22.7;18;15.6;11.2;20;11.5;15.8;19.8;14.2;19;19.1;23;11.4;18.6;18.8
51372;20.3;27.7;26.9;29.6;15.4;16;27;16.5;23.8;26.8;27.6;19.9;15.8;17.8;17;22;24.6;21.9;24;16.7;20;19.2;18.8;15.8;12.7;21.5;17.8;21.4;13.9;15.1;21.9;19.5;18.2;17.9;18.7;15.8;24.4;20.3
51375;29.6;22.5;27.7;13.1;10.3;15.9;16.1;22.6;15.5;12.7;23.2;12.5;15.9;13.5;17.1;15.8;20.2;15.6;16.8;11.6;14.2;13.5;13;15.9;11.9;17.3;13.3;18.5;13.7;13;17.1;16.4;21.1;19;23.5;10.5;10.2;16.5
51378;17;25.4;26.5;29.6;11;12.6;27.9;17.1;28.7;35.3;27.4;19.7;13.8;20.2;19.7;20;26.8;25.7;27.6;15.9;19.4;19.8;19.6;27.1;16.3;23.9;20.2;19.7;16.1;19;30.8;20;19.3;19.9;18.4;18;23.1;21.6
51382;15.8;24.1;21.9;17.8;10.3;10.7;17.6;20.9;33.3;29.8;21.2;20.6;10.6;25.5;28.3;12.7;23.7;21.5;28.5;18.4;19.3;22.9;19.3;14.7;25.4;20.1;21.2;32.9;19.7;21.7;30.3;27.8;18.3;25.4;22.4;28.4;18.4;21.7
51385;17.2;39.5;40;13.6;15.2;21;35.8;29.8;53.6;53.3;23.7;27.5;20.4;23.1;43.5;23.5;45.2;45.5;60.2;37.1;41.6;57.2;25.7;41.7;50.7;46.3;24.7;46.3;39;29.1;61.5;41.6;30.2;44.4;54.6;48.6;7.3;36.7
51386;15.5;31.9;21.2;21.9;14.1;19.3;9.3;23.6;35.9;28.8;28.9;26.1;10.6;19.2;34.3;15.2;31.3;18.2;22.9;22.3;28.5;21.9;20;21.8;21.3;22.9;20.3;33.4;29.9;19.9;51.4;34.6;19.8;32.9;43;32.4;7.2;24.6
51391;29.1;26.8;26.4;15.3;18.9;16.6;23.2;27.5;35.9;30.7;27;19;23.3;18.8;26.4;16.2;26.9;32.1;40.3;27.6;28.7;35.2;18.5;40.1;31.5;31.1;30.3;33.4;27.4;25.9;36.1;34;22.9;44.3;33.5;31.6;5.9;27.5
51393;15.7;29.3;25.2;18.3;9.9;12.1;23.9;19.9;34.8;27.7;19.5;19.8;15;18.8;28.2;14.8;32.1;38.5;39.4;23.8;23.4;28.5;18.8;25.1;30.6;24.9;23.7;38.7;22.1;23.2;38.4;31.8;20.4;33.3;29.3;27.6;7.3;24.7
51395;25.8;22.4;26.8;21.9;18;18;19.2;30.5;23.7;22.7;26.7;16.3;19.1;17.7;22;15.9;26.4;32.9;36.4;27.4;24.2;29.9;16.7;30.1;24;28.3;23.4;28.6;25.7;21.9;24.2;30.8;20.4;37.9;32.4;22.2;6.8;24.3
51396;30.5;21.4;22.2;16.9;13.2;19;15.1;22.5;15.3;15.2;26;12.6;17.6;15.5;21.2;15.7;21.8;22.5;19.9;16.3;19.9;20.4;15.7;20.3;16.5;21;19.3;18.5;16.2;14.8;21.6;18.3;20.8;25.1;26.9;12.2;9;18.8
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;23.3;24;35.8;15.7;13.7;14.9;20.5;22.8;28.3;13.1;27.4;17.3;16.6;15.3;13.5;18.3;21.4;24.1;29;13;17.4;18.4;14.5;18.6;15;19.8;14.5;25.7;14.1;19.3;18.7;23.8;24.6;22.1;31;13;15.2;19.8
68769;18.2;24;29.1;18.6;12.7;10.8;19.8;18.3;30.3;18.5;20.6;18.1;12.9;18.5;17.7;17.4;25.4;31;32;19;18.9;19.9;18.1;21.6;23.3;24.9;19.9;33.4;15.9;22.9;27.8;26.8;19.3;24.8;23;20.4;21.4;21.5
