code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;75.6;184.5;91.1;144.9;59.1;55;26.8;57.8;82.1;86.3;64.3;54;42.5;121.2;125.9;36.6;180;35.1;49.1;50.7;64.6;89.9;91.2;74.5;51.9;60.1;70.4;103.6;113.8;87.7;149.2;132.1;34.4;78.8;105.6;54.5;20.7;81.2
51334;122.1;259.6;94.1;211.9;86.7;77.7;37.8;110.9;139.3;151.2;99.6;90.8;74.6;175.9;169.2;38.2;278.2;46.8;61;49.9;59.8;124.6;150.5;90.1;92.2;172.3;186.3;147.4;141.4;98;190.9;157.1;48.8;95.8;151.1;38.4;18.3;117.3
51336;122.1;250.9;110.9;199.8;84.7;87.5;37.9;97.2;122.7;125.1;94.3;80.8;65.9;145.3;175.8;48.5;270.5;53.6;66.1;60.6;75.6;131.8;153.3;83;76.3;119.5;146.4;127.5;151.4;94.4;185.5;164.2;50.6;99.1;155.5;61.7;20.8;113.4
51337;86.2;193.2;101;121;61.9;74.2;40.1;74.2;125.6;106.8;74.2;101.7;53.8;93.9;185.3;67.4;203.5;101.9;78.3;99.7;104.1;124;125.9;86.7;78.1;92.6;107.4;141.2;119.5;100.8;151.8;146.2;78.7;104.2;136.2;81.1;21.1;103.9
51350;58.3;164.2;41.5;119.9;62.8;36.5;17.4;46.7;60.7;86;34.8;39.8;40;122.1;99.2;18.7;81.8;20.6;34.3;32.6;34.8;54.4;64.7;54.5;37.7;59.9;60.5;74.6;88.5;45.8;113.4;62.1;23;43.6;60;27.9;20.6;57.9
51366;86.7;156.6;204.6;122.4;91.9;196.9;158;92.3;135.1;87.2;164.2;145.9;79;83;142.5;117.4;134.7;132.4;188.1;128.4;173.2;121.7;112.5;80.7;90.7;99.4;76.9;158.8;77.9;144.5;165.4;151.8;109.5;135.4;202.1;91.2;104.3;128.2
51368;99.5;182.9;191.3;116.3;74.1;186.1;149.1;96.4;128.7;94;167;127;68.8;77.1;173.8;106.7;149.1;101.7;171.2;118.8;154.6;114.3;100.4;107;90.1;117.3;85.7;158.4;80.2;139.3;158.5;143.7;107.4;159.8;220.5;77.5;67.8;126
51369;77.7;160.7;182.6;74.4;67.3;106.2;127.8;105;133.5;84.2;170.2;141.2;78.1;78.6;137.9;120.5;148.5;133.9;139.5;118.5;146.9;128.4;106.8;95.9;98.5;117;78.2;172.2;95.9;133;162.2;172.3;126.6;171.1;213.8;85.4;54.8;122.8
51371;104.1;167.9;176.7;121;82;187.4;146.6;102.8;138.3;94.5;150.7;131.1;72.9;69.4;174.4;114.8;135.3;108.7;171.4;112.8;164.9;108.9;88.1;91.5;96.2;94.8;89.2;156.2;76.8;153.1;153.5;152.3;95.6;151.3;209.5;81.8;94.4;124.9
51372;79.1;154.4;182;112.9;78.8;151.7;135.8;107.9;139.2;84.3;149.7;169.4;77.6;93.3;117.2;120.5;135.9;143.4;168.8;134;177.9;120.7;127.7;70.6;88.7;103.1;72.9;156.8;90.1;138.8;160.7;165.6;115.9;125.7;175.4;99.9;92.2;124.8
51375;100.1;204.4;170.9;77.5;69.1;136.5;151.4;135.8;147.4;107.3;193.1;138.8;82.9;98.6;167;124.9;163.5;130;147.5;122.2;138.7;147.4;105.6;133.3;111.8;132.8;110.9;187.5;100.1;142;186.6;176.9;133.1;210.3;246.9;87.9;37.5;136.7
51378;66.4;126.6;119.4;98.4;54.9;111.6;97.3;101.2;122.3;76.8;109.1;143.9;61.3;72.8;99.5;99;105.3;124.1;101.1;111.2;145.2;102.1;110.7;57.3;79;74.5;59.2;124.1;83.4;122.4;151.6;144.6;85.1;104.1;121.8;95.4;69.5;100.9
51382;57.9;99.7;142;60.6;48.4;61.2;50;99.6;99.2;64.6;86;136.8;51.9;53.1;110.3;76.1;123.1;119.3;110.7;118.4;128.4;123.4;97.2;60.7;86.3;96;66.8;166.1;98;130.1;123.5;165.1;109.9;128.7;122.3;86.6;32.7;97.1
51385;53.1;126.7;139.2;55.4;35.6;59.6;64.4;112.7;107.7;77.7;102.2;134;56.5;64.3;129.5;65.1;177.3;129.9;164.2;129.7;156.3;117;60.4;108.3;84.4;150.4;65.3;191.7;100;125.8;142;176.6;127.3;173.2;121.1;91.8;23.6;108.1
51386;61.7;135.8;93;86;43.9;61.3;36.4;68.3;104.1;71.4;58.7;85.3;38.3;71.9;129;57.9;138.1;70;58.5;85.3;86.3;102.7;87;70.8;66.6;61.1;75.5;128.6;84.4;91.2;120;120.6;57.9;89.8;95;74;20.9;80.7
51391;88.9;113.5;119.8;48.3;54.5;71.7;79.8;137.4;103.8;89.6;134.5;152.4;72;80.3;144.8;68.2;147.5;155.5;211.4;168.4;167.5;139.6;48.5;117.1;109.3;141.5;75.6;176.8;118.4;145.9;120.2;172.4;165.7;222.1;162.9;105.6;15.7;120.2
51393;50.9;94.9;131.1;50.6;40.8;54.7;57.2;100.4;84.8;54.9;85.5;128;42.4;62.2;103.4;69.4;136.2;139.4;146;126.4;150;114.6;67;74.6;76.4;108;64.7;168.3;95.7;127.1;116.3;154.6;125.3;154.1;110.6;86.4;21.4;96.6
51395;112.6;172.5;160.9;70.4;84.1;115.5;128.9;168.1;120;108.6;155.4;152.8;75.6;114.4;175.4;114.8;174.8;195.9;265;186.6;185.3;195.7;85.7;126.5;139.3;147.9;110.8;185.2;150.3;193.2;173.1;212;174.2;244.6;229.2;117.2;16;149.7
51396;121;215.5;170.2;103.7;80.3;133;152.6;175.4;153.7;138.8;206;150;91.1;134;202.3;144.7;199.2;164.4;197.8;165.5;156.3;184.3;121;161.2;136.8;153.3;141.8;188;131;179.9;210.1;200.6;148.1;242;275.9;90.7;19.8;157.8
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;96.2;200.3;210.2;74.2;96.2;123.5;149.7;134.1;164;85.4;197.4;164;90.9;86.2;148.1;142.3;176.3;190.5;180.5;146.4;181.6;167.8;113.3;107.8;119.5;132.8;121.7;217.6;118;182.3;213.5;214.9;158.3;222.3;238.7;105.2;50.5;149.2
