code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;11.6;15.9;10.2;23.7;11.5;13.3;9;25.4;14.5;10.5;20.2;12.7;8;10;28;10.6;10.3;6.7;7.2;9.5;9.4;18.3;13.1;25.4;13.8;20.7;20.2;15;8.9;8.4;36;10.3;18.8;15.6;5.8;9.6;54.3;15.5
51340;19;20.2;20.7;12.2;15.3;9.5;22.5;16.1;8.7;23.5;8.7;18.8;11.7;19.5;8.6;8;12.6;25.5;14.3;15.9;5.8;16.9;10.1;7.5;15.8;73.4;85.6;11;8.6;16.2;14.9;11.1;40.8;13.7;7.9;9;69.1;19.7
51341;16.9;24;15.7;15;12.2;8.1;15.3;14.4;8.7;15.1;7.4;16;9.6;18.3;8.4;6.7;9.3;11.4;10.7;12.4;6.2;20.4;9.5;7.5;17.3;30;27.8;11.2;6.8;13.1;13.7;11.4;42.2;17.3;10.1;11.3;71.2;15.7
51342;21.5;11;14.5;10.4;8.4;9.1;14;21.3;10.9;26.6;6.8;13.8;8.5;58.3;7.6;7.6;12.2;10.3;8.2;13;11.8;8.4;8.2;7.3;9.2;23.3;52;6;5.2;12.1;19.6;8.1;17;7.1;7.1;5.5;26;14.3
51344;18.5;25.2;21.4;15.2;16;10.4;26.8;16.3;10.4;14.9;8.7;23.1;13.8;20;10.6;7.6;10.3;11.7;13.9;16.3;7.5;24.7;13.3;8;17.2;48;53.8;16.6;8.3;17.3;16;14.6;57.1;17.7;9.6;9.9;102;20.3
51345;14.9;17.9;7.8;9.3;7.1;6.1;7.2;11.7;6.1;11;5;8.9;5.1;10.2;5.1;5.3;5.4;8.9;6;8.7;4.4;13.9;6.6;5.6;9.3;16.4;10.7;7.4;5.1;5.8;8.6;5.2;15.5;8;6.2;5.4;62.4;9.8
51346;14;9.1;10.6;8.2;6.7;6.3;10.4;11.7;5.8;15.5;6.7;7.6;5.9;11.5;5.2;5.2;7.2;9.5;8.2;8.1;4.5;7.4;6.6;5.2;8.1;26.5;19.9;8.4;5.1;10.9;19.2;6.1;17.1;7.3;5.7;6.2;48.9;10.4
51347;5.8;6.6;3.1;3.9;4.6;3.5;1.3;3.7;6.5;3.9;6.2;3.2;1.6;8.2;3.2;1.8;1.1;1.8;2.6;2.6;1.4;3.2;2.7;5;3;4.6;2.7;3.2;1;1.4;5.8;2.9;8.8;3;0.9;2.4;108.3;6.4
51348;0.7;0.3;0;0.1;0.3;0;0.2;0;0.1;0;1.2;0.1;0;0.1;0.1;0;0.5;0;0;0;0;0;0.1;0.4;0;0;0.2;0;0;0;0;0.1;1.6;0.1;0;0;31.5;1
51349;5.6;6.8;2.4;2.6;2.5;2.4;2.5;5.8;1.9;3.1;4.9;2.6;2;10.1;1.9;2.2;4.3;5.4;2.7;2.9;1.6;3.6;1.9;2;2.2;7.8;2.3;2.1;1.9;3.7;4.4;1.9;9.9;2.8;2.5;2.7;74.7;5.5
51351;4;5.5;1.7;2.8;1.9;1.7;2.6;4.7;2;2.6;1.5;2.2;1.5;6.6;1.6;2;1.8;3.2;1.8;2.1;1.2;3.4;1.6;1.4;1.4;4.3;1.4;1.7;1;1.7;2;1;6.3;2.1;1.9;1.6;58.1;3.9
51352;1.1;0.9;1.3;2.1;0.5;0.4;1.1;1;1.2;0.4;0.4;0.8;0.3;2.2;0.8;0.7;0.6;0.4;0.5;0.4;0.4;1.7;0.6;1.1;0.6;1.1;1.2;0.9;0.6;0.5;1.1;0.9;2.5;0.5;0.6;0.4;33.6;1.8
51354;10.8;14.1;7.6;9.7;10.8;6.3;3.9;7.4;8;5.5;18.8;6.4;6.4;7.2;19.2;4.1;5.8;4.2;5.1;5.3;4;7.4;10.6;10.7;7.9;8.6;10.3;5.1;4;3.7;20.6;5.2;6.9;5.1;2.6;5.9;99.3;10.4
51359;6.5;7;2.4;1.4;6;2.1;1.1;2.7;2.5;1.1;9.7;2.5;0.9;3.1;2.3;0.6;0.9;1;1.5;1;0.9;1.8;1.4;1.5;1.8;2;2;1.2;0.6;0.5;2.4;1.3;4.7;1.4;0.2;1.1;131.4;5.7
51361;9.4;11.1;10.2;8.9;6.3;5.6;9.8;10.6;6.8;9.6;6.8;8.3;4.9;10;5.3;5;7.5;4.6;5.4;6.9;5.2;6.5;6.4;5.4;7.3;14.6;31.8;4.6;3.9;5.2;15.6;5.4;10.9;5.9;5.3;4.6;44.1;9.1
51363;0.5;2.8;0.7;0.4;0.6;0.6;0.4;1;0.7;0.4;0.3;2.5;0.3;1.3;0.3;0.3;0.5;0.3;0.2;0.2;0.2;0.5;0.2;0.2;0.4;2.4;0.5;0.2;0.2;0.2;0.2;0.6;4.6;0.2;0.2;0.2;36.1;1.7
51364;2;4.2;2.3;1.3;1.5;1.3;0.9;2.2;1.2;1;1;3.3;0.9;1.4;0.9;1;2.8;1;0.7;1;0.9;1.4;0.8;0.6;0.5;1.2;4.8;0.7;0.6;0.7;0.9;0.9;3.9;0.9;0.8;0.7;48;2.7
51377;18.6;11.4;15.7;13.5;11;24.4;8.1;21.9;25;19.9;20.7;22.7;10.4;12.8;31.5;20.8;6.5;14.7;11.5;15.7;15.1;5.4;11.3;24.3;29.5;15.8;26.2;28;9.4;21.5;13.5;21.6;30.5;16.8;10.6;16.4;25.4;17.8
51380;5.3;4.4;1.2;1.7;1.4;0.9;2;2.6;3;1.9;0.9;1.4;0.9;4.3;2.5;2.2;0.7;3.2;1.8;1.4;2.3;2.9;2.3;2.7;1.2;2.1;3.1;2.3;0.9;1.6;3.7;1.5;4.3;3.4;1;1.3;34.1;3.1
51384;18.9;9.5;12.7;12.2;10.4;25.2;5.7;16.8;13.6;13.4;26.8;15;8.8;9.8;34.5;12.6;8.7;13;6;9.7;17.2;7.1;11.4;22;25.7;8.7;27.7;25.7;6.7;16;16.8;12.7;27.7;21.2;5.4;10.6;40.9;15.9
51388;15.3;12.4;20.7;12.6;15.4;17.3;16;13.6;24.5;12.9;12.3;17.4;6.8;14.1;25.4;16.8;6.9;18.7;12.3;12.8;14.9;10.7;15.1;16.5;11.7;9.3;20.5;16.1;15.2;16.2;18.3;16.7;23.2;21;12.6;20.2;27.3;15.9
51389;6.7;1.6;2.8;3.6;1.8;3;2.3;5.5;3.9;2.1;5.2;2.1;1.2;1.9;7.5;2.1;1.9;1.7;1.4;1.3;2.7;2.2;1.9;7.1;4.1;2;4.7;3.5;1.7;2.3;3;3.7;4.5;2.1;1.2;1.5;40.2;4
51392;4.3;1.8;4.1;6.7;1.7;2.7;4.4;7.4;6.7;2.6;4.4;3.4;1.5;4.1;8.4;4.3;2.3;2;2.9;2.9;4.3;3.3;3.7;8.1;10.8;3.4;6.2;4.4;4.6;4.4;5.2;7.2;4.4;6.5;3;2.7;10.3;4.6
51394;16.8;9.8;14.5;19.4;14.4;18.3;14.2;25.6;28.3;14.4;24.9;18;13.6;13.1;32;21.2;8.2;15.9;12.1;13.5;19.2;9.6;17.2;23.5;30.4;19.6;25.9;19.5;11.7;28.7;17.5;28.5;28.1;16;10.1;12.3;21;18.6
