code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;57.5;57.9;28.4;50;35.4;30.3;23.2;65.4;54.2;37.7;25;34.1;24.1;28.5;51.3;25.8;20;23.7;23.6;27.9;29.5;60.8;31.7;58.6;43.1;50.4;57.4;52.6;20.2;27.7;76.1;34.7;47.6;45.1;17.4;31.4;185.8;43.1
51340;57.5;66.6;41.2;37.5;39.1;34.6;37.8;50.1;34.4;49.8;25.9;37.9;30.8;62;25.9;23.7;47.8;42.5;51.1;39.9;18.1;57.5;38.5;25.6;26.1;88.8;116.7;34.9;19.4;41.5;46.1;29.4;58.5;43;23.3;24.2;187.3;46.4
51341;42.4;80.8;44.4;39.9;35.2;29.2;33;52.9;30;35.4;23.5;45.8;34.6;61.9;29.5;21;31.1;40.7;37.7;34.1;18.7;77.3;34.1;21.4;36.4;69.7;51.1;34.9;19.6;43.9;57;39.7;77.7;81.7;49.7;50;207.7;47.4
51342;67.8;31.5;28.5;27.2;23.9;25.2;25;49.3;30.6;35.7;15.2;26.5;19.2;67.5;21.3;20.6;33.6;20.9;25;26.4;34.5;23.9;22.2;17.9;13.6;56.6;100.9;14.6;13.4;29.2;42.6;19.6;22.7;12.9;18.2;12.5;74.2;31.1
51344;63;96.5;62;46.8;53;39;57.9;58.9;39.3;42.6;30.9;55.2;46.6;84;34.4;24.6;45.4;49.9;55.6;45.8;21.8;100;48;27.1;40.5;90.7;100.9;52.3;21.9;51.3;66.8;56.3;89.6;65.9;35.5;35.2;256.1;59.2
51345;20.6;38.7;18.8;18.4;17.5;16;15.1;28.6;17;21.9;13.8;18.4;13.5;22;12.3;11.5;13;22;16.9;19;10.9;34.9;14.8;12.7;14.7;28.7;18.1;16.5;11.2;15.3;22;13.9;23.1;25.4;18;13.5;138;21.8
51346;26.6;26.2;21.9;16.8;15.1;14.4;14.2;23.5;14.5;20.4;14.2;15.5;13.6;24.1;13;11.8;19.3;16.1;16.2;17.7;11.4;15.9;14.2;13.3;12.6;36.6;30.7;15.3;12.8;21.7;27;13.2;24.4;15.8;14.5;14.7;113.3;20.6
51347;12;11.8;9.9;7.5;9.8;7.3;2.6;8;12.1;9.9;6.7;6.4;4.2;11.4;6.9;2.7;2.4;3.8;4.2;5.3;3.5;10.5;7.8;9.9;5.6;11.7;7.1;4.7;2.2;3.2;10.8;5.5;12.7;8.5;1.8;5.8;254.8;13.8
51348;0.7;0.4;0;0.2;0.3;0.1;0.2;0.1;0.1;0;1.2;0.1;0;0.1;0.1;0;0.5;0;0;0;0;0;0.1;0.5;0.1;0;0.3;0.1;0;0.1;0.1;0.1;2.3;0.1;0;0;60.3;1.8
51349;6.6;10.1;5.1;4.8;5.5;4.5;4.3;10.1;4.4;5;7.8;4.8;4.1;12.4;4.1;4.2;7.9;10.3;5.6;5.1;3.4;7;3.6;4.2;3.9;10;3.7;3.8;3.9;8;7.5;4.1;12.2;6.3;6.2;5.9;158.5;10.2
51351;5.7;9.1;4.1;5;4.1;3.7;4;8.6;4.4;4.1;3.6;4.2;2.9;8.3;3.4;3.8;3.6;6;4;3.6;2.4;6.3;3.4;2.9;2.4;5.9;2.5;3;2;3.6;3.9;2.1;8.8;4.5;4.8;3.9;161.5;8.6
51352;1.5;1.3;2;3.4;1;0.7;1.7;2;1.8;0.8;0.7;1.1;0.5;3.3;1.2;1.4;1;0.8;0.7;0.8;0.8;2.3;1;1.6;1;1.5;2.4;1.5;1;0.9;1.7;1.6;3.4;1;1;0.8;64.4;3.1
51354;35.7;34.8;21.6;22.8;25.8;19.4;9.5;29.4;32;19.4;19.5;16.5;14.3;16.8;29.4;12.5;12.3;14.3;12;13.2;13.9;26.5;21.3;23.2;21.7;26.8;26.2;21;11.3;10.6;33.9;17.3;23;20.1;7.9;15.1;286.4;27.5
51359;10.6;7.8;4.4;3;8.9;3.5;1.7;4.7;6.4;2.7;9.8;3.5;2;4.1;3.6;1.5;1.7;2.3;1.9;1.7;1.6;4.1;3;2.7;2.4;4;3.6;2.5;1.1;1;3.9;2;9.2;2.7;0.4;1.8;304.3;11.8
51361;23.1;22.5;21.8;14.5;13.8;12.9;12;22.4;15.1;14.8;12.9;15.5;13.2;20.4;12.8;11.6;15.9;10.5;11.2;14.9;13.8;13.6;11.1;11.1;10.8;25.6;43.3;9.7;9.8;12.6;21;12.6;18.4;11;14.1;11.4;124.3;18.5
51363;1;3.2;1.1;0.6;1;0.9;0.7;1.7;1.1;0.5;0.5;2.9;0.5;1.9;0.7;0.6;0.8;0.5;0.5;0.4;0.3;1;0.3;0.3;0.7;2.9;0.7;0.3;0.3;0.4;0.4;1;5.1;0.4;0.4;0.3;99.7;3.7
51364;2.8;6.5;3.1;2.3;2.4;2.8;1.5;3.9;2.3;1.8;1.5;3.6;1.8;2.3;1.9;1.8;3.5;1.8;1.3;1.8;1.7;2.7;1.2;1;1;1.8;6.4;1.1;1;1.3;1.5;1.4;4.8;1.7;1.6;1.5;106.4;5.1
51377;67.5;36.1;71.3;44.5;26.7;56.7;21.7;100.4;55.9;34;41.1;47.3;36.4;25.3;66;50.2;17.9;42;23.9;37.9;41;18.6;38.4;52.2;84;41.7;144.6;67;31.7;62.7;83.3;97.3;81.6;44.4;35.1;38.7;83.3;52.7
51380;8.8;7.9;2.6;3.9;3.2;1.9;4.5;6.1;6.4;3.4;2.2;2.6;1.8;5;4.7;4.6;1.6;5;3.4;3.8;3.9;6.2;5.8;4.7;2.6;5;5.5;5.4;2;4.8;5.7;3.1;8;5.6;2.5;3.3;98;6.9
