code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;12.6;15.5;20.9;12.8;21.6;16.9;15.6;14.7;16.2;15.8;17.1;20.8;15.1;24.3;14.2;14.9;21.7;23.3;16.3;14.3;17.8;11.6;11.3;21.2;15.7;13.6;12.5;12.1;18.8;12.9;21.7;16.3;19.5;19;15.2;12.9;4.7;16.3
51334;10.2;8.8;17.5;13.4;17.7;11.7;18.8;13.3;14.2;12.1;25.1;12.7;11.6;19.5;20.6;17.4;19.2;17.8;19.8;17;21.8;8;10.9;15.7;12.3;13;11.4;16.9;15.7;11.2;16.6;14.6;18.1;8.5;12;10;7.4;14.7
51336;12.2;11.7;17;14.4;18.6;13.7;19.6;12.2;16.6;13;21.5;12.6;14.7;20.1;17.4;16.9;19.1;18.4;19.2;15.2;18.1;9;12.7;15.8;13.7;13.7;13.2;15.8;17.1;13.6;17.3;15.3;20.9;11.6;15.4;13.6;5.7;15.3
51337;9;7;7.1;13.6;8.6;13;12.1;9.8;12.3;12.9;12.1;11.6;11.4;12.4;18.4;11.7;10.5;9.5;12.5;8.6;13.5;8;6.7;12.7;11.9;6.6;10.7;9.4;8.5;5.6;12.7;12.2;13.7;20.5;9;7.6;7.8;10.8
51350;21.2;25.9;28.4;24.3;27.8;27.5;28.3;23.4;25.6;26.1;28.2;27.5;27.9;28.7;27.8;27.3;29.8;26.4;29.2;27.5;28.5;22.2;25.5;26.9;27.9;27;23.7;26.9;28.8;27.5;26;27.2;27.3;26.2;28.3;27.5;7.7;26.3
51366;4.1;5.1;4;5.3;4.6;5.3;6.9;3.2;8.2;7.5;6.6;11.9;9.8;6.5;4.8;4.7;9.7;6.1;4.5;9.6;3.1;9.4;3.6;4.7;10.2;6.9;5.6;4.3;5.1;3.8;2.2;6.3;5.7;7.2;4.6;6.7;4.5;6
51368;3;4;2.4;6.4;4.3;6.9;9.2;3.7;8.3;6.3;6.7;10.1;6.3;7.1;4.5;6.5;11.1;4.7;4.5;8.9;2.9;6.6;3.3;3.3;10.6;7.9;4.8;3.9;3.3;4.1;2.9;3.3;3.2;6.5;4;6.3;6.7;5.6
51369;4.7;5.2;4.9;4.8;4.1;5.6;8.1;3.2;7.4;6.7;6.3;9.1;7.7;4;6.4;3.9;9.8;4.2;4.8;8.5;3.2;7;3.5;4.4;9.6;5.3;4;3.8;4.2;2.4;3.3;3.7;4.3;5.9;3.7;6.4;8.3;5.5
51371;3.4;5;3.1;5.1;4.5;5.5;5.1;2.4;8;7;8.9;10.8;6.7;6.5;4.9;7.1;7.3;5.6;5.7;9.4;3.5;12.9;3.5;4;9.6;9.7;6.2;4.3;4.3;4;2.9;5.8;4.4;7.4;4.4;6;5.3;6
51372;4.5;5.7;5.7;5;4.1;6.4;7.4;3;8.2;8;6.2;13.5;10.2;6.8;4.7;4.2;9.5;5.2;5.8;11.3;3.9;8.1;4.1;6.5;11.2;7.9;6;4.8;4.3;4.3;2.8;6.9;6.9;8.4;6.9;7.3;5.4;6.5
