code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;12.2;12.5;4.9;10.2;6;7.8;7.3;23.9;12.9;13.7;5.8;6.4;4.6;7.9;13.8;6.9;3.9;13.4;7;7;8.8;23.2;7.7;21.2;8.1;7.7;14.4;8.7;4.5;6.6;26.3;13.8;14.4;18.1;3.5;5.3;45.4;11.5
51334;8.2;12.2;7.9;12.3;10.1;8.6;4.1;26.4;16.7;9.5;14.1;8.1;4.9;7;22;4.6;4.3;4.6;6.2;7.4;4.1;9.5;5.8;14.1;8;23.5;8.1;10.6;3.8;4.8;30.9;8.9;10.9;7.7;3.9;6.5;80.3;11.9
51336;9.2;10.9;7;16.1;7.5;9.5;6.7;20.7;11.8;8.5;11.5;9.7;4.6;6.6;15.2;7.7;4.4;5.6;5.6;6.8;5.9;14.6;5.6;20.6;9.5;14.6;10.5;11.9;5.5;5.6;25.3;12;19.1;11.4;3.7;6.3;51.3;11.3
51337;14.8;10.6;18.4;19.1;14.9;36.3;10.7;30.4;20.6;20;32.9;24.7;14.5;12.1;39.5;28.4;9.3;19.6;8;13.7;20.9;12;15.5;24.5;29.8;12;40.6;29.2;11.8;27.1;27.1;17;43.1;36.3;9.6;15.1;44.6;22
51350;3.8;2.9;0.7;1.5;1.4;0.6;1.3;3.4;2;1.7;2.2;1.6;0.5;8.5;1.5;0.8;0.3;4.1;1;1.1;0.6;1.8;2;5.7;1;3.8;1.9;1.4;0.3;0.9;1.8;2.5;9.3;1.6;0.3;0.9;66.5;3.9
51366;28.3;14.9;29.9;16.1;28.9;17.8;21.6;13.5;18.4;13;19;23.1;17.6;11.8;23.2;24.4;12.7;18.4;17.4;18.4;21.5;17.1;20.1;30.7;15;20.4;17.7;18.1;23.4;19.9;14.2;26.1;20;16.1;14.1;24.3;17.3;19.6
51368;26.1;16.1;21.5;17;21.7;17.3;16.7;12;28.1;10.5;14.9;20.1;14.7;11.9;18.4;19.1;10.7;14.3;11;18.7;17.2;15.6;21.7;23.9;13.1;18.8;17.7;16.2;16.9;17.8;13;24.4;16.3;14.8;14.1;15;15.8;17.1
51369;14.4;16;19;13.2;16.7;18.5;24.4;16.1;24.5;12.9;18.3;20.8;16.4;13.1;16.3;18.1;8.6;15.3;14.4;22.2;21.9;14.6;20.5;30.9;14;18.2;18.3;17.4;20.7;18.8;12.4;25.7;23.2;17.4;18.6;15.3;19.8;18
51371;24.6;21.3;24.5;14.2;28.4;15.4;22.4;11.3;24;13.7;14.3;20.4;12.6;13.4;23;20.5;7.5;16.9;12.5;14.1;14.7;14.6;16.4;23.2;15.3;22.2;21.9;15.1;16.2;16.1;14.8;24.2;15.6;16.2;11.9;14.6;16.1;17.4
51372;26.9;12.6;32.8;16.6;26.8;20.3;29.4;16.1;20.6;21.1;22.4;24.3;24.4;15.9;22.5;27.3;16.6;23.3;23.1;28.4;26.9;18.3;18.9;36.9;17.5;22.2;18.6;19.3;20.6;26;14.2;28.4;22.9;16;19.1;32.6;21.4;22.5
51375;16.6;21.3;30.1;16.1;17.8;15.8;16.9;18.8;29.1;12.2;13.4;20.4;14.2;10;14.8;16.8;9.5;14.9;13.4;22.6;16.8;18.4;20.5;25.1;13.8;19.6;15.1;17.4;21.1;17.1;13.6;25.5;17.1;18.2;17.1;14.3;17.8;17.7
51378;27.2;14.6;35.9;16.6;21.4;30.3;29.6;19.9;22.9;30.9;20.8;28.5;20;19;26.3;25.7;13.3;27.8;23.6;37.2;27.7;23.8;22.1;34.2;28.2;22.3;25.7;23.8;21.9;38.4;19.7;32.6;32;20.5;24.6;32.1;24.3;25.5
51382;16.1;13.3;21.8;14.4;13.4;29.8;15.5;19.8;23.4;26.8;19.5;23.6;22.2;20.5;28.2;26.2;8.5;17.5;23.8;34.2;24.4;12.3;27.7;49.6;27.7;20.6;32.1;25.9;23.4;28.8;13.8;25.7;28.4;22.3;22.2;23;26.1;23
51385;20.3;14.5;15.5;18.6;14;23.8;14.5;26.7;32.1;25.8;24.8;27.1;15.4;17.5;39.7;34.3;7.5;21.2;15.2;18.5;18.3;8.1;13.1;34.8;32.7;22.6;36.3;26;14.1;31.3;16.1;42.9;43.3;22.1;15.8;20.8;25.1;23
51386;16.2;11.5;20.4;15;11.8;25.9;12.8;27;32.7;21.8;18.8;16.6;12.5;11.8;32.5;20.5;7.6;19.1;11.3;15;17.1;12.6;14.6;22.5;22.4;10.9;30.1;23.9;13.7;22.5;28.6;17;25.8;33.9;12.6;23.6;30.5;19.5
51391;20.5;10.9;16.1;14.4;19.4;18.9;18.1;27.2;24.5;20.3;13.5;24.7;20.9;14.8;31.5;22;8.5;21.6;19.3;24.3;17.8;10;19.9;32.4;31.3;34.7;27.7;17.9;18.1;34.5;12.3;29.2;32.2;14.2;22.4;18.5;25;21.3
51393;18.3;14.9;18.5;15.4;16;22.5;17.6;21.7;23.6;22.7;16;25.5;19.1;17.8;32.4;29.2;7.2;21.3;21;32.8;17.2;9.8;19.2;38.8;30.4;31.7;31.7;23.3;18.4;26.2;11.8;33;33;18.3;22.6;22.9;25.4;22.4
51395;21.6;10.5;21.4;15.2;23.5;18.5;18.5;25.6;22.5;17.7;11.6;19.9;17.7;14;30;23.1;12.8;17;16.9;27.2;18.5;13.2;22.2;27.3;26;33;26.4;19.8;19.4;25.2;13.1;28;27.5;12.1;22.9;14.5;23.3;20.5
51396;20.6;13.5;23.6;13.8;20.1;15.6;14.6;17.8;25.1;12.7;11;16.3;16.9;11.6;16.6;15.8;11;14.5;13.5;17.7;18.1;14.8;18.8;19.9;16.5;18.4;15.6;14.7;16.8;16.1;13.5;22.5;15.1;12.9;17.5;13.4;19.8;16.4
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;15.9;13.8;32.7;16;22.5;23.1;23.9;20.1;30.8;14.8;16.9;24.5;15.2;11.3;19.7;21.7;8;16.3;17.1;22.3;22;16.4;27.7;34.5;15.9;19.7;22.5;20.3;26.8;21.3;16.3;29.6;30.8;19.4;20.2;16.4;22;20.8
