code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;33.6;29.4;10.3;30.4;16.6;13.6;16.1;38.7;34.3;25.5;13.8;15.2;11.5;13.3;24.3;15.2;8.5;19.7;15.5;19.9;19.2;37.3;26;31.8;17.6;26.5;34.6;28.5;10.1;21.5;38.7;20.5;35.6;28.2;9.7;15.3;154.7;26
51334;33.3;39.6;26.6;29.4;24.9;22.1;12.2;38.5;40.3;31;15.3;21.9;14.7;20;29.3;11.1;10.8;14.3;15.5;19.1;13.7;38.2;24.5;35.2;20.9;39.3;27;20.5;10;12;46;20.7;29.5;30.4;10.4;21.5;230.7;29.7
51336;36;38.4;18;34.8;22.2;18.7;16.7;43.1;38.7;26.4;15.9;24.8;15.1;17.9;28.5;16.1;10.6;14.3;16.2;19.2;17.8;44.3;20.3;44.5;24.2;33.5;34.9;33.2;11.6;18.6;52.1;24.3;35.5;30.1;10.7;20;194.3;30.3
51337;80.5;55.8;70.1;60;46.4;76.3;28.3;81.5;81.7;41.2;60;54.5;37.8;32.2;81.6;59.8;26.6;46.4;30.5;40.7;55.3;43.1;47;57.8;84.3;51.9;123.2;92.4;36.6;71.5;110;70.6;69.3;65;25;47.4;124.4;61.3
51350;6;5;1.6;3.5;2.7;1.1;2;5.4;4.6;2.9;2.4;2.5;1;9;2.6;1.4;0.5;4.6;1.4;2.1;1.1;4;4;7.5;1.7;5.7;3.6;3.1;0.4;1.9;3.7;3.2;12.2;3.3;0.6;1.8;194.6;8.5
51366;181.5;101.6;131.8;80.1;126.3;89.9;136.1;127.2;101.8;72.3;114.9;133.8;63.1;78;123.2;179.3;35.6;141.5;114;103.8;203.3;79.6;126.1;211.7;67.2;108;126.7;127.4;178;139.3;163.5;223.2;138.4;125.6;120.7;126.6;137.7;125.4
51368;157.4;89.8;132.7;62.4;88.3;74.9;104.7;131.6;102.1;67.6;76.2;106.5;56.8;63.3;110.9;155.2;26.4;129.4;108.9;114.2;172.5;79.8;117.1;178;67.3;110.2;127.7;123.7;159.6;128.8;139.5;207.1;135.7;122.4;102.1;101.4;120.3;112.2
51369;125.4;110.1;121.1;83.4;105;95.7;100.2;147.1;110.4;86.6;117.9;117;71.4;81;112.7;152.5;22.7;116;118;107.9;180.5;91.9;124;190.1;72.3;117.5;159.3;136.5;175.5;138.5;133.3;236.3;187.7;134.6;155.2;99.2;149.9;123.9
51371;141.2;104.3;125.6;61.4;113.2;71.9;121.4;112.9;113.8;78.4;81;101.2;50.7;59.3;107.9;164.7;28.7;132.2;99.5;88;155;69.6;107;174.1;62.7;92.7;118.3;112.6;148.6;122.9;146.9;189.4;124.5;113.3;89.7;104.8;129.5;108.6
51372;177.9;105.2;143.4;84.9;126.6;97;128.6;128.5;106.8;90.4;119.3;139.2;73.9;92;149.2;158.5;36.4;128.2;105.9;105.3;177.7;74.1;121.1;190;69.8;107.1;135.5;115.1;166.2;134.9;159.5;207.8;148.8;118.8;132.2;125;138.4;124.8
51375;118.6;130.4;133.2;89.4;108.7;107.2;110.2;192.6;129.6;102.4;114;127.2;90.6;94;144.7;176.3;30.9;132.6;146.1;130.1;194.8;118.1;128.4;194.1;88.9;170.4;180.1;165.9;205.3;161.3;138.3;246.3;195.6;146.9;180.6;98.8;150.3;139.8
51378;148.4;106.9;129.4;78.1;108.9;96.1;109.4;103;115.6;83;97.3;120.7;74.7;81.2;148.6;136.3;41.4;113.3;84.7;84.2;129.5;55.6;91.8;145.4;72.9;86.9;132.5;99;119.6;121.9;151.5;157.6;141.9;109.4;102.5;118.1;128.5;108.8
51382;146.9;80.6;125.5;74.4;79.6;96.1;49.9;123.1;101.4;62.3;80.2;97.6;79.7;60.2;112.9;112;30.5;85.8;70.3;85.4;101.1;41.8;108.2;117.4;120;81.8;185.8;115.7;105.6;126.9;152.9;222.3;164.6;109.6;100.2;94.1;135.2;103.7
51385;102;55.7;84.7;60.5;38.2;67;36.2;131.4;80.3;54.3;50.8;66.5;57.7;38.3;89;74.9;21.7;60.7;42.2;64;61.6;30.8;50.6;80.1;100.8;86.8;205.8;87.6;50.5;84.8;105.9;150.1;126.7;57;59.3;53.9;94.5;74.7
