code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;24.6;24.5;24.9;25.5;25;24.8;24.8;25;25.3;24.2;23.1;24.9;25.4;25.5;25.3;25;25.2;24.2;25.5;24.5;23.2;24.9;25.5;25.5;25.1;25;25.3;24.2;25.4;24.5;24.7;26.1;25.2;24.3;24.9
51340;31.7;31.3;31.4;32.4;32.1;31.4;31.5;32.3;31.7;31.3;30.7;32.7;32.2;32.5;32;32;31.5;31.7;31.7;31;30.8;32.7;32.3;32.5;31.8;31.9;31.5;31.7;31.5;31;32.3;33.1;33;31.8;31.9
51341;30.6;30.2;30.3;31.4;30.8;30.4;30.7;31.2;30.7;30.4;30.1;31.6;31;31.3;30.8;31;30.2;30.6;30.7;29.9;30.2;31.5;31;31.3;30.6;30.9;30.3;30.6;30.6;29.9;31.5;31.7;31.5;30.9;30.8
51342;32;31.5;31.6;32.5;32.4;31.5;31.3;32.6;32;31.3;30.7;32.6;32.4;32.7;32.2;32.1;32.1;31.7;32.1;31.6;30.8;32.6;32.5;32.7;32.1;32;32.2;31.7;32;31.6;32.3;33.7;33.5;32;32.1
51344;30.9;30.5;30.5;31.6;31.2;30.7;30.8;31.5;30.8;30.7;30.3;32.2;31.2;31.6;31.1;31.2;30.6;30.9;30.8;30.1;30.3;32.1;31.3;31.6;30.9;31.1;30.6;30.9;30.7;30.1;31.7;32;32;31.3;31.1
51345;29.5;29.2;29.4;30.4;29.9;29.5;29.6;30.2;29.7;29.3;28.5;30.7;30.1;30.5;30;30;29.3;29.6;29.5;28.7;28.6;30.7;30.1;30.5;29.8;29.9;29.3;29.6;29.3;28.7;30.2;30.8;30.5;29.7;29.7
51346;32.4;32;32.2;33.2;32.9;32.2;32.1;33;32.7;31.9;31;33.1;33;33.4;32.9;32.7;32.6;32.2;32.6;32.1;31;33;33.1;33.4;32.8;32.6;32.6;32.2;32.5;32.1;32.8;33.9;33.8;32.2;32.6
51347;25.8;25.6;26;26.7;26.2;25.9;26;26.1;26.5;25.4;24.3;26.1;26.6;26.6;26.4;26.1;26.4;25.4;26.6;25.6;24.4;26.1;26.7;26.6;26.3;26;26.5;25.4;26.4;25.6;25.8;27.2;26.4;25.4;26
51348;30.9;30.6;30.7;31.6;31.2;30.6;30.7;31.3;31.2;30.3;29.1;31.1;31.4;31.4;31.6;31;31.3;29.8;31.7;31.1;29.1;31.1;31.5;31.4;31.5;30.9;31.4;29.8;31.6;31.1;30.8;32.3;31.5;29.6;31
51349;30.3;29.9;30.2;31.2;30.7;30.2;30.3;30.8;30.7;29.8;28.8;30.9;31;31.2;30.9;30.6;30.6;30.1;30.6;30;28.8;30.9;31;31.2;30.8;30.5;30.6;30.1;30.5;29.9;30.5;31.7;31.2;30;30.5
51351;28.3;28;28.4;29.3;28.8;28.4;28.5;28.9;28.8;27.9;27;29.2;29;29.4;29.1;28.8;28.5;28.2;28.6;27.9;27;29.1;29.1;29.4;28.9;28.8;28.5;28.2;28.5;27.9;28.7;29.7;29;28.2;28.6
51352;30.5;30.4;30.4;31;30.6;29.8;30;30.5;30.6;29.7;28.9;30.8;31;30.6;31.2;30.5;30.6;28.7;31.7;30.9;29;30.8;31;30.6;31.1;30.4;30.6;28.7;31.6;30.9;30.1;31.8;30.2;28.6;30.4
51354;26.8;26.6;27;27.7;27.2;26.9;26.9;27.2;27.5;26.4;25.3;27.1;27.6;27.5;27.5;27.1;27.5;26.2;27.7;26.8;25.3;27;27.6;27.5;27.4;27;27.5;26.2;27.6;26.8;26.7;28.3;27.4;26.1;27
51359;28.2;28;28.3;29.2;28.7;28.3;28.3;28.7;28.9;27.8;26.7;28.6;29.1;29.1;28.9;28.5;28.9;27.8;29;28.1;26.7;28.6;29.1;29.1;28.8;28.5;28.9;27.8;28.8;28.1;28.3;29.7;29.1;27.8;28.5
51361;33.3;32.8;32.9;33.9;33.7;32.9;32.8;33.9;33.5;32.6;31.6;33.7;33.8;34.1;33.8;33.3;33.6;32.7;33.6;33.2;31.7;33.7;33.8;34.1;33.6;33.2;33.7;32.7;33.5;33.2;33.5;34.8;34.7;32.7;33.4
51363;32.9;32.4;32.3;33.1;32.9;31.7;31.9;33.2;32.6;31.8;30.9;32.7;33.3;32.8;33.1;31.9;32.2;30.9;33.8;33.5;30.9;32.8;33.3;32.8;33;31.8;32.3;30.9;33.6;33.5;32.8;33.9;33.1;31.2;32.5
51364;33;32.7;32.6;33.4;33.2;32.3;32.3;33.5;32.9;32.2;31;33.2;33.3;33.3;33.5;32.6;33;31.5;33.8;33.4;31;33.2;33.4;33.3;33.4;32.6;33.1;31.5;33.6;33.4;33;34.4;33.6;31.4;32.9
51377;26.2;26.6;26.7;26.9;26.4;26.3;26.4;26.5;27;25.7;25;26.2;26.9;27.1;26.7;26.9;26.7;25;27.6;26.2;25.1;26.3;26.9;27.1;26.5;26.8;26.8;25;27.5;26.2;26.1;27.7;26.3;25.6;26.4
51380;27.1;26.9;27.3;28;27.4;27.3;27.4;27.6;27.6;26.7;25.7;27.9;27.7;28.2;27.8;27.7;27.2;26.9;27.6;26.6;25.8;27.8;27.8;28.2;27.7;27.6;27.3;26.9;27.4;26.6;27.5;28.5;27.5;27;27.4
51384;24.9;25.1;25.3;25.7;25.2;25.2;25.1;25.2;25.8;24.5;23.5;25;25.7;25.7;25.5;25.5;25.5;24;26.1;24.9;23.5;25;25.7;25.7;25.3;25.4;25.6;24;26;24.9;24.8;26.5;25.3;24.3;25.2
51388;24.6;24.8;25.1;25.5;24.7;24.8;24.9;25;25.2;24.2;23.4;25;25.3;25.7;25.2;25.3;24.9;24.2;25.5;24.2;23.5;24.9;25.3;25.7;25;25.2;24.9;24.2;25.4;24.2;25;26;24.8;24.4;24.9
51389;28;28;28.2;28.7;28.3;27.8;28;28.2;28.6;27.4;26.5;28.2;28.6;28.5;28.7;28.4;28.6;26.7;29.2;28.1;26.6;28.2;28.7;28.5;28.5;28.3;28.6;26.7;29.1;28.1;27.7;29.5;28.1;26.8;28.1
51392;32.8;32.8;32.9;33.2;32.7;31.8;32.4;32.5;32.8;31.8;31.8;32.9;33.2;33.2;33.1;33;33.1;30.9;34.1;33;31.9;32.9;33.2;33.2;32.9;33;33.1;30.9;34;33;32.3;34.1;32.2;31.3;32.7
51394;29.1;29.4;29.5;29.6;29.2;28.7;29.1;29.2;29.6;28.4;28.1;29.1;29.6;29.9;29.5;29.7;29.6;27.5;30.5;29.2;28.2;29.2;29.7;29.9;29.3;29.6;29.6;27.5;30.5;29.2;28.8;30.5;28.9;28.2;29.2
