code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;586.5;546.2;558.1;603;586.6;555.1;564.6;595.5;572.1;538.8;543.2;568.8;583.8;578.5;582.6;577.7;581.9;559.4;593.8;564.8;586.8;556.3;571.2;591.4;571.9;591.5;566.9;579.6;562;602.8;587.1;597.6;577.7;568.8;575.1
51340;836.8;806.5;795.9;841.8;826.5;815.6;809.1;839.3;814.7;800.7;802.4;845.2;831.6;837.8;828.5;829.8;816.1;821.9;828.3;801;824.4;827.6;822.5;845.6;827.4;813.4;816.4;845.5;812.2;842.9;837.2;845.3;842.3;831.4;825.4
51341;809.7;785.7;776.1;819.4;797.9;792.1;791.8;819.3;796.2;780.5;789.8;819.4;808.8;812.2;802.5;807.2;788.3;803.3;807.7;779.5;800.6;805.9;799.4;827.7;801.5;804.5;795.7;819.8;785.3;816.7;820.6;817.5;812.5;808.7;803.1
51342;855.3;832.8;825.7;588.1;789;840.9;834.2;769.1;845.3;833.7;827.7;866.8;741.5;810.8;844.4;828.6;856;845.4;844.2;837.7;851.1;856.8;853.4;658.6;844.1;768.7;846.8;708.2;840.2;708.7;859.1;781.7;772.3;796.2;807.7
51344;844.5;821.4;806;849.5;832.8;827.6;819.3;855.5;823.5;813;819.5;860.6;841.8;844.5;835.8;839.8;821.2;836.5;838.1;809.3;833.2;838.9;831.3;863.5;836.2;825.1;826.5;851.1;821.3;854.3;852.1;850.6;852;843.2;835.9
51345;767.4;738.3;731.8;783.6;757.7;749.4;747.8;776.2;745.7;727.1;734.7;776.8;765.7;768.3;761.5;763.1;745.4;756.8;762;730.1;757;756.5;757.7;788.2;756.2;776.3;746.9;776.2;739.7;781.8;771.3;774.2;771.3;762.5;759
51346;841.3;814.9;811;664;799.1;827.3;822.9;778.9;832.1;809.6;807.7;848.3;780.7;815.2;824.2;831;840.2;828.9;833.2;817.3;829.6;839;832.7;743.3;835.5;778.4;832.3;785.7;824.8;740.7;845.1;796.7;843.5;836.1;811.5
51347;636.6;592.8;604;654.4;636.2;605.8;611.2;644.1;621.1;586.8;591.4;619.6;634.4;628.5;632.5;625.1;632.6;609.4;640.8;614;634.3;608.2;620.4;641.7;621.1;640.1;616.3;630.4;610.2;652.1;635.1;647.3;628.4;617.9;624.3
51348;805.1;759;771.2;763;790.4;774.8;777.5;780;785.9;762.5;760.3;794.2;782.7;793.6;794.2;792.7;803.3;773.9;803.4;791.1;798;783.1;782.8;773.7;791.9;784.6;785.9;781.1;778;784;801.1;793.1;797.8;774;784.3
51349;782.3;741.4;743.9;801.5;777.3;754.8;754.9;788.1;762.1;731.9;736;773.1;780;778.9;777.1;770.8;769.7;758.2;777.1;752.1;772.9;761;767.1;794;767.4;787.5;760.1;786;752.3;796.6;776.9;790.9;781.7;767.7;769.8
51351;712.7;677.6;680.8;734.3;706.3;688.3;692.1;722;694;663.4;672.2;709;711.2;711.6;709.6;705.8;698;695.3;712.1;682.6;705;692;703.6;729.8;699.6;721.1;691.8;716.8;683.7;730;713.2;721.3;711.2;702.8;703
51352;800.8;750;764.9;811.5;801.7;745.8;761.7;784.8;765;746.5;752.1;782.8;791.8;778.2;793.3;785.9;784.2;752.1;794.3;783.7;804.1;761.3;771.3;784;777.8;779.5;767.7;793.8;756;803.5;792.2;812.8;777.5;754.4;778.4
51354;678.3;629.6;641.8;695.2;679.2;643.9;649.6;681.1;660.7;627;629.7;659.1;673.8;666.3;674.4;665.5;673.1;645.1;680.1;656.2;675.8;647.7;655.1;676.2;660.4;682;654.9;671.7;649;692;673.6;688.7;668.5;651.5;663.4
51359;721.1;674.4;683.3;738.7;719.8;689.2;691.7;725.5;702.5;669.5;671.9;703.3;717.8;712.5;715.8;707.1;714.9;690.6;719.5;696.1;715.7;693.7;701.3;725;704.1;724.1;698.7;717.6;691.7;734.5;714.7;730.8;714.6;699.1;706.8
51361;646.4;839.2;836;318.2;618.8;844.6;814.2;627.9;788.5;824.9;833.2;811.9;603.9;665.6;694.5;736.3;817.9;835.1;774.6;799.9;739.6;806.4;768;469;774.7;535.8;836.1;443.4;827.6;483.8;816.1;516.5;613.9;785.5;710.2
51363;692.7;785.6;805.4;677.4;724.2;786.5;796.3;667.3;771.1;790.6;784.5;787.2;728;802;726.5;779.1;790.5;791.6;780.5;760.7;697;793.9;740.9;709.5;789.5;662.6;807.9;717.8;779.8;703.7;814.9;650.8;807.1;790.8;755.7
51364;622.6;806.3;810.5;533.3;660.6;808.8;777.4;616.5;769.6;799.3;807.3;767.4;658.3;739.2;677;755.6;771.2;801.6;776.6;772.6;681.1;786.8;736;605;747.1;539.9;805.1;592.9;775.3;579;789.2;558.9;701.1;805.2;718.7
51377;629;595.7;610.5;643.9;635.3;590.7;610.8;635.2;619.2;586.2;592.4;612.3;624.9;623.5;627.4;630.1;622.8;593.6;650.3;613;636.1;595.2;612.3;623.4;616.2;641;609.2;625.4;607.6;643.2;636;645.4;620.5;610.6;619.7
