code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;20.1;19;19.3;20.6;20;19.1;19.5;20.5;19.6;18.6;18.8;19.6;20;19.9;20;19.9;19.8;19.3;20.4;19.3;20.1;19.1;19.7;20.5;19.6;20.4;19.5;19.9;19.3;20.7;20.2;20.4;19.8;19.7;19.8
51334;21.2;19.8;20.1;21.8;21.2;20.2;20.4;21.5;20.7;19.6;19.7;20.7;21.1;21;21.1;20.8;21.1;20.3;21.4;20.5;21.1;20.3;20.7;21.4;20.7;21.3;20.5;21;20.3;21.7;21.2;21.6;20.9;20.6;20.8
51336;19.9;18.6;19;20.5;19.9;18.9;19.2;20.2;19.5;18.3;18.5;19.4;19.9;19.7;19.8;19.6;19.8;19;20.2;19.2;19.9;19;19.4;20.1;19.5;20.1;19.3;19.7;19.1;20.5;19.9;20.3;19.7;19.4;19.6
51337;16.6;15.5;15.9;17.1;16.6;15.5;16.1;17;16.2;15.1;15.3;16;16.5;16.4;16.5;16.5;16.4;15.7;17;15.9;16.8;15.5;16.2;16.8;16.2;16.9;16;16.3;15.9;17.2;16.8;17;16.3;16.1;16.3
51350;22.1;20.8;21.1;22.8;22;21.2;21.4;22.4;21.6;20.4;20.7;21.7;22.1;22;22;21.8;21.8;21.4;22.2;21.3;22;21.3;21.7;22.5;21.6;22.3;21.4;22;21.2;22.7;22.1;22.4;21.9;21.6;21.8
51366;22.5;21.9;22.4;23;22.6;21.2;22.1;22.8;22.3;21.5;21.6;21.9;22.3;22.5;22.4;22.7;22.1;21.7;23.4;21.9;22.8;21.6;22.4;22.8;22.2;23;22.1;22.5;22.2;22.7;23;23;22.4;22.2;22.3
51368;22.5;21.9;22.4;23;22.6;21.2;22.1;22.8;22.3;21.5;21.6;21.9;22.3;22.5;22.4;22.7;22.1;21.7;23.4;21.9;22.8;21.6;22.4;22.8;22.2;23;22.1;22.5;22.2;22.7;23;23;22.4;22.2;22.3
51369;20.9;20.3;20.7;21.4;21;19.6;20.5;21.2;20.6;19.9;20;20.3;20.8;20.9;20.8;21.1;20.5;20;21.7;20.3;21.2;20;20.7;21.2;20.6;21.4;20.5;20.9;20.5;21.2;21.3;21.4;20.8;20.6;20.7
51371;22.3;21.7;22.1;22.8;22.3;20.9;21.9;22.5;22;21.3;21.4;21.6;22.1;22.3;22.2;22.5;21.8;21.5;23.1;21.6;22.5;21.4;22.1;22.6;21.9;22.8;21.9;22.2;21.9;22.4;22.7;22.7;22.1;22;22.1
51372;17.6;16.8;17.2;18;17.6;16.4;17.2;18;17.3;16.4;16.5;16.9;17.4;17.5;17.5;17.7;17.3;16.7;18.2;16.9;17.8;16.5;17.3;17.8;17.2;18;17.1;17.4;17.1;18;17.9;18;17.3;17.2;17.3
51375;22.3;21.6;22.1;22.7;22.5;20.9;21.9;22.5;22.1;21.2;21.4;21.7;22.1;22.3;22.2;22.5;21.8;21.3;23.3;21.7;22.5;21.3;22;22.4;22;22.8;21.8;22.4;21.9;22.4;22.7;22.9;22.2;22;22.1
51378;17.5;16.6;17.1;17.9;17.5;16.3;17.1;17.9;17.1;16.2;16.4;16.8;17.3;17.3;17.4;17.5;17.2;16.6;18.1;16.8;17.7;16.4;17.2;17.7;17.1;17.9;17;17.3;17;17.9;17.8;17.9;17.2;17.1;17.2
51382;17.7;16.9;17.3;18.2;17.8;16.5;17.3;18.1;17.4;16.5;16.6;17.1;17.6;17.6;17.6;17.8;17.4;16.8;18.4;17.1;18;16.6;17.4;17.9;17.3;18.1;17.2;17.5;17.2;18.1;18;18.2;17.5;17.3;17.5
51385;21.6;20.6;21.1;22.1;21.8;20.2;21;21.8;21.3;20.2;20.5;21.1;21.5;21.5;21.5;21.7;21.4;20.4;22.4;21.1;21.9;20.5;21.1;21.4;21.2;22.1;21;21.5;20.9;22;21.9;22.2;21.3;21;21.3
51386;16.6;15.6;16;17.1;16.7;15.5;16.2;17;16.2;15.2;15.4;16;16.5;16.4;16.5;16.6;16.4;15.8;17.1;16;16.8;15.5;16.2;16.8;16.2;16.9;16.1;16.4;16;17.2;16.8;17.1;16.3;16.2;16.3
51391;23.1;22.1;22.6;23.6;23.3;21.5;22.4;23.1;22.7;21.8;22.1;22.7;22.9;23;23;23.3;22.8;21.7;24;22.6;23.4;22;22.6;22.7;22.7;23.6;22.4;23.1;22.3;23.3;23.4;23.6;22.8;22.5;22.8
51393;19.9;19;19.5;20.4;20.1;18.7;19.4;20.2;19.7;18.6;18.8;19.3;19.8;19.8;19.9;20;19.7;18.8;20.8;19.4;20.2;18.8;19.5;19.8;19.5;20.4;19.3;19.9;19.4;20.3;20.2;20.5;19.7;19.5;19.7
51395;22;21.3;21.7;22.4;22.2;20.6;21.5;22.2;21.8;20.9;21.1;21.5;21.9;22;21.9;22.2;21.6;20.9;23;21.5;22.3;21;21.7;21.9;21.7;22.6;21.5;22.1;21.5;22.2;22.4;22.6;21.8;21.7;21.8
51396;22.2;21.5;22;22.6;22.4;20.9;21.7;22.5;22;21.1;21.4;21.7;22.1;22.2;22.1;22.5;21.8;21.1;23.3;21.7;22.5;21.2;21.9;22.2;21.9;22.8;21.7;22.3;21.8;22.3;22.7;22.8;22.1;21.9;22
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;22.2;21.5;22;22.6;22.4;20.8;21.7;22.4;22;21.1;21.3;21.6;22;22.2;22.1;22.4;21.8;21.1;23.2;21.7;22.4;21.2;21.9;22.2;21.9;22.7;21.7;22.3;21.8;22.3;22.6;22.8;22.1;21.9;22
68769;19.8;18.9;19.4;20.3;20.1;18.6;19.4;20.1;19.6;18.5;18.7;19.3;19.7;19.7;19.8;20;19.6;18.7;20.7;19.3;20.1;18.8;19.4;19.8;19.5;20.3;19.3;19.8;19.3;20.3;20.2;20.4;19.6;19.4;19.6
