code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;602.1;569.2;579.4;619.4;599.9;572.8;586.4;613.9;587.6;557.2;563.5;588.5;599.1;597.2;598.5;597.6;593.8;580.2;610.9;578.5;603.5;573.4;592.1;613.8;589.5;610.6;583.9;597.5;578.6;619.9;606.1;612.8;594.2;589.7;593
51334;636.6;592.8;604;654.4;636.2;605.8;611.2;644.1;621.1;586.8;591.4;619.6;634.4;628.5;632.5;625.1;632.6;609.4;640.8;614;634.3;608.2;620.4;641.7;621.1;640.1;616.3;630.4;610.2;652.1;635.1;647.3;628.4;617.9;624.3
51336;598.3;557.3;569;615.2;598.2;567.2;575.6;607.1;583.7;550.1;554.6;580.9;595.8;590.5;594.4;588.9;593.9;571.4;604.8;576.4;598;568.6;583;603.6;583.6;602.9;578.7;591.7;573.4;614.4;598.5;609.4;589.8;580.6;586.7
51337;498.2;464.8;477.8;512.5;499.4;465.9;482.9;510.2;486.1;454.3;458.6;479.5;494.7;490.9;494.8;494.6;492.7;471.6;511.5;478.2;503.3;464.9;485;503.1;485.4;506;480.1;490.3;477.5;516.1;502.9;510.5;488.8;483;488.7
51350;663.5;624.1;632.3;683.5;660.2;635.7;640.9;672.6;646.9;613.5;620.6;652;661.8;658.8;660;654.1;655.2;641.3;666.3;638;659.2;638;651.6;674.9;649.2;669.1;643.3;661.4;636.2;680.2;663.3;673.2;657.7;649.2;652.6
51366;675.7;657.9;670.7;689.5;677.6;634.6;664.3;683.6;667.6;646.3;648.8;655.7;670;675.7;671.7;682.3;661.6;649.8;701.1;656.5;682.5;648.5;670.6;684.1;665.6;691.4;664;674.8;665.8;680.3;689;690.6;671.4;666.3;670.2
51368;675.7;657.9;670.7;689.5;677.6;634.6;664.3;683.6;667.6;646.3;648.8;655.7;670;675.7;671.7;682.3;661.6;649.8;701.1;656.5;682.5;648.5;670.6;684.1;665.6;691.4;664;674.8;665.8;680.3;689;690.6;671.4;666.3;670.2
51369;627.9;607.6;620.7;641.4;630.3;588.5;616.3;636.9;619.5;595.9;599;608.4;622.7;626.7;624.2;633.3;615.5;601.3;652.1;609.1;635;599.1;621.2;635;617.6;642.5;614.9;626.1;616.1;635.2;640.1;642.9;622.7;617.8;621.9
51371;668.4;650.9;663;683;668.8;627.9;657.8;676.2;660;639.2;642.2;649.3;662.7;668.4;664.6;674.9;654.6;644.4;691.7;647.9;675;642.6;664.2;678.6;658.4;684.7;657.2;667.3;658;673.4;681.7;682.1;663.7;659.7;663
51372;527.4;502.9;516.1;540.7;529.1;491.3;516;538.8;517.6;490.9;494.2;507.9;522.7;523.5;523.8;529.9;517.8;501.6;547.5;508.2;534.8;495.6;518.6;534.5;516.4;539.4;512.6;522.1;512.5;540.3;537.1;541.1;520.1;515.5;520.3
51375;668.2;648.9;663;680.8;673.6;628.2;655.6;676.3;662.1;637.1;642.6;651.2;664;669.3;665;675.7;655.5;637.8;698.1;652.2;676.2;640.3;661.1;670.7;659;685;654.4;671.2;656.9;672.4;682.1;686.5;664.6;660.2;663.1
51378;524.1;499.4;512.6;537.4;525.8;488.1;512.7;535.6;514.2;487.4;490.7;504.5;519.4;520.1;520.5;526.4;514.6;498.3;544;504.9;531.4;492.2;515.1;531.1;513.1;536;509.2;518.7;509;537.2;533.7;537.7;516.7;512.1;516.9
51382;531.4;506.3;519.7;544.7;533.6;495.3;519.6;542.6;521.7;494.5;498;512.1;526.8;527.5;528;533.8;522;504.9;551.8;512.5;538.8;499.4;522;537.4;520.4;543.4;516.2;526.3;516.1;544.4;541;545.4;524.1;519.3;524.2
51385;647.9;617.7;632.6;663;655.1;606.9;630.2;653.1;638.6;607;614.6;633.1;643.8;644.8;646.3;651.8;641.2;610.5;673.2;633.2;656.3;614.5;633;641.2;635.9;662;628.7;646.5;626.8;660.1;657.1;665.1;639.6;630.9;639.5
51386;499.2;467.4;480.4;513.3;500.3;466.3;484.6;511.2;487.4;456.6;460.7;480.3;495.5;492.5;495.7;496.6;492.9;472.8;513.5;479.3;504.7;466.2;486.8;504.7;486.7;507.7;481.7;491.7;479.5;516.2;504.8;511.6;490.1;484.7;490.1
51391;691.7;664.4;679;707.5;699.2;645.9;672.6;694.4;682.1;652.9;662.7;679.6;687.8;691.3;689.6;698.2;684.6;650.9;721.4;678.2;700.5;660.1;678.5;682.5;679.7;708;672.8;693.2;668.9;699.8;702.7;709.3;682.8;675.4;683.8
51393;597.6;569.2;584;611.1;604.2;560.7;582.6;606.2;590.1;558.4;564.3;580.5;593.8;594.2;595.8;601.1;589.8;564.5;622.5;582;605.6;564.9;584.1;594.8;586.5;611;579.8;595.8;580.6;610.1;607.3;615.4;591.2;583.8;590.1
51395;659.8;637.8;652.4;672.8;666.7;619.1;645.4;667;653.6;626;633.4;644.7;656.2;660.6;657.2;667.1;649.1;625.6;690.9;645.4;668.3;630.6;650.5;657.6;650;676.5;644;663.3;645.2;665.3;673;678.9;655;650.2;654.1
51396;665.7;645.7;660.3;677.8;672.5;626;652.5;673.8;660.5;633.8;640.6;649.9;662.1;667.1;662.8;673.5;653.5;633.3;697.5;651;674;637.5;657.8;665.6;656.7;682.8;650.9;670.3;653.7;669.6;679.7;685.3;662.2;658.2;660.7
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;665.1;645.1;659.7;677.1;671.9;625.4;651.9;673.2;659.8;633.2;639.9;649.3;661.4;666.5;662.2;672.9;652.9;632.7;696.9;650.4;673.4;636.8;657.1;665;656.1;682.2;650.3;669.6;653.1;669.1;679.1;684.7;661.7;657.6;660.1
68769;595.4;567.1;581.9;608.8;601.9;558.6;580.6;604.1;588;556.2;562.1;578.1;591.5;591.9;593.6;598.8;587.4;562.5;620.3;579.7;603.3;562.7;582;592.7;584.3;608.8;577.6;593.6;578.6;607.9;605.1;613.2;589.1;581.8;587.9
