code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;22.3;22.3;22.8;23.1;22.5;22.1;21.6;22.6;23;22.2;21.3;21.9;21.1;22.4;21.7;22.5;22.3;23.4;21.8;22.5;21.4;21.8;21;22.4;21.8;22.5;22.2;23.4;21.9;22.5;22.2;22.2;22.9;21.5;22.2
51340;28.6;28.8;28.3;29.1;28.3;28.8;28.1;28.9;29.3;28.4;28.5;28.1;28.2;28.3;28.4;28.7;28.6;29.4;29.1;28.4;28.6;28.1;28.2;28.3;28.5;28.7;28.6;29.4;29.1;28.4;28.9;29.5;29.5;28.7;28.7
51341;27.8;27.9;27.9;28.2;27.4;28;27.3;28.3;28.5;27.6;27.7;27.5;27.5;27.4;27.8;28;27.9;28.5;28.5;27.5;27.7;27.5;27.5;27.4;27.9;28;27.9;28.5;28.4;27.5;28.1;28.7;28.9;28.2;27.9
51342;29;29;27.9;29.3;28.3;28.9;28.3;29.1;29.5;28.5;28.9;28.2;28.3;28.5;28.2;28.7;28.7;29.7;29.3;28.8;29;28.2;28.3;28.5;28.3;28.7;28.7;29.7;29.2;28.8;29;29.8;29.9;29.1;28.8
51344;27.6;27.8;27.7;28.1;27.2;27.8;27.2;28.1;28.3;27.4;27.5;27.3;27.3;27.2;27.6;27.6;27.6;28.2;28.3;27.2;27.6;27.2;27.3;27.2;27.7;27.6;27.6;28.2;28.3;27.2;28.1;28.7;28.6;28;27.7
51345;26.6;26.9;27.1;27.4;26.6;26.9;26.2;27.3;27.5;26.7;26.4;26.4;26.4;26.6;26.8;27.1;27;27.6;27.2;26.4;26.5;26.4;26.4;26.6;26.9;27.1;26.9;27.6;27.2;26.4;27.1;27.5;27.7;26.9;26.9
51346;29.4;29.6;28.7;29.9;29.1;29.4;28.9;29.6;30.2;29.1;29.1;28.7;28.8;29.1;29;29.4;29.4;30.3;29.6;29.5;29.2;28.7;28.7;29.1;29.1;29.4;29.3;30.3;29.7;29.5;29.4;30.1;30.3;29.3;29.4
51347;23.2;23.3;23.5;24;23.4;23;22.5;23.5;24;23.1;22.2;22.7;22;23.3;22.6;23.3;23.2;24.4;22.7;23.5;22.3;22.5;21.9;23.3;22.7;23.3;23.1;24.4;22.8;23.5;23.1;23.2;23.9;22.4;23.1
51348;28.8;28.8;28.1;29.2;28.6;28.3;28;28.8;29.4;28.2;28;27.7;27.6;28.5;27.9;28.5;28.4;29.6;28.4;28.9;28.1;27.7;27.6;28.5;28;28.6;28.4;29.6;28.5;28.9;28.5;29;29.5;28;28.5
51349;27.2;27.4;27.3;28;27.3;27.3;26.7;27.7;28.2;27.2;26.7;26.8;26.5;27.2;27;27.6;27.4;28.4;27.3;27.5;26.8;26.7;26.5;27.2;27.1;27.6;27.4;28.4;27.3;27.4;27.3;27.7;28.2;26.9;27.3
51351;25.4;25.7;26.1;26.4;25.7;25.6;25;26.1;26.4;25.6;24.9;25.3;24.9;25.6;25.4;26.1;25.9;26.7;25.5;25.5;25;25.2;24.8;25.6;25.5;26.1;25.8;26.7;25.5;25.5;25.7;25.9;26.4;25.3;25.7
