code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;16.7;16.7;16.5;17;16.3;16.2;16.6;16.8;16.7;15.8;16.1;16.1;15.8;16.6;16.4;16.7;16.5;17.5;16.4;16.9;16.9;17;16.2;16.6;16.9;16.6;17.3;16.8;17;17.3;17;16.9;17;16.3;16.6
51340;24.2;24.7;24.3;24.9;23.7;24.5;24.2;24.4;25;24;24.4;24;24;24.4;24.6;24.6;24.3;25.3;24.9;24.2;24.4;24.9;24.1;24.4;24.6;24.5;25.1;25;24.8;24.9;24.8;25.3;25.1;24.6;24.6
51341;23.3;23.8;23.5;23.8;22.8;23.6;23.5;23.7;24.1;23.1;23.5;23.3;23.2;23.3;23.8;23.9;23.5;24.3;24.2;23.3;23.6;24.1;23.5;23.6;23.8;23.8;24.2;24.2;23.9;24;23.9;24.3;24.3;23.8;23.7
51342;25.5;25.8;25.2;26;24.9;25.5;25.2;25.3;26.1;25.1;25.6;25.1;25.1;25.4;25.3;25.6;25.3;26.3;25.7;25.3;25.5;25.7;25;25.5;25.7;25.5;26.1;26.1;25.8;26.1;25.7;26.4;26.3;25.8;25.6
51344;24.1;24.7;24.4;24.7;23.6;24.5;24.2;24.5;25;23.9;24.3;24;24;24.2;24.7;24.6;24.2;25.1;25.1;24;24.4;24.8;24.3;24.3;24.5;24.5;25;25;24.7;24.9;24.7;25.3;25.1;24.6;24.5
51345;21.9;22.4;22.1;22.6;21.3;22.1;22.2;22.1;22.6;21.6;21.9;21.7;21.7;22.1;22.4;22.4;22.1;23.1;22.6;21.9;22.3;22.7;21.9;22.2;22.3;22.4;22.8;22.7;22.5;22.6;22.5;23;22.8;22.2;22.3
51346;24.9;25.2;24.6;25.5;24.3;24.8;24.7;24.8;25.5;24.4;24.8;24.4;24.4;24.8;24.9;25;24.9;25.9;25.1;24.9;25;25.3;24.4;24.9;25.1;25;25.6;25.5;25.3;25.4;25.2;25.8;25.5;25.1;25
51347;18.2;18.2;17.9;18.6;17.7;17.7;18.1;18.2;18.3;17.2;17.6;17.5;17.2;18;17.9;18.1;17.9;19;17.8;18.4;18.4;18.5;17.6;18;18.4;18;18.7;18.3;18.5;18.6;18.5;18.4;18.4;17.7;18.1
51348;24.3;24.2;23.8;24.5;23.7;23.8;23.9;24;24.4;23.3;23.8;23.5;23.4;23.8;23.8;24;23.9;25;23.6;24.1;24.2;24.2;23.6;24.1;24.3;24.1;24.7;24.7;24.4;24.8;24.3;24.7;24.5;23.8;24.1
51349;22.4;22.7;22.3;23.1;21.9;22.2;22.4;22.5;22.9;21.8;22.1;21.9;21.8;22.4;22.5;22.6;22.4;23.5;22.5;22.6;22.7;23;22;22.5;22.7;22.5;23.2;22.9;22.9;22.9;22.9;23.1;22.9;22.4;22.6
51351;20.1;20.4;20.2;20.8;19.6;20;20.3;20.3;20.6;19.5;19.8;19.8;19.6;20.2;20.4;20.5;20.2;21.3;20.3;20.3;20.5;20.9;19.8;20.4;20.5;20.4;20.9;20.6;20.6;20.6;20.7;20.8;20.7;20.2;20.3
51352;24.3;24.1;24;24.3;23.9;23.7;23.9;24.2;24.1;23.6;23.9;23.7;23.6;23.8;24;24.1;23.9;24.9;23.5;23.9;24.2;24.2;23.9;24.1;24.3;24.2;24.4;24.5;24.3;25.1;24.3;24.6;24.6;23.9;24.1
51354;19.9;19.8;19.5;20.1;19.3;19.3;19.5;19.8;19.8;18.8;19.2;19.1;18.8;19.5;19.4;19.7;19.4;20.6;19.3;19.9;19.9;19.9;19.1;19.6;19.9;19.6;20.2;20;20;20.3;20;20.1;20;19.3;19.7
51359;20.8;20.9;20.5;21.3;20.3;20.4;20.7;20.8;21;19.9;20.3;20.1;19.9;20.6;20.6;20.8;20.6;21.7;20.5;21;21;21.1;20.2;20.7;21;20.7;21.4;21.1;21.1;21.3;21.1;21.2;21.1;20.5;20.8
51361;26.1;26.3;25.6;26.6;25.5;25.9;25.8;25.8;26.6;25.5;26;25.5;25.5;25.8;25.8;26;25.9;26.9;25.9;26;26.1;26.1;25.6;26.1;26.2;26.1;26.6;26.7;26.4;26.7;26.2;26.9;26.7;26.2;26.1
51363;25.3;25.1;24.9;25.5;24.5;24.6;24.9;25;25.5;24.5;25.1;24.5;24.6;24.7;24.8;24.7;25;25.9;24.4;24.9;25.1;25.1;25;25;25.6;25.2;25.5;25.4;25.4;26.1;25.3;26;26;25.2;25.1
51364;25.8;25.6;25.2;26;25.1;25.2;25.3;25.4;26;24.9;25.5;24.9;25;25.2;25.1;25.3;25.4;26.4;24.9;25.4;25.6;25.6;25.2;25.6;25.9;25.7;26.2;26.2;25.9;26.4;25.8;26.4;26.3;25.5;25.6
51377;19.1;18.9;18.7;18.8;18.8;18.5;18.8;19.2;18.7;18.4;18.5;18.6;18.3;18.8;18.6;19;18.8;19.7;18.9;18.8;18.9;19.1;18.6;18.7;19;18.8;19.3;18.8;19;19.9;19.3;19.1;19.1;18.7;18.9
51380;18.9;19.2;19;19.6;18.5;18.8;19.2;19.1;19.3;18.4;18.6;18.6;18.5;19.1;19.2;19.3;19.1;20.1;19.2;19.1;19.4;19.7;18.8;19.2;19.4;19.3;19.8;19.3;19.5;19.6;19.6;19.5;19.6;19;19.2
51384;17.4;17.3;17.1;17.4;17;16.9;17.1;17.5;17.2;16.5;16.8;16.8;16.5;17.1;17;17.3;17.1;18.1;17.1;17.4;17.3;17.5;16.8;17.1;17.4;17.2;17.8;17.3;17.5;18.1;17.6;17.5;17.5;17;17.2
51388;17.2;17.2;17.1;17.3;16.8;16.9;17.4;17.5;17.1;16.6;16.7;16.8;16.6;17.3;17.1;17.5;17.3;18.1;17.5;17.2;17.5;17.5;17.1;17.2;17.6;17.5;17.8;17.2;17.5;18.1;17.8;17.4;17.7;17.1;17.3
51389;21.6;21.4;21.2;21.5;21.2;21.1;21.2;21.6;21.4;20.7;21;20.9;20.7;21.2;21.2;21.4;21.1;22.2;21;21.4;21.5;21.5;21;21.3;21.5;21.3;21.8;21.7;21.6;22.2;21.7;21.7;21.7;21.1;21.4
51392;25.5;25.4;25.3;25.2;25.4;25.1;25.4;25.9;25.1;25.3;25.3;25.3;25.1;25.3;25.3;25.7;25.3;26.2;25.2;25.1;25.4;25.5;25.4;25.2;25.4;25.4;25.4;25.2;25.4;26.4;25.7;25.5;25.7;25.3;25.4
51394;22.2;22;21.8;21.7;22;21.8;22;22.5;21.8;21.8;21.8;21.8;21.7;21.9;21.8;22.2;22;22.8;22.1;21.8;22;22.2;21.9;21.8;22.1;22;22.2;21.9;22.1;23;22.5;22.2;22.3;22;22
