code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51338;517.9;518.2;511.4;528.5;504.2;502.7;514.4;521.1;517.5;489.5;499.6;499.5;489;513.9;509.2;517.1;510.3;543.6;508.5;523.3;523.3;526.8;501.7;513.4;524.9;514.7;535.3;519.8;526.9;535.3;528.1;525.1;525.5;505.5;516.1
51340;751.1;766.8;752.6;771.1;734.6;758.7;751.4;755.3;774.4;742.6;757;745.5;745.5;755.2;762.7;763.3;753.8;784.2;772;749.6;757.1;771.1;746;755.4;762.4;759.5;778.4;775.1;768.2;771.8;767.5;784.3;778.6;762.2;761.3
51341;722.5;737.3;729.6;739.2;706.5;732;727;734.3;747.5;717.4;727;720.8;720;723.8;738.8;741.3;728.2;753.8;751.2;723.7;731.3;746;729.9;730.1;736.6;739;749.8;749.1;740.7;744.7;740.2;753.2;754.8;738.2;735.5
51342;789.4;798.7;781.6;805;771.6;789.5;780.8;784.5;808.5;779;793.6;778.9;777.3;786.2;785.7;792.9;785.5;816.8;796.9;784.5;789;797.3;775.7;792;796.8;791.9;809.3;809.6;800.8;809.5;797.4;818.2;815.3;800.3;793.8
51344;747.7;765.2;754.9;766.2;731;759.7;750.7;758.2;773.9;740.9;754.3;745.3;744.5;750.8;764.3;762.1;749.7;779.5;778;745.5;755.4;769;751.9;752.9;760.6;758.9;775.4;775.1;766.4;772.7;766.5;783.2;778.9;761.9;760.3
51345;678.9;695.1;684.5;701.3;661.4;685.6;687;686.1;702.1;669.6;679.8;674;674.2;684.6;695.5;693;685.9;715.7;701.8;679.3;690.5;705;678.7;687.3;692;693.3;707.8;703.2;698.3;699.4;698.9;711.7;706.9;688.7;691.1
51346;771.1;782.1;762.5;790;754.1;769.8;767.1;768.6;789.4;755.9;770;757.6;757.3;769.9;772.7;776.3;771.2;801.8;776.6;771;775.1;783.5;756.9;773.3;778.5;774.4;793.5;790.6;784.9;788.6;782.5;798.5;791.3;776.8;776
51347;563.2;565.1;556.4;576.5;547.7;547.8;559.7;565.5;566;533.5;544.3;543.2;532.5;558.5;554.9;561.6;554.7;590.4;552.1;570.5;569.6;573.3;544.7;559.5;570.1;558.4;580.8;567.6;573.4;577;572.7;571.9;570.4;550;561.3
51348;754;749.5;737.5;760.3;733.6;737.3;740.9;745.2;756.2;721.7;737.9;727.6;724.2;738.5;736.8;743.7;739.4;773.8;730.5;748.3;751;749.3;732;746.8;753.7;747.2;764.2;766.1;756.7;768.9;754.2;766.2;760;739.2;746.8
51349;695.2;704.2;690.8;715.6;678.4;689.6;695.6;696.6;709.6;674.6;686.2;680.4;676.5;695.4;697.7;700.9;695.1;727.9;696.6;700.4;703.4;712.2;680.9;698.7;704.1;698.1;718;710;709.9;710.1;708.5;716.5;710.9;694.4;699.5
51351;622.5;632.9;625.1;645.8;606.1;619.9;629.2;627.9;638.6;604.7;614.3;612.3;608.4;627.7;631.4;634;627.2;659.1;630.4;629.3;634.8;647.2;613.2;631.2;634.8;631.3;648.8;638.1;639.9;638.8;640.3;645.1;641.8;624.9;630.5
51352;754.7;745.8;744;754.3;740.9;736.2;742.4;750.8;747.5;730.6;742.2;733.3;730.3;737.8;744.3;747.9;740.6;771.6;729.8;740.6;749.7;751;739.6;745.8;753.3;750.1;756.6;760.2;753.7;777;754.8;763;762.5;740.3;747.8
51354;615.4;612.9;603.7;622.5;597.4;598.4;606;613.8;614.9;583;595.4;592.1;583.5;605.3;602.5;609.5;601.6;637.2;598.4;617;616.1;617.7;593.2;607.8;616.8;606.8;627.4;620.7;620.2;628.7;619.2;622.5;618.6;598.5;609.6
51359;645.7;648.5;635.8;659.4;629.1;631.7;640.4;645.2;651;617.1;629;624.5;616.7;639.5;637.3;643.4;637.5;672.5;634.3;651;650.6;653.4;626.5;642;651.1;640.9;662.6;653.6;655.5;659.4;653.6;657.6;653.5;634.5;643.7
51361;809.4;815;793.1;823.1;791;802.2;798.5;800.5;823.6;790.8;806;790.2;790.3;799.8;798.5;805.7;803.6;834.9;802.8;804.6;808;809.8;793.2;808.1;813.6;808.8;826;827.6;818.3;827.8;813.6;833.9;827.3;812.1;809.2
51363;783.9;777.6;770.7;789.5;761;761.5;770.9;774;789.5;759.1;776.9;759.1;761.4;764.3;767.8;764.2;776;802.1;757.3;771.3;776.6;777.5;773.7;776.4;794.2;780.5;790.8;785.9;788.7;809.1;784.3;805.8;806.6;782.2;778.5
51364;799.7;795;782.4;806.9;777.1;781.1;785.6;786.2;805.8;770.8;790.4;773;773.7;780.5;778.6;784.6;788.9;819.5;773;788;793.8;792.9;782.7;794.7;804.2;796.6;810.9;812.4;803.3;819.1;799.2;818.7;814.3;792;793.4
51377;591.4;584.7;579.5;582.3;581.3;575;582.9;596.5;579.2;569.9;573.4;575.7;567.9;581.6;577.7;589.5;582;610.2;587;584.1;585;591;576.3;580.3;589.3;583.9;597.7;584.1;590.3;615.9;599.4;591.5;593.4;580.3;585.6
51380;586.4;594.7;590.1;606.5;572.5;583;595.7;593.5;597.2;569.1;576.8;577.4;572.7;592.9;593.7;599.2;593.3;622.2;595.7;593.1;600.6;609.9;583.6;594.2;600.9;598.9;612.7;598.6;603.4;608;606.4;605.4;607.5;588.5;594.8
51384;540.6;534.9;530;539.7;527.7;523.1;530.8;543.1;531.9;512.6;520.8;521.8;512.3;531.2;527.1;536.8;529;559.7;530.4;538.1;537.3;541.9;522.2;530.4;540.9;533.2;550.4;537.1;542.4;561.6;547.1;542.7;542.9;525.7;534.6
51388;532.1;533.1;529.4;535.7;520.8;523.5;539.6;541.1;529.6;514.1;518.3;521.3;515.7;535.7;528.9;543.6;534.9;560.6;542.2;533.6;541.8;544;531.3;532;544.4;543.2;553.2;534;541.7;561.8;551;540.9;549.2;530.9;536.3
51389;670.5;662.4;657.7;667.7;655.9;653.2;657.8;668.7;662.7;641.4;651.3;649.2;642.2;656.4;656.2;664;654.6;687.8;651.9;663.5;665.2;667.5;650.2;659.3;666.8;660.2;675.2;672.1;669.5;688.3;671.8;673.5;672.3;653.1;662.4
51392;791.8;786.1;783.4;781.9;788.5;779;787.7;802.5;778;784.7;785.4;783.7;778.3;785.2;784.6;797.7;785.8;811.3;781.5;778.2;786.1;790.1;788.7;780.7;787.5;786.7;787.9;782.4;788.1;818.9;796.1;791.8;795.3;785.4;788.3
51394;688.5;681.7;676.9;674.1;682.3;674.6;682.2;696.3;674.4;674.9;675.1;677.2;671.2;679.7;676.5;689.7;681.5;708.3;684.8;677.3;680.7;686.7;680;676.9;684.3;680.8;689.7;678.5;685.2;714.3;696.2;687.1;691.4;681.1;683.5
