code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;23.1;23.2;24;24.1;23.5;23.1;22.5;23.7;23.9;23.3;22.4;23.1;22.2;23.5;22.8;23.6;23.5;24.2;22.8;23.2;22.5;23;22.1;23.5;22.9;23.6;23.4;24.2;22.9;23.1;23.2;23.1;23.9;22.7;23.2
51334;23.2;23.3;23.5;24;23.4;23;22.5;23.5;24;23.1;22.2;22.7;22;23.3;22.6;23.3;23.2;24.4;22.7;23.5;22.3;22.5;21.9;23.3;22.7;23.3;23.1;24.4;22.8;23.5;23.1;23.2;23.9;22.4;23.1
51336;22.5;22.5;22.9;23.3;22.7;22.3;21.8;22.8;23.3;22.4;21.5;22.1;21.3;22.6;21.9;22.7;22.5;23.6;22;22.7;21.6;22;21.2;22.6;22;22.7;22.4;23.6;22.1;22.7;22.4;22.4;23.2;21.7;22.4
51337;20.7;20.7;21.4;21.6;21;20.5;19.9;21.1;21.3;20.7;19.9;20.6;19.5;21;20.1;21;20.8;21.6;20.2;20.7;19.9;20.5;19.5;21;20.2;21;20.7;21.6;20.3;20.7;20.6;20.5;21.2;20;20.6
51350;24;24.2;24.6;25;24.3;24;23.5;24.5;25;24.1;23.2;23.7;23.1;24.2;23.7;24.4;24.3;25.3;23.7;24.3;23.3;23.6;23;24.2;23.9;24.4;24.2;25.3;23.8;24.2;24.1;24.2;24.9;23.5;24.1
51366;26.2;26.4;27.1;27.1;26.3;26;25.8;26.7;26.5;26.2;26;26.4;25.9;26.5;26;27.2;26.4;27.2;26.5;25.8;26;26.3;25.9;26.5;26;27.2;26.4;27.2;26.5;25.8;26.5;26;26.4;26.4;26.4
51368;26.2;26.4;27.1;27.1;26.3;26;25.8;26.7;26.5;26.2;26;26.4;25.9;26.5;26;27.2;26.4;27.2;26.5;25.8;26;26.3;25.9;26.5;26;27.2;26.4;27.2;26.5;25.8;26.5;26;26.4;26.4;26.4
51369;24.9;25.1;25.9;25.8;25.1;24.7;24.5;25.5;25.3;25;24.7;25.1;24.5;25.3;24.6;25.8;25.1;25.9;25.1;24.6;24.7;25;24.5;25.3;24.7;25.8;25.1;25.9;25.2;24.6;25.2;24.7;25.2;25;25.1
51371;26.2;26.5;27.3;27.2;26.4;26.1;25.9;26.9;26.6;26.4;26.1;26.5;26.1;26.6;26.1;27.4;26.6;27.3;26.5;25.9;26.1;26.4;26;26.6;26.2;27.4;26.5;27.3;26.6;25.9;26.6;26.1;26.5;26.5;26.5
51372;22.3;22.4;23.2;23.2;22.5;22.1;21.7;22.8;22.7;22.4;21.8;22.5;21.6;22.7;21.9;23;22.5;23.2;22.2;22.1;21.8;22.3;21.5;22.7;22;22.9;22.4;23.2;22.2;22.1;22.4;22.1;22.6;22;22.4
51375;26.2;26.4;27;26.9;26.3;25.9;25.7;26.7;26.4;26.1;26;26.2;25.9;26.4;25.9;27.1;26.3;27.2;26.6;25.8;26;26.1;25.8;26.4;25.9;27;26.3;27.2;26.7;25.8;26.4;26;26.3;26.3;26.3
51378;22.2;22.3;23.1;23.1;22.5;22;21.6;22.7;22.7;22.3;21.7;22.4;21.5;22.6;21.8;22.9;22.4;23.2;22.1;22;21.7;22.2;21.4;22.6;21.9;22.8;22.4;23.2;22.2;22;22.3;22;22.5;21.9;22.3
51382;22.4;22.5;23.3;23.3;22.6;22.2;21.7;22.9;22.8;22.4;21.9;22.5;21.6;22.7;21.9;23;22.5;23.3;22.3;22.2;21.9;22.4;21.6;22.7;22;23;22.5;23.3;22.4;22.1;22.4;22.2;22.7;22.1;22.5
51385;25.5;25.5;25.9;25.9;25.5;24.9;24.7;25.7;25.6;25.2;25;25;24.7;25.5;24.9;25.8;25.2;26.2;25.5;25.2;25;25;24.6;25.5;24.9;25.8;25.2;26.2;25.6;25.2;25.3;25.2;25.5;25;25.3
51386;20.9;20.9;21.6;21.8;21.1;20.7;20.1;21.3;21.5;20.9;20.1;20.8;19.8;21.2;20.3;21.2;21;21.8;20.5;20.8;20.2;20.7;19.7;21.2;20.4;21.2;20.9;21.8;20.5;20.8;20.8;20.7;21.3;20.3;20.8
51391;26.8;26.8;27.1;27.1;26.7;26.2;26.1;27;26.8;26.5;26.5;26.4;26.2;26.7;26.3;27.2;26.6;27.5;26.9;26.5;26.5;26.3;26.2;26.7;26.3;27.1;26.6;27.5;27;26.5;26.7;26.4;26.8;26.6;26.7
51393;24.1;24.1;24.6;24.6;24.1;23.5;23.3;24.3;24.3;23.8;23.5;23.7;23.2;24.1;23.4;24.4;23.9;24.8;24.1;23.8;23.6;23.6;23.2;24.1;23.5;24.4;23.8;24.8;24.2;23.8;23.9;23.7;24.1;23.6;23.9
51395;26.1;26.2;26.6;26.5;26;25.6;25.4;26.3;26.1;25.8;25.8;25.8;25.5;26.1;25.6;26.6;26;26.9;26.3;25.6;25.8;25.7;25.5;26.1;25.6;26.6;25.9;26.9;26.5;25.6;26.1;25.7;26;26;26
51396;26.3;26.4;26.9;26.8;26.3;25.8;25.7;26.6;26.4;26.1;26.1;26.1;25.8;26.4;25.8;27;26.3;27.1;26.7;25.8;26.1;26;25.8;26.4;25.9;26.9;26.2;27.1;26.8;25.8;26.4;26;26.2;26.3;26.3
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;26.3;26.4;26.9;26.8;26.3;25.8;25.7;26.6;26.4;26.1;26.1;26.1;25.8;26.4;25.8;27;26.3;27.1;26.6;25.8;26.1;26;25.8;26.4;25.9;26.9;26.2;27.1;26.8;25.8;26.4;26;26.2;26.3;26.3
68769;24;24;24.5;24.6;24;23.5;23.2;24.2;24.2;23.8;23.5;23.6;23.1;24.1;23.4;24.4;23.8;24.8;24;23.7;23.5;23.6;23.1;24.1;23.4;24.3;23.8;24.8;24.1;23.7;23.8;23.7;24;23.5;23.9
