code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;17.2;17.2;17.1;17.6;16.8;16.8;17.2;17.3;17.2;16.4;16.7;16.7;16.5;17.2;17.1;17.3;17.1;18.1;17.2;17.3;17.5;17.6;16.9;17.2;17.5;17.3;17.9;17.3;17.5;17.9;17.7;17.5;17.6;17;17.2
51334;18.2;18.2;17.9;18.6;17.7;17.7;18.1;18.2;18.3;17.2;17.6;17.5;17.2;18;17.9;18.1;17.9;19;17.8;18.4;18.4;18.5;17.6;18;18.4;18;18.7;18.3;18.5;18.6;18.5;18.4;18.4;17.7;18.1
51336;17;17.1;16.8;17.4;16.6;16.5;16.9;17.1;17.1;16.1;16.4;16.4;16.1;16.9;16.8;17;16.8;17.9;16.7;17.2;17.2;17.3;16.5;16.9;17.3;16.9;17.6;17.1;17.3;17.6;17.4;17.3;17.3;16.6;17
51337;14.1;14.1;13.9;14.3;13.8;13.7;14;14.3;13.9;13.3;13.6;13.6;13.3;14;13.8;14.2;13.9;14.9;13.9;14.2;14.2;14.4;13.7;13.9;14.4;14.1;14.7;14;14.4;14.9;14.5;14.3;14.4;13.8;14.1
51350;18.7;18.9;18.7;19.3;18.2;18.4;18.8;18.9;19;17.9;18.3;18.2;18;18.8;18.7;18.9;18.7;19.8;18.7;19;19.1;19.3;18.3;18.8;19.1;18.8;19.5;19;19.2;19.2;19.2;19.2;19.1;18.5;18.8
51366;21.4;21.3;21.1;20.9;21;21.1;21.6;21.7;21.1;21;20.9;21.1;20.9;21.4;21.1;21.8;21.4;22.2;21.9;21.2;21.5;21.5;21.3;21.2;21.6;21.6;21.9;21.2;21.4;22.5;22;21.5;21.8;21.3;21.4
51368;21.4;21.3;21.1;20.9;21;21.1;21.6;21.7;21.1;21;20.9;21.1;20.9;21.4;21.1;21.8;21.4;22.2;21.9;21.2;21.5;21.5;21.3;21.2;21.6;21.6;21.9;21.2;21.4;22.5;22;21.5;21.8;21.3;21.4
51369;19.6;19.5;19.3;19.2;19.3;19.3;19.8;19.9;19.3;19.1;19.1;19.2;19.1;19.6;19.3;19.9;19.6;20.4;20;19.4;19.7;19.7;19.4;19.4;19.8;19.8;20.1;19.4;19.7;20.6;20.2;19.7;20;19.5;19.6
51371;21.2;21.1;20.9;20.8;20.8;20.9;21.5;21.5;21;20.8;20.7;20.9;20.7;21.3;21;21.6;21.3;22.1;21.8;21;21.4;21.4;21.1;21.1;21.5;21.5;21.7;21.1;21.3;22.3;21.8;21.3;21.6;21.2;21.3
51372;15.9;15.8;15.6;15.8;15.6;15.5;15.9;16.1;15.6;15.2;15.3;15.5;15.2;15.9;15.6;16.1;15.8;16.6;16;15.8;16;16.1;15.6;15.7;16.1;16;16.4;15.7;16;16.8;16.4;16;16.2;15.7;15.9
