code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;average
51333;531.7;534.6;530.2;545.1;519.8;521.6;534.4;537.6;533.6;509;517.6;518.6;510.3;533.4;529.4;537.6;531.6;561.2;531.7;537.3;541.1;546.5;523.8;532;542.9;537;553.6;535.6;543.9;554;547.4;542.6;546;526.2;534.7
51334;563.2;565.1;556.4;576.5;547.7;547.8;559.7;565.5;566;533.5;544.3;543.2;532.5;558.5;554.9;561.6;554.7;590.4;552.1;570.5;569.6;573.3;544.7;559.5;570.1;558.4;580.8;567.6;573.4;577;572.7;571.9;570.4;550;561.3
51336;528.1;529;521.7;539.7;514;512.9;524.8;531.2;528.6;499.5;509.7;509.4;498.8;524.1;519.6;527.3;520.5;554.4;518.4;534.2;534;537.6;511.5;524;535.3;524.7;545.8;530.6;537.6;544.6;538.3;535.8;535.7;515.6;526.4
51337;437.9;435.6;432.2;443.8;427.7;423.2;434.5;443.1;431.9;412.2;420.8;422.6;412.4;435.3;428.6;438.9;432.3;461.4;432.2;440.2;441.5;445.2;426.1;432.1;445.1;437.8;455.2;435;444.9;462;449.9;442.5;446.4;427.2;436.4
51350;580.8;586.8;579;599.6;565.4;570.8;583.1;585.2;589.5;556.3;566.1;565.4;557.2;581.4;580.5;585.7;579;613.1;578.2;589.2;591.1;598.6;567;583.4;591.1;582.7;603;589.6;595;595.8;594.9;595.3;593.6;574.6;583.8
51366;663.4;660.2;653.8;649.4;652.1;653.7;671;673;654;650.3;647.2;652.6;648.1;664.3;654.7;675.6;664.1;688.9;679.9;656.8;666.6;667.5;658.8;658.4;669.8;671;678.1;658.7;664.4;696.2;681.8;666.5;675.4;661.4;664.4
51368;663.4;660.2;653.8;649.4;652.1;653.7;671;673;654;650.3;647.2;652.6;648.1;664.3;654.7;675.6;664.1;688.9;679.9;656.8;666.6;667.5;658.8;658.4;669.8;671;678.1;658.7;664.4;696.2;681.8;666.5;675.4;661.4;664.4
51369;607.6;604.2;598.5;596.5;597.2;596.8;612.5;616.6;597.9;592.7;591.4;596.3;590.7;607.5;598.4;617.2;607.2;632.3;619.9;602;610;611.9;601.8;602;613.6;613.3;622.3;602.2;609.3;639.2;624.8;610.4;618.5;604.2;607.9
51371;657.1;655;648.8;645.7;644.9;648.1;666.3;667.6;649.6;643.6;641.6;646.4;642.8;659;649.8;671.1;658.8;683.6;674.9;652;662.5;662.8;655;653.9;665.2;666.9;673.3;654.8;660;690;676.4;661.7;671;656.9;659.3
51372;491.9;488.6;484.9;488.3;482.4;479.6;493.5;499.3;482.9;472.4;475.5;479.5;471.7;491.7;483;498.3;490;515.7;496.9;489.6;495.2;497.7;484.6;486.2;499.4;496.5;508.6;486.8;496;521.9;507.3;495.3;502.7;485.4;491.7
51375;652.1;648.5;640.6;634.6;643.7;640.9;655.8;663.5;639.9;642.1;637.3;642.5;637.9;649.1;641.2;659.6;652.3;676.4;666.7;643.1;650.4;654.4;646.8;645.4;654;654.2;662.6;643.6;651.4;683.6;669.6;653.2;659.7;651.3;651.4
51378;488;484.7;481.1;484.6;478.6;475.7;489.5;495.4;479.1;468.4;471.7;475.6;467.8;487.8;479.1;494.3;486;511.8;492.7;485.9;491.3;493.8;480.6;482.4;495.5;492.5;504.8;482.9;492.3;517.9;503.4;491.4;498.8;481.5;487.8
51382;495.6;492.1;488.2;491.4;486.2;483;496.3;503;486.3;476.1;479.1;483;475.2;494.6;486.2;501.3;493.2;519;500;492.9;498;500.9;487.6;489.5;502.3;499.1;511.5;490.1;499.3;525.2;510.5;498.7;505.6;488.9;495
51385;615.7;609.3;603.8;602.9;607.7;600.7;609.1;622.9;602.1;598.8;599.6;602.6;595.7;606.8;602.7;615.8;608.6;635.3;614.6;606.5;608.7;615.1;604.1;604.7;613.1;609;620.6;606.4;613.7;642;625;615.1;618.3;607.5;610.7
51386;442.6;440.3;436.8;447.1;432.6;428.3;440.2;448.2;436.1;418;425.7;427.8;418;440.6;433.4;444.6;437.8;466.2;438.8;444.3;446.3;449.8;431.7;436.9;450;443.5;460;439.2;449.3;467.7;455.3;447;451.6;432.7;441.4
51391;662.6;657.1;651;646.3;657.3;649.8;659.4;673.2;648.5;652.6;650.3;653.6;647.8;655.9;650.8;665.6;658.4;684.3;664.3;651.7;655.3;661.6;656.8;652.3;659.3;657;664.8;651.4;659.6;690.1;673.5;661.1;665.8;658.3;659
51393;564.5;558.7;552.8;553;555.4;549;558.7;571.8;551.5;546.1;547;550.7;543.3;556.4;551.2;564.5;558;584.4;566.2;556.9;558.7;565.1;551.6;554.4;563.5;559.4;572.4;555.7;563.7;591.6;575.7;564.5;567.4;556.4;560
51395;637.7;633.6;625.7;620;630.9;625.5;638.2;649.5;624.2;628.2;623.8;628.5;623.3;632.6;625.8;642.3;636.4;660.9;648.1;627.8;633;638.7;631.8;629.6;637;636;645;627.3;636;667.7;653.1;637.5;642.6;636.1;635.7
51396;647.9;644.2;635.6;629;640.8;636.1;650;660.2;634.5;639.3;633.7;638.9;634.2;643.3;636;653.4;648;671.8;661.8;637.9;644.1;649.5;642.5;640.6;647.9;647.8;656.6;637.9;646.5;678.9;665;648.1;653.6;647.8;646.6
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;647.2;643.6;635;628.3;640.1;635.5;649.3;659.5;633.8;638.6;633;638.2;633.5;642.6;635.4;652.7;647.3;671.1;661.1;637.2;643.5;648.9;641.7;639.9;647.3;647.1;656;637.2;645.8;678.3;664.3;647.5;652.9;647.1;645.9
68769;562.3;556.5;550.6;550.8;553.2;546.8;556.5;569.7;549.3;543.9;544.7;548.5;541;554.2;549;562.3;555.9;582.3;564.2;554.8;556.6;563;549.4;552.3;561.4;557.3;570.3;553.5;561.5;589.5;573.6;562.4;565.3;554.2;557.8
